SCHID	MZID	XCOORD	YCOORD	STUGRD	STUHGH	STUUNI
51	5130	1741340.58643000000	680462.41046000000	316	0	0
52	6152	1730348.69536000000	676717.52162500000	324	0	0
53	6546	1756467.75860000000	674470.90964800000	298	0	0
54	4625	1776085.08912000000	702060.99324700000	308	0	0
55	1437	1760884.70482000000	745180.19277000000	327	0	0
56	10402	1744655.08046000000	631668.56218200000	332	0	0
57	32052	1849811.54140000000	556729.16219300000	333	0	0
58	5256	1746500.91863000000	668482.59649400000	263	0	0
59	31866	1850505.64402000000	556398.71698700000	339	0	0
60	9404	1722886.23423000000	677389.08229000000	352	0	0
61	6152	1730926.87169000000	676008.68675600000	353	0	0
62	1141	1787470.25861000000	707055.29821900000	358	0	0
63	10506	1731351.43777000000	694421.51672900000	360	0	0
64	12942	1657606.48028000000	457190.32386900000	325	0	0
65	2382	1831626.77692000000	748383.33597000000	366	0	0
66	13583	1659446.57108000000	463883.21960400000	348	0	0
67	5761	1800026.21447000000	614734.02813800000	330	0	0
68	5370	1755922.04742000000	690295.77366800000	372	0	0
69	18770	1717322.55146000000	569136.99105100000	359	0	0
70	26405	1712476.33773000000	685006.29704200000	341	0	0
71	5121	1738422.56175000000	687773.82267500000	373	0	0
72	5002	1732009.11461000000	673675.34857500000	372	0	0
73	10085	1717159.96222000000	664034.40033800000	377	0	0
74	24087	1744110.52971000000	705866.97349600000	351	0	0
75	12499	1584942.95008000000	461845.13345700000	246	134	0
76	24838	1747871.13177000000	677249.28040400000	346	0	0
77	17341	1704602.75702000000	583752.93426000000	382	0	0
78	7439	1818713.08720000000	822084.54027300000	382	0	0
79	31368	1859508.96722000000	548525.55983300000	383	0	0
80	6628	1713408.63705000000	721892.21309900000	383	0	0
81	5059	1735379.48680000000	682844.58023700000	388	0	0
82	5416	1757097.50341000000	686877.80445400000	372	0	0
83	5206	1744188.05285000000	670104.45315800000	358	0	0
84	32178	1854893.83505000000	548010.71801500000	392	0	0
85	5999	1707846.71280000000	662686.20848000000	391	0	0
86	29267	1708264.60337000000	794917.99191600000	393	0	0
87	17413	1707412.46334000000	580876.02925300000	382	0	0
88	26488	1704567.66916000000	641468.04652000000	396	0	0
89	28816	1718847.94769000000	660290.82777200000	400	0	0
90	28292	1724572.15409000000	688149.28747500000	401	0	0
91	25190	1744975.69793000000	662147.95102600000	388	0	0
92	17765	1716825.36053000000	581940.15999900000	392	0	0
93	29236	1702805.86035000000	792101.41257600000	406	0	0
94	13260	1647762.68828000000	469543.52718100000	388	0	0
95	24879	1754750.75515000000	679496.14073900000	371	0	0
96	31671	1849980.00104000000	549732.50131700000	410	0	0
97	12091	1608451.64584000000	442683.12749000000	0	415	0
98	31497	1926409.87180000000	642564.55810700000	0	415	0
99	27471	1738052.25278000000	660316.22306300000	415	0	0
100	28961	1682728.26468000000	767307.94608700000	420	0	0
101	24513	1750933.41961000000	649504.05603900000	422	0	0
102	28664	1725225.22660000000	656888.66823800000	422	0	0
103	4888	1732913.69055000000	672299.49634000000	407	0	0
104	2138	1818087.03235000000	814437.54277200000	433	0	0
105	24211	1747336.91072000000	635831.81304200000	414	0	0
106	31136	1861799.07025000000	554204.37557500000	435	0	0
107	19300	1706883.05626000000	575233.97951400000	409	0	0
108	5673	1758965.94586000000	721011.47437500000	435	0	0
109	2360	1893391.81743000000	813760.17732900000	435	0	0
110	27471	1736446.73664000000	659784.09650200000	441	0	0
111	161	1790856.61273000000	727032.24022100000	449	0	0
112	3073	1826968.47817000000	691091.56210200000	450	0	0
113	23447	1755654.71856000000	660651.18138200000	451	0	0
114	23874	1737743.75668000000	693119.17386100000	453	0	0
115	23730	1772067.30647000000	631289.21123500000	454	0	0
116	25019	1759812.61117000000	647727.96608700000	422	0	0
117	52	1790911.14674000000	716944.58159000000	459	0	0
118	12082	1609578.51203000000	444168.26329900000	462	0	0
119	27698	1754952.33119000000	644627.25903400000	462	0	0
120	25671	1823965.69775000000	610175.09762300000	463	0	0
121	10926	1724511.34515000000	804662.10661400000	427	0	0
122	23723	1770118.34318000000	628094.27799200000	470	0	0
123	7964	1834189.55460000000	752699.27287600000	471	0	0
124	18004	1635341.99790000000	604705.51210600000	457	0	0
125	1600	1743350.89671000000	752076.68225800000	478	0	0
126	18148	1631440.78130000000	591685.52338200000	479	0	0
127	1088	1783163.11007000000	715853.83606900000	479	0	0
128	2357	1894767.67065000000	811677.32782000000	481	0	0
129	26672	1721377.59388000000	679100.98109700000	483	0	0
130	7193	1812085.09980000000	819199.84000600000	484	0	0
131	1336	1758106.22941000000	725864.48238600000	485	0	0
132	30221	1813315.67279000000	596830.83264500000	468	0	0
133	1085	1783053.49316000000	703475.94514200000	488	0	0
134	29531	1664561.84662000000	815707.85158300000	175	313	0
135	9177	1787799.59653000000	679649.39043300000	489	0	0
136	6436	1722354.13425000000	630118.01311800000	490	0	0
137	17341	1704602.75702000000	583752.93426000000	491	0	0
138	4165	1916757.62405000000	679392.83451600000	491	0	0
139	14908	1705283.16084000000	506683.60513200000	493	0	0
140	22124	1731683.50207000000	647221.36441000000	494	0	0
141	3839	1844806.79157000000	647652.52365300000	476	0	0
142	18105	1629422.47792000000	589920.90683300000	476	0	0
143	23801	1746940.13494000000	687249.58192500000	497	0	0
144	1833	1793491.85582000000	732358.70824200000	497	0	0
145	7645	1809160.76739000000	828884.40429800000	501	0	0
146	1167	1784922.24369000000	709942.69730000000	507	0	0
147	30750	1894617.08696000000	543797.78582400000	509	0	0
148	4729	1774935.43591000000	668122.98960100000	520	0	0
149	2360	1895914.44132000000	814177.12662600000	0	526	0
150	4609	1784825.30294000000	691373.38142100000	528	0	0
151	26463	1712778.96409000000	649950.01676100000	530	0	0
152	8627	1817689.57054000000	674711.40129300000	512	0	0
153	23793	1748578.27471000000	692366.54905400000	533	0	0
154	14671	1662204.01340000000	469988.13357500000	497	0	0
155	24722	1752032.17233000000	676333.51780000000	539	0	0
156	14705	1680248.53178000000	475739.73198000000	550	0	0
157	25316	1790593.66017000000	676601.00086000000	530	0	0
158	24458	1756015.45800000000	630214.46404100000	533	0	0
159	10067	1719077.02991000000	664355.25894800000	502	0	0
160	3430	1797610.88629000000	663659.50869900000	556	0	0
161	28971	1683957.51550000000	768661.81345800000	556	0	0
162	2129	1804499.23078000000	816663.27355700000	562	0	0
163	23228	1730067.47249000000	656724.53602000000	563	0	0
164	6718	1786895.67970000000	742173.15777400000	563	0	0
165	15398	1691091.17413000000	516927.05905400000	568	0	0
166	16883	1716924.28520000000	561607.29121600000	568	0	0
167	21511	1769066.29574000000	618568.21699200000	572	0	0
168	259	1807685.97638000000	726469.27513900000	575	0	0
169	67	1795757.14886000000	706552.69751900000	576	0	0
170	75	1790177.66691000000	718324.15002600000	579	0	0
171	18359	1667618.44483000000	568706.78029800000	562	0	0
172	1647	1805659.43023000000	741462.48465400000	582	0	0
173	4748	1769018.61802000000	678270.96668100000	584	0	0
174	2500	1840526.98451000000	755747.86389200000	588	0	0
175	22112	1731410.23129000000	642391.31599900000	590	0	0
176	22998	1731124.45824000000	665504.26518000000	592	0	0
177	10592	1732208.90522000000	761822.28776700000	593	0	0
178	17664	1718384.63267000000	616214.87786700000	595	0	0
179	23816	1745165.20575000000	683746.16078300000	578	0	0
180	12091	1608993.88754000000	443419.03513900000	559	0	0
181	17334	1704344.59907000000	583006.47578000000	599	0	0
182	12168	1640200.85925000000	460363.91627500000	602	0	0
183	21326	1757967.64996000000	615456.09165400000	583	0	0
184	17411	1706756.61393000000	581988.23405000000	604	0	0
185	9612	1760062.41414000000	702915.32716900000	585	0	0
186	24890	1759901.93054000000	654209.79039400000	606	0	0
187	3238	1818063.71678000000	686650.45582700000	586	0	0
188	2685	1887017.44829000000	708138.66580300000	589	0	0
189	4483	1779035.13735000000	698276.07758900000	610	0	0
190	29287	1706177.73353000000	793479.49380900000	610	0	0
191	6034	1695885.16455000000	649594.74253700000	612	0	0
192	21326	1757562.99887000000	614995.98955600000	618	0	0
193	27629	1742465.76627000000	662107.77394100000	619	0	0
194	882	1842789.15880000000	750092.71017600000	622	0	0
195	10184	1745765.65501000000	624355.96755500000	626	0	0
196	32879	1881500.50001000000	687451.49950100000	635	0	0
197	10876	1763887.53838000000	819681.73733600000	635	0	0
198	574	1832548.17665000000	742844.48714000000	638	0	0
199	17188	1706029.58881000000	593731.55013000000	641	0	0
200	27164	1692023.09583000000	633692.06994600000	644	0	0
201	3363	1809950.49744000000	690064.21770000000	626	0	0
202	646	1838181.81565000000	742269.08671600000	645	0	0
203	30541	1868528.52530000000	518632.30301900000	647	0	0
204	20815	1814572.82776000000	571449.66720000000	650	0	0
205	8444	1828661.95116000000	678161.18770100000	634	0	0
206	18148	1631189.62760000000	590096.49276700000	0	653	0
207	8315	1884082.18645000000	688683.40025200000	612	0	0
208	32879	1881546.50812000000	688819.79794500000	655	0	0
209	29371	1680335.43154000000	809780.19152300000	622	0	0
210	6705	1784811.01261000000	724313.83063100000	430	232	0
211	4178	1789185.67709000000	630127.05903200000	646	0	0
212	30221	1812331.83651000000	596950.78909800000	668	0	0
213	31909	1852300.90650000000	561544.45275900000	670	0	0
214	20151	1748823.04686000000	609311.12166100000	671	0	0
215	25393	1826946.69376000000	668107.07887200000	655	0	0
216	16074	1633115.70970000000	511138.79864900000	447	209	0
217	9177	1788330.35925000000	680065.81873400000	679	0	0
218	3263	1806426.25646000000	701910.65365300000	683	0	0
219	21478	1771955.35263000000	615631.46728800000	685	0	0
220	17600	1707152.51701000000	611669.02212900000	691	0	0
221	20334	1733711.38811000000	606055.53073100000	692	0	0
222	27718	1759636.09052000000	639443.35765600000	653	0	0
223	5569	1760994.47560000000	707151.67433900000	676	0	0
224	19553	1772816.76035000000	590283.08458600000	679	0	0
225	24465	1754165.25009000000	628430.50665000000	697	0	0
226	32564	1874834.11111000000	681649.87035600000	643	0	0
227	24995	1749490.34572000000	655369.10959700000	0	704	0
228	5767	1800953.46556000000	615475.26779700000	705	0	0
229	27822	1759435.67721000000	634527.39373500000	706	0	0
230	20675	1846241.72669000000	508474.42077600000	706	0	0
231	23076	1723552.55967000000	662699.50602600000	674	0	0
232	32878	1881371.69252000000	686115.12422100000	660	0	0
233	16749	1731385.60765000000	521291.01915800000	687	0	0
234	24195	1750712.77175000000	638247.79541500000	721	0	0
235	9002	1849724.47891000000	599218.78029700000	728	0	0
236	7069	1779344.36311000000	770373.11679400000	729	0	0
237	2502	1838586.24299000000	754973.81097800000	731	0	0
238	30177	1819081.32662000000	603292.51493200000	694	0	0
239	19532	1765855.53937000000	594586.41882700000	733	0	0
240	28733	1743830.05356000000	671513.54974900000	735	0	0
241	19250	1685055.83351000000	624644.60346100000	738	0	0
242	18755	1708431.45212000000	565050.92704500000	742	0	0
243	9630	1769817.34477000000	694422.68962600000	742	0	0
244	23289	1774577.93925000000	667546.92185600000	744	0	0
245	20926	1812138.14562000000	573499.74971400000	751	0	0
246	1452	1768169.87201000000	733660.18595400000	752	0	0
247	20132	1740453.30015000000	600283.80146100000	753	0	0
248	32183	1856191.73599000000	550755.41298500000	754	0	0
249	19532	1765844.60599000000	594546.45237100000	754	0	0
250	20130	1739718.77799000000	600003.46770400000	759	0	0
251	18692	1744930.37157000000	593817.94497000000	760	0	0
252	6789	1786764.83613000000	743461.31727100000	763	0	0
253	32143	1813215.53159000000	595538.35754000000	781	0	0
254	26250	1860106.64450000000	539200.99285300000	785	0	0
255	6570	1756867.15938000000	678793.59326000000	0	786	0
256	16698	1777646.85207000000	512003.01870500000	394	377	0
257	27790	1762087.01475000000	628418.76422000000	773	0	0
258	20437	1818631.40757000000	528526.72844000000	796	0	0
259	23727	1770509.89522000000	631705.72877500000	782	0	0
260	20926	1811869.06480000000	573027.97769200000	799	0	0
261	25819	1853702.76426000000	573720.28962800000	801	0	0
262	17266	1703393.48516000000	598900.08178800000	805	0	0
263	10803	1761810.41130000000	806334.03798200000	338	468	0
264	11024	1730957.76697000000	765630.63644900000	807	0	0
265	27542	1727992.93530000000	667258.66259000000	0	818	0
266	20675	1846241.72669000000	508474.42077600000	823	0	0
267	1693	1806709.89565000000	739773.50410800000	825	0	0
268	16093	1697968.53013000000	529925.07308400000	797	0	0
269	23626	1782204.44696000000	636159.17754500000	829	0	0
270	32498	1878404.43697000000	668630.29206400000	812	0	0
271	8090	1774231.82577000000	777414.55481000000	371	458	0
272	8222	1770527.89945000000	779914.44088700000	831	0	0
273	20626	1819105.05721000000	528175.56411600000	838	0	0
274	30996	1885567.74286000000	580001.52903400000	838	0	0
275	15795	1698198.18748000000	521554.80800100000	820	0	0
276	23738	1775228.79621000000	641972.38015700000	830	0	0
277	14708	1679456.99038000000	475780.35033700000	853	0	0
278	10582	1731673.71502000000	760966.00798300000	0	856	0
279	24426	1752478.01790000000	643465.06122700000	863	0	0
280	7046	1766056.14855000000	764447.52333000000	866	0	0
281	31504	1924864.27614000000	642633.83093400000	832	0	0
282	5791	1790014.48908000000	622274.86082500000	880	0	0
283	18478	1739674.00052000000	570231.83761500000	882	0	0
284	29882	1829968.10570000000	554337.86251300000	888	0	0
285	17018	1745274.53493000000	552248.05173200000	0	890	0
286	30932	1863204.67472000000	565483.66699300000	892	0	0
287	15163	1679699.35079000000	503927.15756100000	0	893	0
288	7070	1778218.33387000000	774055.52117400000	0	897	0
289	12241	1674267.13560000000	419618.60176900000	616	284	0
290	20568	1832701.73245000000	540765.80304300000	903	0	0
291	30224	1814436.98912000000	596520.52158600000	905	0	0
292	5801	1790996.72104000000	627251.31773600000	907	0	0
293	5706	1802806.29519000000	618188.26434000000	911	0	0
294	16489	1709499.05202000000	517779.20859700000	912	0	0
295	30310	1836675.85409000000	543078.97262900000	912	0	0
296	22512	1737726.11827000000	665693.23232200000	0	914	0
297	29860	1828518.51017000000	554296.77302800000	917	0	0
298	21606	1802088.74545000000	598857.81284300000	877	0	0
299	8627	1818032.35759000000	674176.29147100000	931	0	0
300	21192	1798801.46396000000	592702.30645300000	932	0	0
301	20856	1817238.78043000000	588269.01249900000	914	0	0
302	5717	1804220.26021000000	619381.86300200000	934	0	0
303	21122	1791023.21180000000	594238.51368300000	918	0	0
304	21517	1773028.22450000000	615368.65121300000	944	0	0
305	6633	1727019.56783000000	707661.79963100000	0	961	0
306	26143	1847397.17353000000	529881.99049300000	970	0	0
307	18923	1745513.91273000000	553585.44308600000	1002	0	0
308	19068	1726850.51239000000	613304.93158700000	1013	0	0
309	13260	1648105.40873000000	469247.44115900000	1018	0	0
310	17600	1706515.02747000000	611102.15580900000	1038	0	0
311	7193	1812381.03917000000	819840.12383000000	0	1065	0
312	23843	1747620.00957000000	692288.67781800000	0	1096	0
313	10683	1715680.17286000000	793439.54539800000	0	1100	0
314	26463	1710559.81991000000	650417.87343700000	0	1129	0
315	25810	1851553.28858000000	574724.10586100000	1158	0	0
316	16093	1697003.23121000000	531020.32844000000	1169	0	0
317	27514	1732006.38824000000	666528.37763300000	397	793	0
318	6718	1786679.70605000000	742241.14385800000	0	1215	0
319	1693	1807157.03485000000	740119.04081900000	0	1222	0
320	22151	1729001.45724000000	646392.32899400000	0	1232	0
321	21580	1786503.00135000000	617330.62858800000	0	1274	0
322	28788	1746410.62386000000	672978.17772600000	480	805	0
323	20298	1724572.35619000000	582604.14423500000	0	1329	0
324	3238	1816501.87148000000	686561.43664800000	1333	0	0
325	13260	1647154.43753000000	468941.96178300000	0	1357	0
326	580	1833340.07074000000	745840.27248700000	0	1374	0
327	27698	1753849.41246000000	644933.21085000000	0	1412	0
328	73	1789112.09850000000	717511.26680900000	0	1463	0
329	19068	1727252.61887000000	613255.70891600000	0	1496	0
330	32764	1884842.54615000000	680520.09932100000	0	1515	0
331	25469	1851738.84496000000	655687.78087600000	0	1622	0
332	6373	1740202.57033000000	637036.52257500000	0	1658	0
333	5791	1791617.26212000000	624363.29332800000	0	1681	0
334	30887	1864791.20928000000	564397.55236800000	0	1715	0
335	17403	1708648.64164000000	585994.83167900000	0	1761	0
336	9727	1746504.67715000000	709322.28778000000	0	1773	0
337	3238	1816536.28578000000	686990.82949000000	0	1811	0
338	15637	1704500.54200000000	544769.10245100000	0	1834	0
339	18660	1741207.04044000000	592608.86405500000	0	1900	0
340	25810	1849350.20342000000	573600.25837200000	0	1984	0
341	30170	1818078.49135000000	592595.77517000000	0	2020	0
342	23573	1803058.20184000000	602194.37375500000	0	2048	0
343	20975	1827856.71917000000	555750.21008200000	0	2161	0
344	26000	1847075.39104000000	539737.09676700000	0	2227	0
345	4749	1768292.71264000000	674992.29016700000	0	2405	0
346	22122	1731870.74710000000	646036.72635900000	771	515	0
347	9647	1768511.05965000000	699584.49623200000	0	93	0
348	31905	1854160.99924000000	559845.93581500000	429	233	0
349	24694	1751382.17560000000	674048.36292100000	127	0	0
350	13274	1654434.12475000000	469049.77160700000	409	167	0
351	6785	1781894.84062000000	742112.64575600000	4	0	0
352	32557	1873509.65018000000	684153.75544000000	19	0	0
353	26283	1854420.63783000000	544154.76017600000	27	14	0
354	1474	1771841.42503000000	723079.09688000000	0	617	0
355	13401	1667070.66935000000	463768.86287700000	62	0	0
356	27374	1738650.28702000000	658636.11257800000	58	57	0
357	5447	1755443.06741000000	696520.65065400000	351	0	0
358	26821	1725764.74389000000	669633.58828600000	20	0	0
359	19774	1706659.49995000000	576750.33737300000	21	0	0
360	14355	1658864.94331000000	465045.79077000000	4	0	0
361	25289	1740054.92594000000	709233.81157900000	452	245	0
362	30082	1817616.19077000000	599414.13981500000	159	121	0
363	9647	1768336.00586000000	698573.00941000000	152	0	0
364	21499	1753407.60232000000	622713.06368900000	41	4	0
365	27416	1731379.37440000000	658190.61346900000	42	39	0
366	31456	1859193.29265000000	558287.87397000000	317	0	0
367	31142	1862741.09593000000	558374.21762900000	18	18	0
368	32475	1871673.78771000000	678237.15802100000	101	12	0
369	27010	1713231.37723000000	644619.77184400000	486	0	0
370	26113	1851372.40935000000	542274.82266300000	0	17	0
371	17808	1702079.99500000000	578882.96499800000	183	0	0
372	23360	1769211.12813000000	668419.62286600000	419	0	0
373	24398	1750058.67365000000	647722.66426000000	423	0	0
374	23225	1732739.12168000000	660067.36726100000	663	359	0
375	13630	1637719.14144000000	474630.87855500000	10	0	0
376	27382	1730576.15061000000	655990.60605800000	281	0	0
377	28592	1720488.88470000000	653039.74713000000	614	427	0
378	2002	1822279.10894000000	796779.02658000000	0	92	0
379	10229	1726840.81753000000	620083.86684800000	300	445	0
380	27417	1731595.94450000000	658212.80076000000	4	0	0
381	26000	1850075.44836000000	538717.30550000000	22	40	0
382	10276	1708592.54038000000	626302.95578700000	548	331	0
383	1994	1822754.56960000000	796103.00234200000	95	0	0
384	17229	1706333.86117000000	608060.72816400000	23	50	0
385	9234	1767429.13301000000	671377.16222700000	2	0	0
386	26690	1725700.95137000000	683627.75649200000	104	0	0
387	9206	1776624.34920000000	674438.45006700000	447	279	0
388	19080	1734214.37201000000	617446.93183300000	11	0	0
389	22241	1733303.66254000000	650848.47625000000	244	0	0
390	22199	1729618.22536000000	651223.89183800000	119	0	0
391	27710	1747468.66341000000	653285.57865900000	11	5	0
392	16865	1685474.51444000000	571198.36750600000	64	0	0
393	22130	1732319.86694000000	649355.30141500000	9	0	0
394	22129	1732284.18230000000	649255.93481600000	1	0	0
395	1204	1785845.04926000000	724565.55486600000	183	67	0
396	23897	1745089.53169000000	699963.19855900000	18	12	0
397	20458	1829736.26561000000	499222.32576300000	36	16	0
398	27096	1720828.71308000000	645248.01107300000	269	376	0
399	28601	1721387.37699000000	655268.54811900000	223	489	0
400	19057	1733735.01929000000	616426.62120900000	39	0	0
401	15602	1685209.95132000000	559660.59366600000	6	0	0
402	31015	1859254.80303000000	565603.92200200000	269	19	0
403	13571	1659281.35521000000	467409.82672400000	0	0	0
404	28652	1719235.17592000000	654176.95614200000	304	0	0
405	28652	1719235.17592000000	654176.95614200000	0	265	0
406	24302	1750125.70994000000	642347.17435500000	0	0	0
407	10321	1731201.44988000000	639844.13014900000	4	0	0
408	550	1832139.77360000000	738690.49807200000	201	0	0
409	24464	1754938.62977000000	629200.10025600000	21	0	0
410	6372	1740185.29379000000	637180.62136800000	459	0	0
411	7874	1837096.42051000000	751033.18040800000	144	0	0
412	27113	1724855.67780000000	642821.59204100000	368	0	0
413	27933	1769581.64871000000	626608.01390400000	302	121	0
414	28864	1717950.44587000000	663064.02859100000	191	0	0
415	6308	1739695.83119000000	631686.70387800000	88	0	0
416	17928	1684977.02199000000	619308.11315000000	387	0	0
417	2745	1868011.22121000000	705384.34650900000	381	206	0
418	20373	1745234.61375000000	618969.86776300000	98	0	0
419	24012	1751367.14052000000	698295.82328400000	16	10	0
420	7612	1812565.39510000000	819888.70772300000	5	1	0
421	23914	1750924.92586000000	698313.86327500000	529	353	0
422	21678	1740235.37014000000	650963.38875000000	208	241	0
423	20243	1801767.95245000000	551313.72584500000	42	0	0
424	30707	1880429.56383000000	527628.20563100000	16	3	0
425	26910	1706868.79743000000	641521.15336900000	656	0	0
426	10268	1714750.34204000000	618253.41283100000	194	65	0
427	2422	1838299.34855000000	744498.27549900000	3	28	0
428	12565	1628160.55656000000	462338.09178900000	285	109	0
429	21730	1741495.27838000000	643663.16253700000	0	894	0
430	12981	1669102.66070000000	457380.61318700000	8	4	0
431	5474	1762784.77779000000	699567.82828600000	152	69	0
432	6034	1696673.20496000000	651129.19845800000	83	0	0
433	8625	1817183.21887000000	671488.85885400000	299	125	0
434	9925	1693754.34236000000	647302.88294800000	275	171	0
435	32167	1852025.47956000000	547342.92637200000	5	31	0
436	26906	1704306.03648000000	638701.68066200000	95	0	0
437	17794	1708947.48652000000	582789.95291900000	80	0	0
438	6082	1683308.28386000000	679298.19625300000	0	20	0
439	5041	1731913.37563000000	683021.72391100000	25	0	0
440	6048	1703428.10386000000	650736.54668400000	86	0	0
441	4615	1774591.06652000000	704014.29085000000	54	62	0
442	21869	1736656.26870000000	655037.22345000000	0	19	0
443	3071	1825120.11769000000	691138.59350400000	16	0	0
444	15370	1692638.83246000000	516074.87276600000	5	24	0
445	23564	1780274.26512000000	631020.25573600000	455	260	0
446	17230	1706400.25080000000	607937.10997300000	30	68	0
447	646	1838635.30687000000	742122.62637900000	11	9	0
448	17188	1706975.67583000000	591609.95365100000	54	68	0
449	17384	1712452.16389000000	581651.50604900000	561	374	0
450	1068	1781410.40951000000	717030.49677300000	14	0	0
451	7990	1776893.32176000000	777239.49118400000	30	18	0
452	28800	1716771.76057000000	662919.78872200000	0	0	25
453	23541	1777372.87132000000	623813.19141000000	0	0	56
454	19736	1727339.95465000000	595792.69725400000	0	0	65
455	9687	1762154.22492000000	715070.69918300000	0	0	71
456	5078	1737272.34424000000	679551.44705900000	0	0	103
457	22602	1733902.80144000000	664566.35760700000	0	0	118
458	12631	1648412.06166000000	462160.23059600000	0	0	165
459	27456	1735134.40199000000	662436.17912500000	0	0	185
460	17777	1711281.49268000000	578783.93074700000	0	0	206
461	6022	1707644.05441000000	659239.04378700000	0	0	210
462	9647	1766423.03430000000	699879.37622000000	0	0	211
463	9733	1760518.86796000000	713594.54006200000	0	0	222
464	22832	1724402.06256000000	656521.73491700000	0	0	282
465	19034	1724144.70120000000	591887.58531400000	0	0	315
466	21594	1778503.24898000000	621226.57945700000	0	0	339
467	33045	1868859.65455000000	685498.86364200000	0	0	366
468	23914	1750991.98215000000	695721.93834000000	0	0	373
469	6122	1730413.73033000000	678198.67023700000	0	0	378
470	30526	1847046.88388000000	550913.84409900000	0	0	389
471	23321	1771788.54883000000	662799.72859400000	0	0	440
472	9687	1760789.19419000000	712335.13641300000	0	0	490
473	23308	1780937.98821000000	663531.40462400000	0	0	537
474	27522	1731376.00793000000	668276.60412300000	0	0	580
475	23337	1770184.84862000000	660782.97541000000	0	0	595
476	25085	1755230.60655000000	655714.24834300000	0	0	597
477	25990	1849413.15408000000	538716.54959600000	0	0	638
478	27872	1763952.80236000000	638241.75671300000	0	0	658
479	4790	1764718.04624000000	668264.61202100000	0	0	724
480	24913	1761783.08623000000	659111.20217900000	0	0	732
481	28658	1720542.29076000000	654964.80725600000	0	0	750
482	26785	1730732.84485000000	668211.26567100000	0	0	781
483	28678	1715044.34342000000	656834.18737600000	0	0	822
484	23308	1780914.08274000000	663532.65166900000	0	0	1003
485	23334	1772603.77883000000	661156.36377100000	0	0	1010
486	32980	1880211.48060000000	681670.78763700000	0	0	1375
487	23342	1764718.91992000000	660142.79558800000	0	0	1506
488	21455	1761038.08411000000	623901.32148300000	0	0	1593
489	25118	1745905.45657000000	660655.83622900000	0	0	2345
490	28029	1749099.45608000000	678200.28243900000	0	0	2612
491	22122	1731909.02032000000	646009.44229300000	0	0	3742
492	12830	1641574.45460000000	469695.42057800000	0	0	5592
493	27224	1733524.89832000000	656467.59723000000	0	0	4888
494	26800	1723870.79985000000	668413.08777400000	0	0	8930
495	406	1822523.55497000000	738808.75538200000	0	0	8989
