SCHID	MZID	XCOORD	YCOORD	STUGRD	STUHGH	STUUNI
1	32764	1884842.54615000000	680520.09932100000	0	2	0
2	6286	1715959.91770000000	665901.51176100000	38	0	0
3	30823	1869084.35128000000	556224.60283400000	7	35	0
4	13	1792496.03235000000	710003.61548600000	0	46	0
5	26430	1715990.69094000000	659693.49858600000	0	61	0
6	31389	1810926.53092000000	595963.16049600000	18	50	0
7	9612	1759973.96977000000	702915.96627500000	37	34	0
8	7877	1838051.39924000000	752022.93039700000	28	51	0
9	26570	1763847.75303000000	681037.50740700000	0	82	0
10	28678	1715050.97234000000	656882.91136000000	0	93	0
11	21825	1742009.73667000000	651951.24963500000	0	94	0
12	28899	1719109.37039000000	662697.83476900000	0	99	0
13	28899	1719109.37039000000	662697.83476900000	0	100	0
14	18200	1628631.48672000000	571488.27342200000	111	0	0
15	1959	1799653.25655000000	792908.11732700000	137	0	0
16	32178	1854689.67699000000	548328.93686700000	0	143	0
17	4729	1775042.01443000000	668081.50280800000	70	77	0
18	19769	1709603.24866000000	576241.57264300000	0	156	0
19	26709	1752185.01848000000	684838.74324300000	8	152	0
20	9695	1758946.41080000000	713861.85481600000	161	0	0
21	26774	1729633.66824000000	671686.80202700000	0	183	0
22	9726	1740441.83035000000	715351.44501300000	199	0	0
23	28788	1745681.32939000000	673168.36665000000	180	0	0
24	7371	1862721.35285000000	823476.26157100000	223	0	0
25	26647	1730865.11952000000	670260.13165200000	227	0	0
26	16631	1766888.17018000000	531079.78501400000	229	0	0
27	4691	1780755.37932000000	679400.18128600000	230	0	0
28	31979	1853530.41290000000	544352.67382200000	0	0	0
29	24059	1738949.13091000000	695601.14954000000	240	0	0
30	1033	1876449.31096000000	781677.60960400000	242	0	0
31	6628	1713456.03098000000	722520.17050500000	238	0	0
32	21907	1742181.17563000000	656003.88818300000	224	0	0
33	24116	1741006.36794000000	678301.12967800000	253	0	0
34	28695	1741615.87164000000	672498.13177000000	216	0	0
35	23362	1767413.86926000000	665241.26603400000	264	0	0
36	28505	1742270.17414000000	675357.69462000000	228	0	0
37	6026	1701451.72264000000	654520.39049400000	268	0	0
38	24005	1750131.69024000000	701014.50452700000	245	0	0
39	4774	1767534.36377000000	681578.07227100000	277	0	0
40	1372	1753315.07626000000	739693.52985900000	263	0	0
41	14318	1657105.20569000000	468807.52077900000	248	0	0
42	23874	1737743.75668000000	693119.17386100000	288	0	0
43	29062	1705346.22929000000	789846.55225600000	190	0	0
44	2043	1821984.87593000000	807077.77435500000	294	0	0
45	9231	1766801.65723000000	671633.78540100000	295	0	0
46	6533	1750347.75477000000	671687.84139500000	300	0	0
47	6638	1723304.35774000000	700028.61082900000	267	0	0
48	25482	1856130.33060000000	589856.44239500000	287	0	0
49	21985	1737028.38836000000	642702.55258100000	308	0	0
50	31755	1857296.02611000000	551064.93697200000	310	0	0
