microzoneid,DlCapacity,HrCapacity,AvgDlRate,AvgHrRate
4796,20,0,227,0
4802,1050,1050,523,400
4808,55,0,273,0
5158,371,0,500,0
9274,123,0,480,0
9275,15,0,600,0
9276,94,0,362,0
9280,42,0,218,0
22384,45,0,364,0
22401,34,0,227,0
22406,432,0,455,0
22414,40,0,227,0
22416,30,0,273,0
22418,30,0,227,0
22420,20,0,205,0
22421,90,45,273,100
22432,70,0,182,0
22460,85,0,273,0
22471,234,234,1000,200
22476,268,268,278,140
22482,108,0,508,0
22484,97,97,2400,600
22486,466,466,1500,600
22489,202,0,486,0
22492,132,0,455,0
22498,1797,0,1000,0
22499,150,0,136,0
22510,16,16,500,200
22513,170,104,549,500
22514,76,76,555,500
22515,66,0,387,0
22516,122,0,659,0
22518,551,0,536,0
22523,302,0,341,0
22524,121,121,812,400
22527,89,89,455,400
22529,161,161,1600,400
22532,630,0,577,0
22533,987,987,500,400
22534,186,122,1285,761
22536,114,0,568,0
22583,100,0,500,0
22584,520,520,568,400
22585,1033,1033,523,200
22586,38,38,1500,400
22588,18,0,700,0
22591,50,0,300,0
22655,495,495,895,700
22659,497,497,1458,237
22661,15,15,1600,600
22663,435,435,659,400
26586,125,0,418,0
27494,428,0,523,0
27495,34,0,568,0
27499,533,0,413,0
27501,1069,1069,682,600
27502,171,171,1600,400
27504,61,0,718,0
27569,100,0,250,0
27570,104,104,273,100
27573,45,0,300,0
27574,26,0,205,0
27575,54,0,205,0
28206,315,0,545,0
28207,658,658,605,600
28208,50,50,423,400
28209,569,569,641,600
28210,544,544,614,600
28211,325,325,741,600
28214,303,303,620,535
28215,50,50,2000,400
28218,135,135,2000,400
28219,462,0,614,0
28220,69,69,824,571
28222,648,648,714,497
28224,76,0,495,0
28225,20,20,455,400
28228,40,40,823,400
28231,120,0,695,0
