ID	XCOORD	YCOORD	AREA	TAZID	BLOCKID
1	1793632.79732000000	710741.98547400000	408234.85332500000	16599257	471650212012001
2	1793968.65719000000	709337.99509500000	426154.61788600000	16599257	471650212012006
3	1794969.53311000000	705957.57826100000	968399.65195700000	16599257	471650212012016
4	1792470.16867000000	711654.79748300000	549494.57951700000	16599257	471650212012004
5	1793562.37034000000	711319.04481200000	340766.14813900000	16599257	471650212012002
6	1792293.14123000000	710776.82329000000	866769.91356200000	16599257	471650212012009
7	1793217.83414000000	710386.10065700000	872294.22894600000	16599257	471650212012003
8	1794121.23448000000	710917.25735900000	2035278.89376000000	16599257	471650212012000
9	1791633.90490000000	711222.24452400000	938185.36816600000	16599257	471650212012005
10	1794793.67048000000	707145.10711600000	1328235.92799000000	16599257	471650212012015
11	1794302.46375000000	708589.81003100000	634991.26129400000	16599257	471650212012013
12	1794416.79559000000	709356.16606100000	416928.52483400000	16599257	471650212012014
13	1793852.47386000000	707262.97595400000	9011263.41762000000	16599257	471650212012007
14	1791605.21788000000	701934.93680500000	535339.44835800000	16599257	471650212012012
15	1793771.46477000000	705368.11777700000	1061010.79255000000	16599257	471650212012008
16	1792036.36660000000	701045.42933400000	3125794.13201000000	16599259	471650212013021
17	1793606.86080000000	702677.05473600000	815801.78486300000	16599259	471650212013014
18	1794411.09252000000	702011.85913400000	1428528.62295000000	16599259	471650212013015
19	1793192.66904000000	703094.18085800000	782486.47566700000	16599259	471650212013013
20	1792779.93231000000	701908.74566100000	440489.57631200000	16599259	471650212013018
21	1793791.49340000000	701859.71273500000	556243.92103900000	16599259	471650212013016
22	1793293.70477000000	701686.22126300000	418584.86488600000	16599259	471650212013017
23	1795021.05471000000	699700.78081700000	5048.12385042000	16599259	471650212013028
24	1792155.34405000000	701610.04593300000	335483.71639100000	16599259	471650212013020
25	1792387.85611000000	702371.53756000000	590045.72122400000	16599259	471650212013019
26	1794370.19325000000	700116.15493200000	1678316.97152000000	16599259	471650212013027
27	1795366.56926000000	700268.15890700000	1060482.38342000000	16599259	471650212013025
28	1794678.98958000000	705250.69025800000	1174426.43038000000	16599258	471650212013009
29	1796686.41375000000	701719.44358700000	70444.70238640000	16599258	471650212013002
30	1796077.02562000000	701541.21688500000	5548.22426819000	16599258	471650212013004
31	1795085.37665000000	703677.22979800000	1739763.00240000000	16599258	471650212013010
32	1793812.59295000000	704038.75070000000	752041.56156400000	16599258	471650212013012
33	1795360.91469000000	701858.10672400000	2479988.39248000000	16599258	471650212013005
34	1795664.24586000000	704258.94030800000	324179.58673200000	16599258	471650212013008
35	1796089.63345000000	704721.76187000000	2419021.45276000000	16599258	471650212013007
36	1796406.09712000000	703704.65030200000	734286.34633400000	16599258	471650212013026
37	1794428.69746000000	704060.28841100000	946129.79562800000	16599258	471650212013011
38	1797240.13887000000	702386.78738400000	5016658.84983000000	16599258	471650212013001
39	1796142.50334000000	700858.50888200000	34238.56954400000	16599258	471650212013003
40	1790837.96184000000	714537.96711200000	545371.21223300000	16599276	471650212051020
41	1790343.59881000000	714448.38550200000	1161686.29605000000	16599276	471650212051012
42	1790984.82645000000	715935.61962700000	922290.53989500000	16599276	471650212051014
43	1790613.80873000000	715207.16623800000	283783.67548800000	16599276	471650212051013
44	1791534.55362000000	713513.96349200000	436990.72831300000	16599276	471650212051023
45	1792281.46549000000	712571.31451300000	731015.50695600000	16599276	471650212051025
46	1789907.18835000000	716121.71274500000	900977.58461400000	16599276	471650212051007
47	1791629.41190000000	714057.76341400000	373521.77498600000	16599276	471650212051021
48	1790442.17544000000	716542.10611100000	634750.70747000000	16599276	471650212051017
49	1791875.79544000000	714740.02584900000	1550757.29906000000	16599276	471650212051019
50	1791593.91298000000	712373.62526000000	761412.45001000000	16599276	471650212051022
51	1791441.35196000000	715514.00076200000	644806.34943300000	16599276	471650212051018
52	1790962.11738000000	716865.04999700000	656694.39634500000	16599276	471650212051015
53	1792260.02775000000	713504.49642000000	676639.95256900000	16599276	471650212051024
54	1796853.02682000000	711273.89813500000	378371.53214000000	16599256	471650212011014
55	1795536.68345000000	710860.53867700000	1163558.16645000000	16599256	471650212011020
56	1795929.06220000000	709973.30524400000	6608.08761767000	16599256	471650212011022
57	1796675.56571000000	710984.37090000000	305718.64608000000	16599256	471650212011012
58	1796238.12507000000	710562.44095500000	282009.94113600000	16599256	471650212011013
59	1795909.79938000000	711790.99585700000	1211155.82895000000	16599256	471650212011009
60	1794898.57313000000	711067.31811900000	1837812.75307000000	16599256	471650212011018
61	1795615.51589000000	708878.02041900000	2667449.23392000000	16599260	471650212014010
62	1795887.20000000000	709713.45529900000	13468.60155530000	16599260	471650212014009
63	1795380.42626000000	707141.89265500000	12323.56787760000	16599260	471650212014014
64	1795816.39278000000	707592.29873000000	2025853.83837000000	16599260	471650212014013
65	1796559.10872000000	708830.81461200000	973466.50741900000	16599260	471650212014011
66	1796773.90233000000	709423.63618700000	1128225.98973000000	16599260	471650212014008
67	1795789.10535000000	706611.26438300000	870268.57305500000	16599260	471650212014016
68	1788981.20794000000	716432.97847800000	3749902.29251000000	16599277	471650212051006
69	1789318.16307000000	716150.69430900000	552312.22926600000	16599277	471650212051008
70	1790922.82897000000	712744.60739000000	1577307.22880000000	16599277	471650212051011
71	1789710.37334000000	718085.17955100000	8906.01045098000	16599278	471650212051003
72	1789368.36570000000	718093.44773100000	15259.79236880000	16599278	471650212051001
73	1789965.73743000000	717373.69272700000	1201622.71925000000	16599278	471650212051016
74	1789147.95323000000	718594.50617200000	188632.23338400000	16599278	471650212051005
75	1789841.98647000000	718347.89557300000	1858830.72197000000	16599278	471650212051000
76	1792994.46759000000	717060.36468500000	594329.72322100000	16599279	471650212052048
77	1791996.37245000000	717201.74299200000	1635785.05923000000	16599279	471650212052046
78	1792433.03322000000	715718.72667200000	742055.60065400000	16599279	471650212052051
79	1792311.98812000000	716367.30321200000	808359.52182000000	16599279	471650212052050
80	1793976.19516000000	714544.97816500000	505215.45183000000	16599254	471650212011007
81	1793142.86311000000	715208.01859200000	494776.33948100000	16599254	471650212011003
82	1794421.65827000000	713559.41770200000	8435671.19776000000	16599254	471650212011001
83	1793498.90536000000	714787.98963400000	428635.52164900000	16599254	471650212011006
84	1793276.94479000000	714006.04090000000	211887.21702400000	16599254	471650212011005
85	1794572.71218000000	712346.97333800000	9593.86362933000	16599254	471650212011004
86	1793818.19807000000	713698.19201700000	364190.78526400000	16599254	471650212011002
87	1794041.17122000000	717215.86040700000	5631940.96114000000	16599254	471650212011000
88	1794390.49754000000	712133.98575600000	15943.15756680000	16599254	471650212011019
89	1795788.07907000000	714942.40394000000	2666814.61382000000	16599254	471650212011008
90	1792819.59735000000	714685.48401100000	506527.71271300000	16599254	471650212011021
91	1796993.86413000000	712845.73152400000	351308.69142900000	16599255	471650212011016
92	1797558.81021000000	709698.97292600000	11332.90499350000	16599255	471650212011023
93	1797690.51145000000	712133.97654300000	6663834.00970000000	16599255	471650212011011
94	1796689.00929000000	713188.98790700000	454850.05638000000	16599255	471650212011015
95	1796766.89675000000	714074.17071300000	383895.81936400000	16599255	471650212011017
96	1796694.10441000000	712170.70460600000	839227.84355300000	16599255	471650212011010
97	1799744.92949000000	712112.78965700000	1862674.98470000000	16599261	471650212014002
98	1798454.78651000000	708991.26613200000	6155419.51392000000	16599261	471650212014005
99	1797748.16854000000	703459.10386700000	1614018.52265000000	16599261	471650212014018
100	1800367.52376000000	707152.48333700000	1232682.98612000000	16599261	471650212014001
101	1797834.88985000000	708271.83073300000	1829941.90402000000	16599261	471650212014007
102	1797490.40114000000	704411.39668600000	1260816.46026000000	16599261	471650212014017
103	1798340.50405000000	706017.41779200000	10312105.82020000000	16599261	471650212014012
104	1799195.57138000000	711553.31139800000	2214528.41129000000	16599261	471650212014003
105	1797463.12565000000	717130.02495200000	43095.98233930000	16599274	471650212043032
106	1797232.67571000000	716639.86055200000	16828.73061850000	16599274	471650212043024
107	1797433.08553000000	715051.03182500000	1738336.43321000000	16599274	471650212043031
108	1798945.90450000000	716344.97918300000	230461.84184000000	16599274	471650212043026
109	1799019.69775000000	714844.89515900000	6519154.54203000000	16599274	471650212043022
110	1797125.23943000000	715911.92792000000	300620.89093000000	16599274	471650212043027
111	1797012.87250000000	717031.52217300000	444897.19131900000	16599274	471650212043033
112	1798182.93461000000	714929.41749000000	249412.97933700000	16599274	471650212043023
113	1796763.63160000000	716766.80891800000	92836.53187470000	16599274	471650212043029
114	1797328.29442000000	716771.58519900000	190163.45396700000	16599274	471650212043025
115	1798049.10600000000	716554.32941200000	204281.40569900000	16599274	471650212043028
116	1788412.84841000000	718848.42657100000	475508.83063100000	16599281	471650212052037
117	1791793.00260000000	723894.01249500000	129946.31648700000	16599281	471650212052024
118	1790497.43963000000	719705.53119200000	67620.22494440000	16599281	471650212052033
119	1790428.33340000000	721933.71859400000	107891.73828300000	16599281	471650212052032
120	1790727.11308000000	721555.02123900000	10249752.77380000000	16599281	471650212052025
121	1792884.56234000000	718511.01537300000	735205.96182700000	16599285	471650212052049
122	1791848.25421000000	718000.98417900000	595005.87724300000	16599285	471650212052044
123	1791260.64911000000	719601.80116000000	327524.67974100000	16599285	471650212052031
124	1790652.99917000000	719265.73066600000	535301.02131000000	16599285	471650212052028
125	1791162.97881000000	718805.99339000000	1015532.36813000000	16599285	471650212052045
126	1792035.32623000000	719081.34502100000	2987823.91165000000	16599285	471650212052043
127	1793419.59480000000	720948.97217900000	195524.01036100000	16599272	471650212042006
128	1795230.83541000000	721045.45214200000	188177.70350800000	16599272	471650212042022
129	1794681.95186000000	719096.60058000000	3157935.59036000000	16599272	471650212042002
130	1794806.79934000000	721753.50948000000	80106.16548200000	16599272	471650212042000
131	1793796.18802000000	719460.70005900000	1272723.75944000000	16599272	471650212042024
132	1794990.73967000000	721030.99576100000	411217.06516700000	16599272	471650212042001
133	1793995.07805000000	720691.67002200000	467981.17875700000	16599272	471650212042005
134	1792996.07916000000	720188.43520200000	844524.06455500000	16599272	471650212042025
135	1795637.87533000000	719824.82377200000	629986.33769500000	16599272	471650212042011
136	1794799.47044000000	720038.16340500000	477449.88503000000	16599272	471650212042004
137	1795002.49990000000	721431.50303700000	179152.58341100000	16599272	471650212042023
138	1794139.19081000000	720198.00152900000	227187.88108200000	16599272	471650212042003
139	1795667.07802000000	716941.21251700000	8675.38058685000	16599273	471650212042021
140	1795116.84774000000	717416.41301300000	5191.48723392000	16599273	471650212042017
141	1796496.63097000000	716720.79970700000	227825.13183800000	16599273	471650212042016
142	1795997.16170000000	716464.84221600000	2909033.60208000000	16599273	471650212042012
143	1795437.54205000000	717981.38719500000	958347.01302400000	16599273	471650212042008
144	1795308.30770000000	717535.20741200000	8273.27236568000	16599273	471650212042009
145	1795818.18203000000	716515.26317600000	45277.57073100000	16599273	471650212042015
146	1795344.53548000000	716954.70590600000	7943.94959418000	16599273	471650212042020
147	1795671.91009000000	717665.31241500000	12701.99457940000	16599273	471650212042010
148	1795582.59868000000	716656.01983200000	11339.23706590000	16599273	471650212042019
149	1791828.05191000000	725546.58709100000	2448307.32837000000	16599211	471650210092014
150	1792797.83807000000	727206.26639800000	2044067.67350000000	16599211	471650210092005
151	1789951.97914000000	724818.92636800000	536719.71560500000	16599211	471650210092011
152	1793000.23275000000	726240.01124900000	188457.79348900000	16599211	471650210092009
153	1791128.96764000000	728336.37643000000	254188.37761200000	16599211	471650210092001
154	1793302.47418000000	728395.00667200000	54453.17177970000	16599211	471650210092000
155	1793566.85905000000	726445.59432100000	102034.66326900000	16599211	471650210092017
156	1792875.63986000000	725839.27279100000	81290.44247880000	16599211	471650210092015
157	1793558.33403000000	726778.69282800000	47119.12929020000	16599211	471650210092007
158	1793277.96621000000	728144.72067400000	339169.80572800000	16599211	471650210092008
159	1792470.62995000000	728326.89530400000	115667.84060900000	16599211	471650210092002
160	1790486.36082000000	725189.56800400000	2750987.51194000000	16599211	471650210092010
161	1790978.24868000000	727479.16043300000	4263537.09535000000	16599211	471650210092003
162	1793622.30735000000	727602.37914300000	10001.26933470000	16599211	471650210092006
163	1790133.36896000000	727631.17600000000	477812.85525100000	16599211	471650210092004
164	1790405.74174000000	726277.93357500000	337194.98243100000	16599211	471650210092013
165	1789407.21723000000	723861.67340400000	570378.19231600000	16599211	471650210092012
166	1793211.77192000000	725656.74631500000	865314.37287400000	16599211	471650210092016
167	1793306.38029000000	723523.29695000000	5261892.52561000000	16599284	471650212052021
168	1791766.01215000000	722202.62816100000	57309.63377160000	16599284	471650212052026
169	1792330.83611000000	722527.68865700000	3499553.96024000000	16599284	471650212052034
170	1792798.56718000000	723569.64839300000	85989.43526290000	16599284	471650212052035
171	1795161.26452000000	722291.30906700000	173910.52860700000	16599282	471650212052036
172	1795156.85476000000	723415.69075900000	607291.34507200000	16599282	471650212052014
173	1793956.85637000000	721547.65188400000	15299.42370630000	16599282	471650212052042
174	1795635.60555000000	723849.92311000000	364579.78299200000	16599282	471650212052015
175	1796026.68364000000	723775.09421900000	444033.33320900000	16599282	471650212052017
176	1796940.62403000000	723223.36005700000	141164.18630000000	16599282	471650212052019
177	1796339.08175000000	722927.81535900000	1915266.54302000000	16599282	471650212052013
178	1796894.59362000000	724675.89537700000	756920.09961500000	16599282	471650212052010
179	1795085.77592000000	725081.60806800000	193286.55092100000	16599282	471650212052012
180	1796058.35975000000	724989.86061900000	1052761.16111000000	16599282	471650212052011
181	1795530.99080000000	722914.33974500000	590742.11804100000	16599282	471650212052016
182	1794451.66338000000	723728.11328100000	3462651.77515000000	16599282	471650212052020
183	1793906.88833000000	721606.24110100000	16514.43946120000	16599282	471650212052023
184	1799013.17357000000	716693.52621400000	184313.20556100000	16599275	471650212043030
185	1796761.45257000000	719423.60613500000	243471.62124900000	16599275	471650212043011
186	1797944.12622000000	719032.87100900000	761945.46384700000	16599275	471650212043014
187	1795476.37579000000	721155.99713000000	15883.70446350000	16599275	471650212043019
188	1796566.98221000000	718015.38063000000	12335388.83690000000	16599275	471650212043000
189	1797846.84927000000	717369.58026800000	604227.15951800000	16599275	471650212043009
190	1796325.41638000000	719542.26375300000	265620.20002600000	16599275	471650212043010
191	1795234.99924000000	721485.02356500000	41875.11271250000	16599275	471650212043018
192	1800084.04189000000	718480.60540700000	69992.09826640000	16599275	471650212043007
193	1795632.94538000000	720949.87767100000	69108.07119810000	16599275	471650212043020
194	1796107.61834000000	719144.42977100000	262415.19525200000	16599275	471650212043003
195	1797953.48283000000	721827.23171300000	265331.21030500000	16599275	471650212043008
196	1798211.40101000000	722986.08305000000	34744.63720430000	16599275	471650212043004
197	1794974.74452000000	721836.44192100000	16339.77484530000	16599275	471650212043017
198	1796728.12923000000	718686.60115700000	222248.50293600000	16599275	471650212043012
199	1796694.77833000000	722055.49204700000	1645534.26559000000	16599275	471650212043001
200	1797832.69829000000	722777.13474800000	39145.00121160000	16599275	471650212043002
201	1798040.56252000000	719806.58494800000	2536468.56065000000	16599275	471650212043013
202	1798010.88391000000	722881.58976300000	84178.44796020000	16599275	471650212043015
203	1795207.47590000000	721795.12278700000	160088.15871300000	16599275	471650212043016
204	1799469.09546000000	718723.69849500000	7422.62981471000	16599275	471650212043005
205	1795805.89999000000	720989.11803900000	248517.67299600000	16599275	471650212043006
206	1802123.27143000000	721595.72107600000	439787.16265400000	16599269	471650212041039
207	1801930.91317000000	720949.98292200000	1359881.26578000000	16599269	471650212041019
208	1801241.58775000000	722272.20932600000	840782.66945100000	16599269	471650212041024
209	1800058.23475000000	722998.98080400000	219048.69209500000	16599269	471650212041023
210	1798420.46892000000	723084.20820400000	73831.70748120000	16599269	471650212041020
211	1798957.22193000000	722609.78154300000	158647.24110900000	16599269	471650212041018
212	1801027.17621000000	721738.57373600000	916943.22582800000	16599269	471650212041021
213	1800568.75538000000	720452.83474500000	11420384.52340000000	16599269	471650212041015
214	1800419.73248000000	721427.86617900000	1054196.13016000000	16599269	471650212041022
215	1800204.59411000000	726776.28147000000	4776058.38046000000	16599206	471650210081068
216	1800375.48643000000	727387.77746100000	325198.19279200000	16599206	471650210081070
217	1802173.80185000000	726970.96256100000	271899.93846000000	16599206	471650210081069
218	1795484.58972000000	727135.00090900000	6288872.72282000000	16599206	471650210081028
219	1794234.91647000000	728065.69200700000	420490.57444000000	16599206	471650210081073
220	1795849.63266000000	728036.05969800000	313963.96582100000	16599206	471650210081026
221	1796076.39195000000	726259.12030600000	2292697.17526000000	16599206	471650210081067
222	1797803.58009000000	727564.76197000000	198420.92065400000	16599206	471650210081029
223	1800028.68994000000	725526.01043300000	110607.92508700000	16599283	471650212052005
224	1799055.15486000000	725862.59694200000	892413.30309600000	16599283	471650212052008
225	1800345.68635000000	724766.79286100000	6886.87429711000	16599283	471650212052004
226	1797806.05686000000	724971.06684700000	7215277.51579000000	16599283	471650212052009
227	1803699.42961000000	726824.68078400000	22381.97423510000	16599283	471650212052000
228	1799048.92810000000	725582.30146500000	29911.56060920000	16599283	471650212052018
229	1800141.20035000000	725795.56769700000	91166.91439020000	16599283	471650212052006
230	1799578.09273000000	726063.78018900000	137240.76999100000	16599283	471650212052007
231	1803636.69841000000	726771.12405800000	47642.71171980000	16599283	471650212052001
232	1803215.52316000000	726534.65189800000	305533.66967700000	16599283	471650212052002
233	1801020.27650000000	725649.66524600000	2624691.12633000000	16599283	471650212052003
234	1802412.07549000000	725314.64446800000	19256.01543330000	16599270	471650212041031
235	1801156.04919000000	724412.93476800000	18960.57895350000	16599270	471650212041038
236	1802604.70622000000	722656.25258200000	2327490.03086000000	16599270	471650212041016
237	1801475.30127000000	723338.58187700000	2264889.86897000000	16599270	471650212041017
238	1801990.84081000000	724619.84003900000	1228480.01992000000	16599270	471650212041032
239	1801268.57769000000	724865.00136300000	1107170.60066000000	16599270	471650212041033
240	1800719.80301000000	724280.04112700000	16356.72254740000	16599270	471650212041036
241	1800275.93719000000	724165.29940300000	679060.76253500000	16599270	471650212041025
242	1800400.22671000000	724516.53156200000	11104.51510990000	16599270	471650212041037
243	1805661.78594000000	725840.40538200000	336899.65511000000	16599271	471650212041011
244	1802802.05974000000	725184.37178700000	129551.08568200000	16599271	471650212041029
245	1806468.37665000000	725202.07050600000	653071.44122300000	16599271	471650212041013
246	1803360.00275000000	724754.55809600000	64338.66201020000	16599271	471650212041009
247	1802760.71359000000	725488.98783100000	677248.44599900000	16599271	471650212041028
248	1806376.20406000000	724496.22987300000	713603.98045400000	16599271	471650212041014
249	1803776.04089000000	725581.43237600000	115316.88782300000	16599271	471650212041005
250	1803158.90046000000	724701.98897600000	221737.49291100000	16599271	471650212041034
251	1805357.97447000000	726931.16791600000	158505.94044700000	16599271	471650212041002
252	1805477.96770000000	727236.39655900000	694657.20223500000	16599271	471650212041001
253	1804860.36666000000	727258.55725700000	570438.45869200000	16599271	471650212041000
254	1803138.88265000000	723739.92053200000	285387.38342100000	16599271	471650212041010
255	1804055.41231000000	724028.92637200000	13764.97623580000	16599271	471650212041007
256	1803049.62262000000	725111.36415200000	272907.34697100000	16599271	471650212041030
257	1806428.27276000000	726316.40588700000	792131.26762000000	16599271	471650212041006
258	1804674.51325000000	725274.01958500000	9409815.02580000000	16599271	471650212041003
259	1807602.84035000000	725655.79947900000	3907351.09598000000	16599271	471650212041012
260	1803284.71304000000	723840.38070800000	15829.83675340000	16599271	471650212041035
261	1809064.90913000000	726010.40214700000	391762.46783100000	16599265	471650212032019
262	1812701.16639000000	717290.89947000000	30763102.36730000000	16599265	471650212032032
263	1809750.93238000000	725597.39331300000	1037042.74375000000	16599265	471650212032025
264	1811606.08291000000	724254.16090500000	4454751.99390000000	16599265	471650212032021
265	1813539.74888000000	718626.54240600000	606514.64611500000	16599265	471650212032033
266	1813296.05171000000	721961.35781100000	1069890.24299000000	16599265	471650212032035
267	1808706.26855000000	725541.45736000000	680655.57050500000	16599265	471650212032028
268	1810106.22890000000	724844.99531300000	311153.17868100000	16599265	471650212032027
269	1809819.81807000000	724244.75783600000	238327.40578000000	16599265	471650212032024
270	1812294.36807000000	719030.56906000000	144870.06389800000	16599265	471650212032034
271	1810633.86224000000	725674.37330600000	1190286.77843000000	16599265	471650212032026
272	1806702.85359000000	728043.05916900000	11185.26106610000	16599267	471650212032040
273	1807955.97491000000	726859.97782800000	337035.99933400000	16599267	471650212032029
274	1811370.21998000000	730829.95147800000	2454485.06376000000	16599267	471650212032010
275	1811151.16643000000	727928.39698500000	16754890.16370000000	16599267	471650212032014
276	1810423.23757000000	729377.36720500000	36289.14373820000	16599267	471650212032016
277	1806875.62478000000	728213.80974700000	20727.90808310000	16599267	471650212032038
278	1810244.73673000000	728629.03524200000	9985.22084494000	16599267	471650212032017
279	1813283.04350000000	732163.22388100000	1724215.45144000000	16599267	471650212032011
280	1806795.05835000000	728174.79309900000	19123.22182810000	16599267	471650212032037
281	1806753.05784000000	728270.89036000000	51977.36719720000	16599267	471650212032036
282	1813648.24048000000	729100.45858500000	5565.47022401000	16599267	471650212032013
283	1808071.42751000000	727220.45144500000	743719.20015900000	16599267	471650212032030
284	1810758.83500000000	726641.28675500000	1275506.26257000000	16599267	471650212032015
285	1806865.63402000000	727899.85821600000	13353.91684360000	16599267	471650212032041
286	1812496.89622000000	731756.85314700000	27406.47203500000	16599267	471650212032009
287	1813268.11585000000	730429.34293900000	4120445.37399000000	16599267	471650212032012
288	1808498.85271000000	728994.82614400000	3468342.16261000000	16599267	471650212032020
289	1810232.22308000000	729938.01113600000	61597.21392910000	16599267	471650212032007
290	1818607.65886000000	723080.09373500000	1618756.84748000000	16599263	471650212031031
291	1815960.41396000000	732419.11556400000	7731879.63038000000	16599263	471650212031008
292	1816744.15401000000	729954.62811500000	523312.17359100000	16599263	471650212031017
293	1816821.50507000000	730542.09342300000	132036.94499300000	16599263	471650212031048
