blockid10	xcoord	ycoord	sqft	IFE002	CNS01	CNS02	CNS03	CNS04	CNS05	CNS06	CNS07	CNS08	CNS09	CNS10	CNS11	CNS12	CNS13	CNS14	CNS15	CNS16	CNS17	CNS18	CNS19	CNS20	C000
470370101041021	1705253.90254	707773.794228	236298.902259	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041022	1720606.66566	710840.711983	5388857.12775	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
470370101041023	1723419.2171	709136.840926	18216138.7344	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
470370101041024	1723059.01221	704544.505129	135037.196291	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042000	1698424.5448	729090.210719	6344239.23673	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042001	1700509.43176	727761.38958	12920677.8825	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6
470370101042002	1702201.51382	728909.258687	59793.020687	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042003	1704307.57569	726130.071381	17234668.7437	37	0	0	0	7	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267
470370101042004	1703597.79619	724421.837555	284447.744331	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042005	1706319.32118	724043.167643	427257.041583	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042006	1698791.69882	722095.804293	62684937.8578	73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8
470370101042008	1699323.66891	725862.309053	413718.073286	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042010	1697620.11463	726847.571444	2921459.25624	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042011	1694806.59337	714744.055923	29449870.0993	39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042013	1701841.79777	715339.486265	37001224.0888	74	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	24
470370101042014	1706950.78996	714994.630739	223549.565827	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
470370101042015	1704716.62245	718919.394119	30853545.3589	67	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	13
470370101042016	1707085.47247	717375.682429	189104.142597	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042017	1704941.5145	721720.350734	7754016.64438	48	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	12
470370101042018	1692962.73299	717652.431794	4530106.5365	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042019	1700136.17635	710400.43691	52416083.6803	73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042020	1691936.68822	711473.357518	15071492.2233	29	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7
470370101042021	1688005.29237	709418.065985	2547967.00836	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042022	1685295.61429	706347.114248	701763.453947	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042023	1690589.89148	707652.114375	38846784.3831	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101042024	1684271.63193	703118.845505	10779852.8496	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051000	1718077.67268	705378.50289	65717067.8988	142	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	5	3	0	18
470370101051001	1721843.66177	704898.5898	164014.577435	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051002	1714289.87645	706133.481453	1585583.81715	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051003	1718733.11879	700663.645313	2760463.24022	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051004	1718817.52254	700367.615563	761774.799453	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051005	1715708.31268	704346.942904	63240.1810921	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051006	1722299.26859	698824.838641	5700871.84444	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051007	1723186.11881	697716.508399	85375.1972235	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051008	1723708.23744	696170.992897	3201012.55661	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051009	1723574.81197	692821.053045	2750807.91252	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051010	1724319.2495	692660.119498	1376641.93722	18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051011	1724408.10487	692055.597844	106865.492085	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051012	1723796.30254	691603.850363	169351.471896	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101051013	1722920.87175	691240.12628	106740.616779	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052000	1712615.7817	703620.124483	54285383.8561	70	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
470370101052001	1710540.95077	702820.924313	320289.099137	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052002	1714999.14236	704016.579053	342214.719887	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052003	1712863.7015	702756.505385	155155.870322	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052004	1709842.56367	707461.608825	277372.457661	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052005	1717232.61511	698931.813814	8225996.91197	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052006	1715421.75293	695630.046364	98120056.8449	162	0	0	0	13	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	16
470370101052007	1720118.0604	691104.346387	204140.445244	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052008	1719590.48927	697671.562202	6616741.8628	10	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
470370101052009	1722040.51157	691505.141595	205620.599444	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052010	1722082.20254	697676.355699	84144.2861749	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052011	1722760.37209	694055.542665	1112710.84217	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
470370101052012	1712945.01171	689886.091164	55361.8568981	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052013	1715345.55797	690508.364008	196831.525999	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052014	1713143.7021	689072.300474	88779.4938296	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052015	1715434.78815	688886.935776	13972546.2448	108	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
470370101052016	1716767.28361	686917.177674	493590.103985	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
470370101052017	1716952.74517	687290.803903	299775.965779	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052018	1716651.26171	687520.098204	540995.596151	25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052019	1719835.52704	689291.084113	12659639.4955	94	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052020	1718611.62577	688300.495952	1253527.25312	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7
470370101052021	1718102.70625	689068.821476	390683.683095	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052022	1718937.68414	689023.380917	440764.901042	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052023	1721609.58565	690976.573702	216222.417001	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052024	1721963.06853	690880.500786	305002.930035	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052025	1718144.72147	687653.384844	1140670.50629	36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052026	1714995.67548	686795.18204	350134.791576	18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052027	1715745.69061	687136.03087	770045.258358	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052028	1713939.86816	686643.628593	490224.660663	22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101052029	1722216.72579	691345.285578	258068.030612	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101053000	1723167.41478	689475.475125	10428790.2999	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	6
470370101053001	1724403.07094	690129.271777	367358.322081	23	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
470370101053002	1723897.94632	690864.562524	583002.73468	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101053003	1723826.14685	690142.143501	704993.32505	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101054000	1725130.60462	690407.274821	778127.406621	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101054001	1724866.90975	689249.429502	684596.359715	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101054002	1725649.49043	689166.538153	1324493.38573	86	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101054003	1725267.18841	688758.90482	338799.46582	22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101054004	1725513.0087	688145.974683	255206.855128	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101054005	1724537.36494	688123.266272	862898.308383	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061000	1736185.10356	706991.374174	14969639.1797	33	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	56
470370101061001	1738084.12713	702435.07724	27139912.5591	52	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	96
470370101061002	1739517.65851	704113.810448	215135.401833	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
470370101061003	1736816.57506	699805.73941	904107.776702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
470370101061004	1734692.93153	705352.105529	954706.479534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5
470370101061005	1732085.3124	702505.895001	74433132.4825	40	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3
470370101061006	1735828.09466	697075.656832	599508.885142	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061007	1728126.4422	698399.435317	52382594.7643	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
470370101061008	1725002.36284	703219.991252	71825.0102234	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061009	1724048.17365	703042.276927	1177988.48724	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061010	1723825.23393	704002.332644	195483.587437	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061011	1724810.48931	704322.550437	2246578.08426	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061012	1724265.1951	703556.193537	59721.8730831	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061013	1726379.1022	705771.935776	2671668.15275	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061014	1725810.57166	694977.590457	10033905.894	32	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	16
470370101061015	1723956.74664	698734.724476	284650.056346	4	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12
470370101061016	1724038.56335	701080.43821	1859587.26949	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061017	1736704.72945	700947.408105	510247.45777	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5
470370101061018	1727709.97327	692878.313557	104440.382112	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061019	1726645.5734	692620.93257	107406.967146	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061020	1727672.06027	692619.034344	277430.66705	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061021	1726494.20011	691681.100485	2610507.66572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
470370101061022	1725755.81985	691159.472139	1102241.20507	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	4
470370101061023	1725183.16368	692393.725299	5401.5673703	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061024	1724621.48545	695380.581153	2837060.64948	67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061025	1726080.79835	689095.702419	218996.781105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
470370101061026	1727115.49958	690387.932944	1719732.06358	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061027	1727606.3554	691653.154997	1498902.84853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
470370101061028	1726823.47061	691623.928115	31725.3496607	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101061029	1727137.70243	692031.328364	131126.769728	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101062000	1737697.97923	696077.819809	111601.234538	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	26
470370101062001	1737272.07671	695872.364955	873282.123566	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101062002	1736833.01056	695414.261993	286475.856855	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
