blockid10	xcoord	ycoord	sqft	IFE002	CNS01	CNS02	CNS03	CNS04	CNS05	CNS06	CNS07	CNS08	CNS09	CNS10	CNS11	CNS12	CNS13	CNS14	CNS15	CNS16	CNS17	CNS18	CNS19	CNS20	C000
470370101031000	1704851.8815	748572.969501	2640264.23873	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031001	1702472.13523	747709.317199	17286816.8172	35	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	11
470370101031002	1700429.16733	746304.641334	510436.910524	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
470370101031003	1706961.35254	745966.969555	15254662.3228	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031004	1704039.56507	740942.829502	59856311.0781	80	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
470370101031005	1710362.14438	741840.288077	31525969.8983	65	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
470370101031006	1708078.11573	742447.823405	189870.37629	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031007	1708252.47095	741012.128241	73356.0471638	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031008	1708751.17352	738879.097323	1431700.82688	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031009	1701978.33965	736959.789734	6970661.78688	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031010	1700064.85214	734496.060742	11310563.2191	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031011	1698847.61247	731253.384017	181739.024656	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031012	1700789.6261	729977.292972	647340.103978	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031013	1701098.6204	731879.82411	8096624.09965	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031014	1702077.7711	734337.402498	43180.4382247	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031015	1702013.6429	730275.188637	97435.9017865	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031016	1703856.50112	734818.644304	5606711.26004	18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031017	1705929.45471	734462.703039	7228348.52825	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
470370101031018	1709970.73111	731463.881481	31497411.9098	6	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
470370101031019	1708045.59573	729484.782611	13962454.9459	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031020	1704574.01127	730420.920284	24944870.6932	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031021	1702030.08254	733107.918685	452562.073736	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031022	1704400.69719	727972.849483	1186115.80389	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031023	1709190.89962	726446.490791	501010.57301	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031024	1711842.52933	725981.702732	229690.528403	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101031025	1712209.03747	726128.639847	256434.335017	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032000	1716599.69342	745776.602804	1568791.35515	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032001	1715250.14112	746149.98632	686972.555016	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032002	1715189.08155	744537.307447	3547674.35034	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032003	1716431.06768	743822.630194	3944026.035	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032004	1721325.67266	736857.295554	29162596.2006	66	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
470370101032005	1724151.72229	736101.590019	2236017.21734	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032006	1720787.64383	733175.852518	6467828.51138	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
470370101032007	1715715.37347	742052.651643	27211.0466857	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032008	1715592.46453	741954.817847	45837.3685598	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032009	1715700.80977	739010.747631	5649265.88208	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032010	1718334.95759	737694.888125	15049310.0901	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
470370101032011	1716701.4762	736426.773668	49199.632928	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032012	1718629.6269	734826.67208	6340378.49411	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
470370101032013	1717331.9079	734923.197846	305599.021814	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032014	1714974.41556	733167.941507	40141496.0754	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	24
470370101032015	1712012.74051	737809.83752	25572673.355	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	7
470370101032016	1720079.92519	731556.71825	7199952.60312	21	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
470370101032017	1720191.56842	729605.769763	4835481.95828	36	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2
470370101032018	1726252.84388	725614.224162	19306145.4556	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
470370101032019	1727541.17177	724978.648891	682086.555698	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032020	1725570.63654	731563.317513	12000458.9348	88	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
470370101032021	1726168.66018	734083.171479	1137443.01413	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032022	1718499.55928	729024.994341	125092.435597	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8
470370101032023	1715269.9452	728262.933579	22366612.6005	81	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	10
470370101032024	1718112.87191	726521.366878	6917455.33573	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032025	1723647.4576	724578.53691	50765224.5247	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5
470370101032026	1715812.17467	725745.901028	1408772.91702	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032027	1714431.12683	725816.86868	611587.194369	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032028	1713181.85057	726018.866893	534615.715903	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032029	1713746.05115	725617.464004	305914.094214	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032030	1715749.95656	725051.26139	236523.556559	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032031	1719731.78053	723950.712598	1135520.92466	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032032	1725659.19498	720380.795609	1110141.47932	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032033	1727067.39086	719579.017234	2105431.75053	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032034	1729659.86491	716049.851325	1153794.29606	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032035	1729399.84	715868.788876	280089.279502	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101032036	1715178.56724	742633.413499	852527.334881	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041000	1717106.05262	723797.094757	8174923.28501	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7
470370101041001	1713805.09585	724374.707149	4179315.93859	74	0	0	0	1	0	0	4	4	0	0	0	0	0	0	0	6	11	38	0	0	64
470370101041002	1712450.44711	725483.239244	316522.657789	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041003	1712094.36521	725598.968784	268798.364211	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041004	1712167.6145	725303.737332	357154.619285	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041005	1709484.95253	726054.966475	2082578.17693	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	87
470370101041006	1708929.23592	724746.703475	9122412.06906	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041007	1711958.43603	723638.64019	7311916.2574	20	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	15
470370101041008	1711018.66592	719457.7449	24620878.1416	33	0	0	0	0	0	1	4	0	0	0	0	0	0	25	0	3	0	0	10	0	43
470370101041009	1708811.81133	719714.783334	4088989.02252	23	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
470370101041010	1708806.14948	722541.965005	5361570.35083	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3
470370101041011	1713770.73846	718033.664677	8128275.28225	18	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	1	0	0	6	0	18
470370101041012	1722496.82326	716528.382465	142934576.871	113	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
470370101041013	1716479.40514	716013.926497	540937.555136	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041014	1716673.29796	717179.497052	527830.560202	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041015	1717170.43801	711504.352165	55308522.6659	88	0	0	0	2	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15
470370101041016	1719910.32904	706968.129301	700517.393802	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041017	1710233.05753	714069.832549	23505607.7035	45	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5
470370101041018	1707291.38107	708912.665679	45281302.068	143	0	0	0	9	1	0	42	0	0	1	0	0	0	0	0	0	0	0	0	0	53
470370101041019	1704749.07021	707044.288782	99089.2723958	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
470370101041020	1707072.62328	713118.063642	52991.0281826	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
