TAZ	XCOORD	YCOORD	AREA	HH10	EMP_ARG	EMP_MANU	EMP_TRANS	EMP_RET	EMP_OFFICE	EMP10
16599257.00000000000	1793332.08364000000	707949.68410500000	20431280.42540000000	351.00000000000	6.75000000000	3.56000000000	0.00000000000	280.61000000000	18.81000000000	309.73000000000
16599259.00000000000	1793632.01489000000	701194.43248400000	11257555.30380000000	243.00000000000	0.00000000000	1.42000000000	0.00000000000	0.00000000000	18.40000000000	19.82000000000
16599258.00000000000	1795926.53304000000	703291.77119700000	15728231.05070000000	429.00000000000	4.05000000000	0.00000000000	0.00000000000	3.88000000000	38.36000000000	46.29000000000
16599276.00000000000	1791196.70848000000	714743.71519400000	10290326.92910000000	282.00000000000	6.75000000000	0.00000000000	0.67000000000	102.56000000000	55.46000000000	165.44000000000
16599256.00000000000	1795600.45516000000	711169.96356900000	5194275.23795000000	220.00000000000	0.00000000000	0.00000000000	2.31000000000	1.94000000000	3.96000000000	8.21000000000
16599260.00000000000	1795978.54044000000	708353.59230900000	7706764.04544000000	161.00000000000	0.00000000000	0.00000000000	0.00000000000	0.00000000000	83.89000000000	83.89000000000
16599277.00000000000	1789534.64529000000	715415.18778900000	5894129.75914000000	73.00000000000	1.35000000000	0.00000000000	0.00000000000	0.00000000000	23.83000000000	25.18000000000
16599278.00000000000	1789843.40107000000	718000.82666300000	3288959.86417000000	42.00000000000	28.35000000000	0.00000000000	0.67000000000	0.00000000000	497.01000000000	526.03000000000
16599279.00000000000	1792307.50993000000	716709.04414100000	3786566.45604000000	144.00000000000	4.05000000000	0.00000000000	0.00000000000	0.00000000000	0.00000000000	4.05000000000
16599254.00000000000	1794369.14729000000	714949.08789200000	19288910.64630000000	391.00000000000	0.00000000000	0.00000000000	0.00000000000	7.74000000000	94.97000000000	102.71000000000
16599255.00000000000	1797473.48501000000	712301.74354200000	8719571.41087000000	229.00000000000	13.77000000000	1.42000000000	0.00000000000	13.55000000000	38.63000000000	67.37000000000
16599261.00000000000	1798672.54344000000	707661.89340600000	26523107.41840000000	303.00000000000	22.15000000000	0.71000000000	0.00000000000	0.00000000000	25.56000000000	48.42000000000
16599274.00000000000	1798494.66799000000	715147.02404000000	10041269.89500000000	440.00000000000	5.40000000000	0.00000000000	1.35000000000	0.00000000000	22.52000000000	29.27000000000
16599281.00000000000	1790635.15238000000	721456.05084200000	11054002.38750000000	0.00000000000	45.10000000000	4.00000000000	114.47000000000	876.12000000000	950.14000000000	1989.83000000000
16599285.00000000000	1791814.54207000000	718905.20434500000	6213272.60964000000	120.00000000000	174.99000000000	1.42000000000	0.00000000000	398.63000000000	426.24000000000	1001.28000000000
16599272.00000000000	1794445.90198000000	720035.31103200000	8144476.93575000000	291.00000000000	5.40000000000	0.00000000000	10.10000000000	173.21000000000	167.62000000000	356.33000000000
16599273.00000000000	1795885.05674000000	716834.03774900000	4219495.74499000000	259.00000000000	4.05000000000	1.42000000000	0.00000000000	0.00000000000	0.00000000000	5.47000000000
16599211.00000000000	1791391.49749000000	726385.33816000000	15507467.44300000000	431.00000000000	0.00000000000	1.42000000000	0.00000000000	14.51000000000	56.45000000000	72.38000000000
16599284.00000000000	1792907.70823000000	723121.80576300000	8916368.66239000000	0.00000000000	5.40000000000	0.00000000000	2.02000000000	1685.50000000000	270.47000000000	1963.39000000000
