stop_id,mode,XCOORD,YCOORD
519,1,1745102.88,644829.8304
518,1,1745358.412,647507.5599
517,1,1737889.326,668054.228
6627,1,1744911.303,682656.3383
6626,1,1744969.636,682188.082
6406,1,1737885.217,668500.9465
6405,1,1737629.945,668841.1854
509,2,1857964.207,548462.971
508,2,1858228.196,550073.8124
507,2,1858884.497,555122.3658
506,2,1853003.043,556558.2935
505,2,1758956.263,648216.8777
504,2,1754028.49,647169.9983
502,2,1757374.531,647701.6207
501,2,1758101.584,647916.5641
500,2,1761051.945,650054.7257
499,2,1827002.128,583601.7101
498,2,1829848.659,579601.2046
497,2,1849591.566,553232.9844
496,2,1850933.764,553460.481
495,2,1852831.837,556425.7468
494,2,1855626.463,556291.3341
493,2,1858785.711,555485.2965
492,2,1858712.744,553901.0235
491,2,1858228.8,550076.7222
490,2,1857969.393,548501.5366
489,2,1857964.207,548462.971
488,2,1858228.196,550073.8124
487,2,1858884.497,555122.3658
486,2,1853003.043,556558.2935
485,2,1758956.263,648216.8777
483,2,1757374.531,647701.6207
482,2,1758101.584,647916.5641
481,2,1761051.945,650054.7257
478,2,1849591.566,553232.9844
477,2,1850933.764,553460.481
476,2,1852831.837,556425.7468
475,2,1855626.463,556291.3341
474,2,1858785.711,555485.2965
473,2,1858712.744,553901.0235
472,2,1858228.8,550076.7222
471,2,1857969.393,548501.5366
470,2,1737888.139,668053.5094
469,2,1737710.723,667941.7076
468,2,1737888.139,668053.5094
466,2,1703990.76,540912.5487
465,2,1699941.239,533832.3691
464,2,1696964.883,526666.9832
463,2,1694857.668,520290.9122
462,2,1690947.616,515785.0409
461,2,1703459.358,514718.4281
460,2,1703462.351,514753.7106
459,2,1690891.993,515740.434
458,2,1694772.292,520173.0461
457,2,1696915.94,526508.7276
456,2,1699848.048,533504.5193
455,2,1704044.188,540984.1383
454,2,1737889.326,668054.228
452,1,1763965.638,639220.9258
451,1,1762929.969,639011.6677
450,1,1760209.87,638166.1801
448,1,1756585.654,639737.4883
447,1,1755549.019,639923.8466
446,1,1754612.09,639247.4623
445,1,1753609.907,638543.9263
444,1,1753561.08,635274.1399
442,1,1750512.276,631954.3715
441,1,1749460.617,629369.2851
438,2,1725876.54,588474.0801
437,2,1725961.626,588666.6672
436,2,1737889.326,668054.228
435,2,1737889.326,668054.228
434,2,1738414.131,668456.6837
433,2,1761858.308,725633.1063
6576,1,1744782.098,680869.4891
430,1,1737888.139,668053.5094
429,1,1737889.326,668054.228
426,2,1723768.346,579566.5564
425,2,1723506.108,578668.1675
424,2,1721005.759,577208.1856
423,2,1737889.326,668054.228
422,2,1738414.131,668456.6837
420,2,1712736.876,724751.7115
419,2,1707611.951,783259.9516
418,2,1708291.317,792477.9794
6322,2,1738414.131,668456.6837
6321,2,1827378.418,747861.743
6320,2,1827028.584,745197.4208
6059,2,1783981.542,662658.4933
409,1,1737888.139,668053.5094
408,1,1737888.139,668053.5094
407,1,1737888.139,668053.5094
406,2,1708291.941,792481.9787
405,2,1707612.249,783260.313
404,2,1712940.531,724826.7235
403,2,1713401.078,721870.436
402,2,1713719.666,721779.1513
6714,1,1761055.152,702101.4276
6713,1,1760930.728,701199.4676
6712,1,1766716.024,702984.8892
6711,1,1767747.494,702880.8556
6710,1,1768571.527,702410.601
6709,1,1768368.816,701664.9678
6708,1,1766535.223,701500.4496
6707,1,1767499.474,701220.3121
6294,2,1732117.431,658197.3667
6676,1,1758214.772,701831.1087
6675,1,1758286.154,702078.1457
6674,1,1758523.337,702866.0536
6673,1,1760815.187,703375.8891
6672,1,1764799.434,703540.4338
6671,1,1764648.884,703555.3312
6532,2,1737277.398,667132.256
377,4,1737695.928,667974.226
376,1,1738060.183,668158.0741
375,1,1738414.131,668456.6837
374,1,1763193.424,686403.5017
373,1,1758630.556,687725.4136
372,1,1758418.707,690353.2178
370,1,1756608.758,691306.4284
369,1,1758414.647,690362.7127
368,1,1758630.266,687726.1438
367,1,1743258.98,645000.6746
366,1,1742754.072,646207.7672
364,1,1738060.183,668158.0741
363,1,1737695.928,667974.226
6293,2,1732064.538,657723.8129
360,1,1737695.928,667974.226
358,1,1738070.346,668136.8783
357,2,1738070.346,668136.8783
356,2,1786425.83,616673.6755
355,2,1738070.346,668136.8783
354,1,1737888.139,668053.5094
351,1,1738060.183,668158.0741
350,1,1735850.046,673391.1401
349,1,1735566.445,673943.1395
348,1,1735345.009,674370.8635
347,1,1734996.634,675012.2201
346,1,1734285.452,675746.8056
345,1,1733482.515,676225.8649
344,1,1737695.928,667974.226
343,1,1737888.139,668053.5094
342,1,1737710.723,667941.7076
341,1,1738070.346,668136.8783
339,1,1738414.131,668456.6837
338,1,1738421.838,668460.6269
336,1,1737888.139,668053.5094
334,1,1744538.374,648116.0253
333,1,1744322.926,644826.0386
332,1,1743258.98,645000.6746
331,1,1742754.072,646207.7672
330,1,1737888.139,668053.5094
328,1,1735657.585,647187.6262
327,1,1735410.903,646232.5485
326,1,1735167.402,645417.2396
324,1,1737888.139,668053.5094
322,1,1771964.825,657897.0694
321,1,1771957.224,657908.4064
320,1,1738070.346,668136.8783
319,2,1737888.139,668053.5094
240,2,1789228.095,639734.0193
239,1,1767550.524,719673.614
238,1,1738421.838,668460.6269
237,1,1737888.139,668053.5094
236,1,1725783.78,670856.1
235,1,1737695.928,667974.226
233,1,1737888.139,668053.5094
231,1,1737710.723,667941.7076
230,1,1745107.938,662716.6586
229,1,1731005.376,667537.7199
228,1,1737889.326,668054.228
227,1,1738070.346,668136.8783
225,1,1731005.376,667537.7199
224,1,1738060.183,668158.0741
223,1,1737695.928,667974.226
222,1,1737889.326,668054.228
221,1,1737695.928,667974.226
6447,1,1721633.482,666503.3919
6446,1,1722047.659,665672.7384
6376,1,1721647.571,667841.1495
6375,1,1721006.89,667656.2339
6374,1,1722002.188,668162.8527
6373,1,1726342.095,668762.8669
6351,1,1721993.46,668143.2686
6350,1,1722024.043,668198.7071
209,1,1738070.346,668136.8783
208,1,1738070.346,668136.8783
206,1,1744995.379,691075.8352
6292,2,1732068.072,657758.7323
22,2,1738070.346,668136.8783
21,1,1738421.838,668460.6269
20,1,1738414.131,668456.6837
19,1,1767552.889,719674.6897
18,1,1737888.139,668053.5094
17,1,1737888.139,668053.5094
16,1,1737888.139,668053.5094
13,1,1737888.139,668053.5094
12,1,1738070.346,668136.8783
10,1,1737888.139,668053.5094
8,1,1744685.435,664392.3517
7,2,1738070.346,668136.8783
5,1,1744295.555,635998.6626
3,1,1737888.139,668053.5094
2,1,1738070.346,668136.8783
480,2,1827002.128,583601.7101
479,2,1829848.659,579601.2046
440,2,1724623.475,584104.6037
428,2,1737888.139,668053.5094
6625,1,1744914.007,681786.2373
371,1,1756470.497,691396.2723
352,1,1737889.326,668054.228
439,2,1725477.088,586622.3351
522,1,1738143.834,667987.033
525,1,1738585.866,667150.5724
526,1,1738698.378,666933.0694
528,1,1739062.106,666231.9372
529,1,1739258.716,665860.1413
530,1,1739413.331,665552.752
531,1,1739585.483,665222.6537
532,1,1739828.252,664750.3837
533,1,1739994.828,664423.2447
534,1,1740254.497,663920.9933
535,1,1740520.857,663404.8579
536,1,1740696.574,663074.3749
537,1,1741367.068,661797.8505
538,1,1741600.132,661360.6216
539,1,1741823.895,660941.3059
540,1,1742026.091,660557.1095
541,1,1742575.847,659495.9849
542,1,1742758.539,659145.0747
543,1,1742986.346,658709.7195
