microzoneid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
26,1794370.19325,700116.154932,1678316.97152,16599259,471650212013027,40,0,0,0,0,0,0,0.2,0,3.07,0,0,0,3.27,0,0,0,0
27,1795366.56926,700268.158907,1060482.38342,16599259,471650212013025,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1794678.98958,705250.690258,1174426.43038,16599258,471650212013009,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1796686.41375,701719.443587,70444.7023864,16599258,471650212013002,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1796077.02562,701541.216885,5548.22426819,16599258,471650212013004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1795085.37665,703677.229798,1739763.0024,16599258,471650212013010,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1793812.59295,704038.7507,752041.561564,16599258,471650212013012,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1795360.91469,701858.106724,2479988.39248,16599258,471650212013005,73,0,0,0,0,0.32,0,0,0,0,0.32,3.84,0.68,5.16,0,0,0,0
34,1795664.24586,704258.940308,324179.586732,16599258,471650212013008,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1796089.63345,704721.76187,2419021.45276,16599258,471650212013007,54,0,0,0,0,0.32,0,0,0,3.84,0.32,0,0.68,5.16,0,0,0,0
36,1796406.09712,703704.650302,734286.346334,16599258,471650212013026,24,0,0,0,0,0.16,0,0,0,3.84,0.16,0,0.34,4.5,0,0,0,0
37,1794428.69746,704060.288411,946129.795628,16599258,471650212013011,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1797240.13887,702386.787384,5016658.84983,16599258,471650212013001,162,0,0,0,0,1.13,0,0,0,3.84,1.13,23.02,2.36,31.48,0,0,0,0
39,1796142.50334,700858.508882,34238.569544,16599258,471650212013003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1790837.96184,714537.967112,545371.212233,16599276,471650212051020,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1790343.59881,714448.385502,1161686.29605,16599276,471650212051012,30,0,0,0,0,0,0,0.03,0,23.11,0,0,0.26,23.4,0,0,0,0
42,1790984.82645,715935.619627,922290.539895,16599276,471650212051014,22,0,0,0,0,0,0,0.01,0,9.24,0,0,0.11,9.36,0,0,0,0
43,1790613.80873,715207.166238,283783.675488,16599276,471650212051013,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1791534.55362,713513.963492,436990.728313,16599276,471650212051023,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1792281.46549,712571.314513,731015.506956,16599276,471650212051025,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1789907.18835,716121.712745,900977.584614,16599276,471650212051007,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1791629.4119,714057.763414,373521.774986,16599276,471650212051021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1790442.17544,716542.106111,634750.70747,16599276,471650212051017,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1791875.79544,714740.025849,1550757.29906,16599276,471650212051019,55,0,0,0,0,102.56,0,0.63,0,23.11,0,0,6.38,132.68,0,0,0,0
50,1791593.91298,712373.62526,761412.45001,16599276,471650212051022,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1791441.35196,715514.000762,644806.349433,16599276,471650212051018,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1790962.11738,716865.049997,656694.396345,16599276,471650212051015,4,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1792260.02775,713504.49642,676639.952569,16599276,471650212051024,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1796853.02682,711273.898135,378371.53214,16599256,471650212011014,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1795536.68345,710860.538677,1163558.16645,16599256,471650212011020,58,0,0,0,2.97,0.22,0,0,0,0,0.22,0,0,3.42,0,0,0,0
56,1795929.0622,709973.305244,6608.08761767,16599256,471650212011022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1796675.56571,710984.3709,305718.64608,16599256,471650212011012,15,0,0,0,0,0.45,0,1.54,0,0,0.45,0,0,2.44,0,0,0,0
58,1796238.12507,710562.440955,282009.941136,16599256,471650212011013,12,0,0,0,0,0.07,0,0,0,0.99,0.07,0,0,1.14,0,0,0,0
59,1795909.79938,711790.995857,1211155.82895,16599256,471650212011009,46,0,0,0,0,0.15,0,0.51,0,0,0.15,0,0,0.81,0,0,0,0
60,1794898.57313,711067.318119,1837812.75307,16599256,471650212011018,70,0,0,0,0,0.07,0,0.26,0,0,0.07,0,0,0.41,0,0,0,0
61,1795615.51589,708878.020419,2667449.23392,16599260,471650212014010,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1795887.2,709713.455299,13468.6015553,16599260,471650212014009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1795380.42626,707141.892655,12323.5678776,16599260,471650212014014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1795816.39278,707592.29873,2025853.83837,16599260,471650212014013,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1796559.10872,708830.814612,973466.507419,16599260,471650212014011,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1796773.90233,709423.636187,1128225.98973,16599260,471650212014008,17,0,0,0,0,0,0,0,0,83.89,0,0,0,83.89,0,0,0,0
67,1795789.10535,706611.264383,870268.573055,16599260,471650212014016,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1788981.20794,716432.978478,3749902.29251,16599277,471650212051006,36,0,0,0,0,0,0,0,21.48,2.35,0,0,1.35,25.18,0,0,0,0
69,1789318.16307,716150.694309,552312.229266,16599277,471650212051008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1790922.82897,712744.60739,1577307.2288,16599277,471650212051011,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1789710.37334,718085.179551,8906.01045098,16599278,471650212051003,3.07,0,0,0,0,0,0,0,0,0,0,1.62,0,1.63,0,0,0,0
72,1789368.3657,718093.447731,15259.7923688,16599278,471650212051001,1.02,0,0,0,0,0,0,0,0,0,0,1.62,0,1.63,0,0,0,0
73,1789965.73743,717373.692727,1201622.71925,16599278,471650212051016,10.24,0,1463,0,0,0,0,0.26,0,66.59,0,136.43,2.58,205.87,0,0,0,0
74,1789147.95323,718594.506172,188632.233384,16599278,471650212051005,0,0,0,0,0,0,0,0.05,9.75,9.75,0,0,23.2,42.74,0,0,0,0
75,1789841.98647,718347.895573,1858830.72197,16599278,471650212051000,27.66,579,0,0,0,0,0,0.35,1.62,84.46,0,185.16,2.58,274.17,0,0,0,0
76,1792994.46759,717060.364685,594329.723221,16599279,471650212052048,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1791996.37245,717201.742992,1635785.05923,16599279,471650212052046,59,0,0,0,0,0,0,0,0,0,0,0,4.05,4.05,0,0,0,0
78,1792433.03322,715718.726672,742055.600654,16599279,471650212052051,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1792311.98812,716367.303212,808359.52182,16599279,471650212052050,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1793976.19516,714544.978165,505215.45183,16599254,471650212011007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1793142.86311,715208.018592,494776.339481,16599254,471650212011003,21,0,0,0,0,0,0,0,0,37.99,0,0,0,37.99,0,0,0,0
82,1794421.65827,713559.417702,8435671.19776,16599254,471650212011001,111,0,0,0,0,0,0,0,0,0,0,9.5,0,9.5,0,0,0,0
83,1793498.90536,714787.989634,428635.521649,16599254,471650212011006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1793276.94479,714006.0409,211887.217024,16599254,471650212011005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1794572.71218,712346.973338,9593.86362933,16599254,471650212011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1793818.19807,713698.192017,364190.785264,16599254,471650212011002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1794041.17122,717215.860407,5631940.96114,16599254,471650212011000,132,0,0,0,0,0,0,0,0,9.5,7.74,0,0,17.24,0,0,0,0
88,1794390.49754,712133.985756,15943.1575668,16599254,471650212011019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1795788.07907,714942.40394,2666814.61382,16599254,471650212011008,92,0,0,0,0,0,0,0,0,28.49,0,9.5,0,37.99,0,0,0,0
90,1792819.59735,714685.484011,506527.712713,16599254,471650212011021,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1796993.86413,712845.731524,351308.691429,16599255,471650212011016,16,0,0,0,0,0,0,0.11,0,0,0,0,0,0.11,0,0,0,0
92,1797558.81021,709698.972926,11332.9049935,16599255,471650212011023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1797690.51145,712133.976543,6663834.0097,16599255,471650212011011,148,0,0,0,0,13.55,0,1.31,0,38.63,0,0,13.77,67.26,0,0,0,0
94,1796689.00929,713188.987907,454850.05638,16599255,471650212011015,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1796766.89675,714074.170713,383895.819364,16599255,471650212011017,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1796694.10441,712170.704606,839227.843553,16599255,471650212011010,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1799744.92949,712112.789657,1862674.9847,16599261,471650212014002,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1798454.78651,708991.266132,6155419.51392,16599261,471650212014005,47,0,0,0,0,0,0,0.39,12.78,8.52,0,0,12.31,34,0,0,0,0
99,1797748.16854,703459.103867,1614018.52265,16599261,471650212014018,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1800367.52376,707152.483337,1232682.98612,16599261,471650212014001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1797834.88985,708271.830733,1829941.90402,16599261,471650212014007,31,0,0,0,0,0,0,0.24,0,0,0,0,7.38,7.62,0,0,0,0
102,1797490.40114,704411.396686,1260816.46026,16599261,471650212014017,37,0,0,0,0,0,0,0.08,0,0,0,4.26,2.46,6.8,0,0,0,0
103,1798340.50405,706017.417792,10312105.8202,16599261,471650212014012,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1799195.57138,711553.311398,2214528.41129,16599261,471650212014003,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1797463.12565,717130.024952,43095.9823393,16599274,471650212043032,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1797232.67571,716639.860552,16828.7306185,16599274,471650212043024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1797433.08553,715051.031825,1738336.43321,16599274,471650212043031,62,0,0,0,0,0,0,0,0,0,0,0,0.58,0.58,0,0,0,0
108,1798945.9045,716344.979183,230461.84184,16599274,471650212043026,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1799019.69775,714844.895159,6519154.54203,16599274,471650212043022,179,0,0,0,0,0,0,1.35,0,0,0,3.75,2.7,7.8,0,0,0,0
110,1797125.23943,715911.92792,300620.89093,16599274,471650212043027,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1797012.8725,717031.522173,444897.191319,16599274,471650212043033,70,0,0,0,0,0,0,0,0,18.77,0,0,1.93,20.7,0,0,0,0
112,1798182.93461,714929.41749,249412.979337,16599274,471650212043023,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1796763.6316,716766.808918,92836.5318747,16599274,471650212043029,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1797328.29442,716771.585199,190163.453967,16599274,471650212043025,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1798049.106,716554.329412,204281.405699,16599274,471650212043028,14,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0
116,1788412.84841,718848.426571,475508.830631,16599281,471650212052037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1791793.0026,723894.012495,129946.316487,16599281,471650212052024,0,0,0,0,0,3.82,0,0.1,0,2.7,3.82,5.4,0,15.84,0,0,0,0
118,1790497.43963,719705.531192,67620.2249444,16599281,471650212052033,0,0,0,0,0,1.27,0,3.98,5.4,0,5.09,5.4,0,21.14,0,0,0,0
119,1790428.3334,721933.718594,107891.738283,16599281,471650212052032,0,0,0,0,0,3.82,0,4.05,5.4,0,6.37,0,0,19.63,0,0,0,0
120,1790727.11308,721555.021239,10249752.7738,16599281,471650212052025,0,0,0,0,0,334.91,0,110.34,240.23,296.92,517.01,388.69,45.1,1933.22,0,0,0,0
121,1792884.56234,718511.015373,735205.961827,16599285,471650212052049,26,0,0,0,3.6,0,1.8,0.4,0,199.63,0,0,0,205.42,0,0,0,0
122,1791848.25421,718000.984179,595005.877243,16599285,471650212052044,27,0,0,0,0,0,0,0.09,0,25.18,5.74,0,35,66,0,0,0,0
123,1791260.64911,719601.80116,327524.679741,16599285,471650212052031,0,0,0,0,0,25.81,0,0.09,0,5.4,43.02,0,0,74.32,0,0,0,0
124,1790652.99917,719265.730666,535301.02131,16599285,471650212052028,0,0,0,0,0,28.68,0,0.14,0,8.99,68.83,3.6,0,110.24,0,0,0,0
125,1791162.97881,718805.99339,1015532.36813,16599285,471650212052045,0,0,0,0,0,74.56,0,0.28,0,8.99,131.92,1.8,0,217.55,0,0,0,0
126,1792035.32623,719081.345021,2987823.91165,16599285,471650212052043,67,0,0,0,0,8.6,0,0.42,64.75,100.71,11.47,1.8,139.99,327.74,0,0,0,0
127,1793419.5948,720948.972179,195524.010361,16599272,471650212042006,0,0,0,0,0,2.9,0,0,0,2.76,0.72,0.69,0.11,7.18,0,0,0,0
128,1795230.83541,721045.452142,188177.703508,16599272,471650212042022,0,0,0,0,0,2.9,0,0,0,0.69,4.35,0.69,0.13,8.76,0,0,0,0
129,1794681.95186,719096.60058,3157935.59036,16599272,471650212042002,168,0,0,0,0,28.26,0,6.73,0.69,40.01,49.28,8.28,2.02,135.28,0,0,0,0
130,1794806.79934,721753.50948,80106.165482,16599272,471650212042000,0,0,0,0,0,0.72,0,0,0,0,0.72,0,0.02,1.47,0,0,0,0
131,1793796.18802,719460.700059,1272723.75944,16599272,471650212042024,59,0,0,0,0,16.67,0,1.12,0,15.87,19.57,3.45,0.87,57.54,0,0,0,0
132,1794990.73967,721030.995761,411217.065167,16599272,471650212042001,0,0,0,0,0,2.9,0,1.12,0,3.45,5.8,1.38,0.22,14.87,0,0,0,0
133,1793995.07805,720691.670022,467981.178757,16599272,471650212042005,0,0,0,0,0,2.17,0,0,0,6.9,5.07,0.69,0.23,15.07,0,0,0,0
134,1792996.07916,720188.435202,844524.064555,16599272,471650212042025,15,0,0,0,0,0,0,0,17.93,35.87,10.15,8.28,1.14,73.37,0,0,0,0
135,1795637.87533,719824.823772,629986.337695,16599272,471650212042011,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1794799.47044,720038.163405,477449.88503,16599272,471650212042004,18,0,0,0,0,4.35,0,0,0,8.28,5.07,0.69,0.29,18.67,0,0,0,0
137,1795002.4999,721431.503037,179152.583411,16599272,471650212042023,0,0,0,0,0,2.9,0,0,0,5.52,2.17,0.69,0.18,11.46,0,0,0,0
138,1794139.19081,720198.001529,227187.881082,16599272,471650212042003,0,0,0,0,0,3.62,0,1.12,0,4.14,2.9,0.69,0.19,12.66,0,0,0,0
139,1795667.07802,716941.212517,8675.38058685,16599273,471650212042021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1795116.84774,717416.413013,5191.48723392,16599273,471650212042017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1796496.63097,716720.799707,227825.131838,16599273,471650212042016,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1795997.1617,716464.842216,2909033.60208,16599273,471650212042012,143,0,0,0,0,0,0,0.85,0,0,0,0,2.43,3.28,0,0,0,0
143,1795437.54205,717981.387195,958347.013024,16599273,471650212042008,88,0,0,0,0,0,0,0.47,0,0,0,0,1.35,1.82,0,0,0,0
144,1795308.3077,717535.207412,8273.27236568,16599273,471650212042009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1795818.18203,716515.263176,45277.570731,16599273,471650212042015,0,0,0,0,0,0,0,0.09,0,0,0,0,0.27,0.36,0,0,0,0
146,1795344.53548,716954.705906,7943.94959418,16599273,471650212042020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1795671.91009,717665.312415,12701.9945794,16599273,471650212042010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1795582.59868,716656.019832,11339.2370659,16599273,471650212042019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1791828.05191,725546.587091,2448307.32837,16599211,471650210092014,191,0,0,0,0,1.11,0,0.06,0.61,0,0,0,0,1.78,0,0,0,0
150,1792797.83807,727206.266398,2044067.6735,16599211,471650210092005,0,0,0,0,0,1.43,0,0.08,0,0,0,0,0,1.5,0,0,0,0
151,1789951.97914,724818.926368,536719.715605,16599211,471650210092011,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1793000.23275,726240.011249,188457.793489,16599211,471650210092009,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0
153,1791128.96764,728336.37643,254188.377612,16599211,471650210092001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1793302.47418,728395.006672,54453.1717797,16599211,471650210092000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1793566.85905,726445.594321,102034.663269,16599211,471650210092017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1792875.63986,725839.272791,81290.4424788,16599211,471650210092015,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0
157,1793558.33403,726778.692828,47119.1292902,16599211,471650210092007,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0
158,1793277.96621,728144.720674,339169.805728,16599211,471650210092008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1792470.62995,728326.895304,115667.840609,16599211,471650210092002,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0
160,1790486.36082,725189.568004,2750987.51194,16599211,471650210092010,59,0,0,0,0,0,0,0.05,1.82,0.61,0.48,0.61,0,3.56,0,0,0,0
161,1790978.24868,727479.160433,4263537.09535,16599211,471650210092003,72,449,0,0,0,0,0.61,0.1,4.25,1.82,0.71,1.82,0,9.31,0,0,0,0
162,1793622.30735,727602.379143,10001.2693347,16599211,471650210092006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1790133.36896,727631.176,477812.855251,16599211,471650210092004,32,0,0,0,0,0,0,0.02,0.61,0,0.32,0,0,0.95,0,0,0,0
164,1790405.74174,726277.933575,337194.982431,16599211,471650210092013,19,0,0,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0
165,1789407.21723,723861.673404,570378.192316,16599211,471650210092012,31,0,0,0,0,3.73,0,1.06,1.82,37.03,5.95,4.25,0,53.83,0,0,0,0
166,1793211.77192,725656.746315,865314.372874,16599211,471650210092016,0,0,0,0,0,0.4,0,0.03,0,0.61,0,0,0,1.03,0,0,0,0
167,1793306.38029,723523.29695,5261892.52561,16599284,471650212052021,0,0,0,0,0,364.43,0,1.17,21.9,43.79,447.95,65.69,5.4,950.32,0,0,0,0
168,1791766.01215,722202.628161,57309.6337716,16599284,471650212052026,0,0,0,0,0,3.8,0,0,1.29,0,0,0,0,5.08,0,0,0,0
169,1792330.83611,722527.688657,3499553.96024,16599284,471650212052034,0,0,0,0,0,360.64,0,0.85,27.05,52.81,497.3,56.67,0,995.31,0,0,0,0
170,1792798.56718,723569.648393,85989.4352629,16599284,471650212052035,0,0,0,0,0,3.8,0,0,0,1.29,7.59,0,0,12.68,0,0,0,0
171,1795161.26452,722291.309067,173910.528607,16599282,471650212052036,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1795156.85476,723415.690759,607291.345072,16599282,471650212052014,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1793956.85637,721547.651884,15299.4237063,16599282,471650212052042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1795635.60555,723849.92311,364579.782992,16599282,471650212052015,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1796026.68364,723775.094219,444033.333209,16599282,471650212052017,28,0,0,0,0,0,0,4.78,0,10.39,0,0,1.8,16.98,0,0,0,0
176,1796940.62403,723223.360057,141164.1863,16599282,471650212052019,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1796339.08175,722927.815359,1915266.54302,16599282,471650212052013,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1796894.59362,724675.895377,756920.099615,16599282,471650212052010,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1795085.77592,725081.608068,193286.550921,16599282,471650212052012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1796058.35975,724989.860619,1052761.16111,16599282,471650212052011,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1795530.9908,722914.339745,590742.118041,16599282,471650212052016,25,0,0,0,0,0,0,4.78,0,10.39,0,0,1.8,16.98,0,0,0,0
182,1794451.66338,723728.113281,3462651.77515,16599282,471650212052020,3,0,0,0,0,0,0,4.78,0,10.39,0,0,1.8,16.98,0,0,0,0
183,1793906.88833,721606.241101,16514.4394612,16599282,471650212052023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1799013.17357,716693.526214,184313.205561,16599275,471650212043030,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1796761.45257,719423.606135,243471.621249,16599275,471650212043011,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1797944.12622,719032.871009,761945.463847,16599275,471650212043014,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1795476.37579,721155.99713,15883.7044635,16599275,471650212043019,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1796566.98221,718015.38063,12335388.8369,16599275,471650212043000,417,0,0,0,0,0,0,2.25,36.08,0,16.26,216.47,10.72,281.77,0,0,0,0
189,1797846.84927,717369.580268,604227.159518,16599275,471650212043009,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1796325.41638,719542.263753,265620.200026,16599275,471650212043010,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1795234.99924,721485.023565,41875.1127125,16599275,471650212043018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1800084.04189,718480.605407,69992.0982664,16599275,471650212043007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
