microzoneid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
1,1793632.79732,710741.985474,408234.853325,16599257,471650212012001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1793968.65719,709337.995095,426154.617886,16599257,471650212012006,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1794969.53311,705957.578261,968399.651957,16599257,471650212012016,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1792470.16867,711654.797483,549494.579517,16599257,471650212012004,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1793562.37034,711319.044812,340766.148139,16599257,471650212012002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1792293.14123,710776.82329,866769.913562,16599257,471650212012009,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1793217.83414,710386.100657,872294.228946,16599257,471650212012003,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1794121.23448,710917.257359,2035278.89376,16599257,471650212012000,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1791633.9049,711222.244524,938185.368166,16599257,471650212012005,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1794793.67048,707145.107116,1328235.92799,16599257,471650212012015,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1794302.46375,708589.810031,634991.261294,16599257,471650212012013,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1794416.79559,709356.166061,416928.524834,16599257,471650212012014,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1793852.47386,707262.975954,9011263.41762,16599257,471650212012007,101,0,46,0,0,280.61,0,0.89,0,1.82,0,16.5,3.5,303.32,0,0,0,0
14,1791605.21788,701934.936805,535339.448358,16599257,471650212012012,12,0,0,0,0,0,0,2.67,0,0.17,0,0,3.25,6.09,0,0,0,0
15,1793771.46477,705368.117777,1061010.79255,16599257,471650212012008,25,0,0,0,0,0,0,0,0,0.33,0,0,0,0.33,0,0,0,0
16,1792036.3666,701045.429334,3125794.13201,16599259,471650212013021,47,0,0,0,0,0,0,0.41,0,6.13,0,0,0,6.54,0,0,0,0
17,1793606.8608,702677.054736,815801.784863,16599259,471650212013014,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1794411.09252,702011.859134,1428528.62295,16599259,471650212013015,34,0,0,0,0,0,0,0.81,0,9.2,0,0,0,10.01,0,0,0,0
19,1793192.66904,703094.180858,782486.475667,16599259,471650212013013,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1792779.93231,701908.745661,440489.576312,16599259,471650212013018,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1793791.4934,701859.712735,556243.921039,16599259,471650212013016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1793293.70477,701686.221263,418584.864886,16599259,471650212013017,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1795021.05471,699700.780817,5048.12385042,16599259,471650212013028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1792155.34405,701610.045933,335483.716391,16599259,471650212013020,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1792387.85611,702371.53756,590045.721224,16599259,471650212013019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
