node_id,x,y
1177,1575168.3256,485060.742866
1176,1572615.4895,476819.458495
1191,1578458.49979,488304.359738
1179,1587119.19868,479692.216201
1240,1608949.31283,482203.254158
1241,1610141.40165,477410.677785
1243,1612157.75851,476836.946321
1244,1617548.56564,485293.969433
1192,1588157.45645,479058.307692
1261,1588584.66819,483826.259442
1271,1595111.13906,482323.078722
1195,1595012.26032,480454.327538
1289,1600099.7216,482134.576802
1290,1602239.25669,484609.879922
1326,1619910.08749,483611.056461
1327,1622045.28926,481438.50864
1328,1622648.56463,480924.238343
1354,1624511.4546,482147.833337
1357,1620358.8074,490862.185659
1356,1622226.67505,481550.287616
1359,1623910.63002,482067.218341
1976,1635036.04018,485854.384979
1974,1634683.846,481337.976033
2037,1637161.24984,483635.384496
2038,1639827.03815,481162.164377
2399,1652180.88253,482419.702216
2398,1651541.46386,480207.226982
3495,1662852.3812,481534.560285
3496,1663084.04741,480197.628904
3568,1668106.31525,481233.361085
3569,1668376.77501,482019.034054
3600,1668054.78123,481249.182575
3601,1668160.96245,481576.430937
3704,1669989.59462,481743.612361
3705,1670774.71444,480947.460738
3722,1631774.1202,484206.915505
2053,1629092.26139,480692.137102
2055,1636023.3512,477708.602714
3739,1640645.77601,484023.242972
3750,1640908.15869,481523.086555
3752,1643578.89055,481945.961366
3751,1640994.17525,481457.321595
3753,1643712.34763,481711.495627
3773,1651174.83828,482823.080674
3774,1650751.89294,480469.20382
3794,1654731.7252,481421.216352
3865,1659407.38219,481952.837992
3793,1657387.79207,480049.801772
3869,1656770.70439,481827.372036
3792,1656660.56288,480533.367078
3872,1656962.45958,481256.35218
3873,1656907.07977,481522.680716
3806,1654896.78097,484630.830996
3796,1655471.86414,481148.231006
3878,1656951.30442,481546.232178
3874,1657018.36826,481288.879018
3880,1657003.08942,481554.41392
3875,1657076.49282,481334.123022
3882,1657237.4633,481550.083548
3883,1657218.91183,481537.905423
3887,1660104.66787,481222.488731
3886,1660160.09492,482050.411288
3899,1663077.52609,481500.16042
3896,1663592.8164,480603.267201
3907,1665938.63914,481523.756501
3905,1665897.58213,481175.816908
3909,1667020.54609,481565.30071
3910,1666850.34663,481025.405136
3919,1666585.47282,481440.588361
3917,1666538.18485,481092.712744
3934,1669368.97184,480880.349324
3935,1661272.8988,481417.612357
3494,1662866.04719,481619.233344
3979,1671265.51201,481757.841663
3997,1680386.93767,481370.074394
3996,1677748.74938,479600.272487
3998,1677559.09031,481610.092943
3707,1676368.97392,479282.845957
3994,1678195.65268,481299.046977
