onode frec lrec
1 1 2
2 3 3
3 4 38
4 39 72
5 73 118
6 119 149
7 150 180
8 181 213
9 214 247
10 248 281
11 282 316
12 317 347
13 348 381
14 382 415
15 416 444
16 445 477
17 478 512
18 513 546
19 547 589
20 590 614
21 615 648
22 649 679
23 680 714
24 715 748
25 749 784
26 785 817
27 818 849
28 850 987
29 988 1125
30 1126 1186
31 1187 1241
32 1242 1326
33 1327 1452
34 1453 1538
35 1539 1651
36 1652 1764
37 1765 1811
38 1812 1847
39 1848 1858
40 1859 1945
41 1946 1994
42 1995 2043
43 2044 2098
44 2099 2146
45 2147 2371
46 2372 2715
47 2716 3091
48 3092 3316
49 3317 3426
50 3427 3577
51 3578 3632
52 3633 3689
53 3690 3751
54 3752 3873
55 3874 3978
56 3979 4050
57 4051 4075
58 4076 4086
59 4087 4200
60 4201 4251
61 4252 4304
62 4305 4344
63 4345 4356
64 4357 4368
65 4369 4495
66 4496 4585
67 4586 4674
68 4675 4915
69 4916 5131
70 5132 5506
71 5507 5868
72 5869 6025
73 6026 6073
74 6074 6117
75 6118 6163
76 6164 6214
77 6215 6270
78 6271 6326
79 6327 6375
80 6376 6432
81 6433 6487
82 6488 6542
83 6543 6598
84 6599 6655
85 6656 6714
86 6715 6767
87 6768 6808
88 6809 6865
89 6866 6921
90 6922 6952
91 6953 6987
92 6988 7036
93 7037 7091
94 7092 7145
95 7146 7195
96 7196 7276
97 7277 7337
98 7338 7392
99 7393 7458
100 7459 7513
101 7514 7585
102 7586 7640
103 7641 7696
104 7697 7750
105 7751 7802
106 7803 7856
107 7857 7910
108 7911 7964
109 7965 8038
110 8039 8113
111 8114 8170
112 8171 8222
113 8223 8274
114 8275 8325
115 8326 8378
116 8379 8432
117 8433 8449
118 8450 8497
119 8498 8528
120 8529 8553
121 8554 8600
122 8601 8645
123 8646 8702
124 8703 8818
125 8819 8929
126 8930 9040
127 9041 9151
128 9152 9263
129 9264 9344
130 9345 9398
131 9399 9451
132 9452 9512
133 9513 9569
134 9570 9625
135 9626 9658
136 9659 9700
137 9701 9751
138 9752 9797
139 9798 9842
140 9843 9886
141 9887 9923
142 9924 9983
143 9984 10059
144 10060 10360
145 10361 10674
146 10675 11039
147 11040 11413
148 11414 11488
149 11489 11522
150 11523 11599
151 11600 11630
152 11631 11731
153 11732 11872
154 11873 11944
155 11945 12019
156 12020 12103
157 12104 12169
158 12170 12195
159 12196 12239
160 12240 12339
161 12340 12477
162 12478 12791
163 12792 13134
164 13135 13485
165 13486 13849
166 13850 14224
167 14225 14252
168 14253 14628
169 14629 14657
170 14658 14667
171 14668 14717
172 14718 14728
173 14729 14740
174 14741 14785
175 14786 14837
176 14838 14851
177 14852 15049
178 15050 15096
179 15097 15326
180 15327 15607
181 15608 15897
182 15898 16108
183 16109 16354
184 16355 16649
185 16650 16935
186 16936 17108
187 17109 17122
188 17123 17149
189 17150 17262
190 17263 17333
191 17334 17403
192 17404 17453
193 17454 17505
194 17506 17787
195 17788 18131
196 18132 18509
197 18510 18560
198 18561 18892
199 18893 19009
200 19010 19220
201 19221 19461
202 19462 19742
203 19743 20033
204 20034 20311
205 20312 20539
206 20540 20666
207 20667 21010
208 21011 21354
209 21355 21701
210 21702 22125
211 22126 22549
212 22550 22967
213 22968 23383
214 23384 23799
215 23800 24215
216 24216 24642
217 24643 25070
218 25071 25495
219 25496 25920
220 25921 26346
221 26347 26772
222 26773 27123
223 27124 27471
224 27472 27888
225 27889 28305
226 28306 28724
227 28725 29143
228 29144 29563
229 29564 29986
230 29987 30412
231 30413 30838
232 30839 31266
233 31267 31681
234 31682 32096
235 32097 32489
236 32490 32872
237 32873 33251
238 33252 33607
239 33608 33961
240 33962 34311
241 34312 34648
242 34649 35001
243 35002 35345
244 35346 35691
245 35692 36001
246 36002 36378
247 36379 36719
248 36720 37093
249 37094 37487
250 37488 37877
251 37878 38267
252 38268 38642
253 38643 39036
254 39037 39386
255 39387 39736
256 39737 40088
257 40089 40440
258 40441 40792
259 40793 41144
260 41145 41495
261 41496 41849
262 41850 42203
263 42204 42556
264 42557 42917
265 42918 43291
266 43292 43677
267 43678 44064
268 44065 44455
269 44456 44854
270 44855 45250
271 45251 45644
272 45645 46005
273 46006 46386
274 46387 46766
275 46767 47150
276 47151 47547
277 47548 47943
278 47944 48329
279 48330 48719
280 48720 49111
281 49112 49502
282 49503 49892
283 49893 50308
284 50309 50720
285 50721 51134
286 51135 51548
287 51549 51902
288 51903 52276
289 52277 52649
290 52650 53031
291 53032 53319
292 53320 53579
293 53580 53906
294 53907 54126
295 54127 54370
296 54371 54415
297 54416 54460
298 54461 54507
299 54508 54580
300 54581 54639
301 54640 54845
302 54846 55047
303 55048 55251
304 55252 55353
305 55354 55560
306 55561 55767
307 55768 56015
308 56016 56236
309 56237 56473
310 56474 56572
311 56573 56639
312 56640 56778
313 56779 57059
314 57060 57311
315 57312 57732
316 57733 58135
317 58136 58536
318 58537 58929
319 58930 58980
320 58981 59019
321 59020 59053
322 59054 59094
323 59095 59136
324 59137 59178
325 59179 59224
326 59225 59294
327 59295 59537
328 59538 59792
329 59793 60148
330 60149 60520
331 60521 60913
332 60914 61305
333 61306 61699
334 61700 62127
335 62128 62552
336 62553 62980
337 62981 63392
338 63393 63796
339 63797 64208
340 64209 64616
341 64617 65035
342 65036 65456
343 65457 65865
344 65866 66266
345 66267 66673
346 66674 67080
347 67081 67484
348 67485 67892
349 67893 68303
350 68304 68715
351 68716 69133
352 69134 69551
353 69552 69966
354 69967 70388
355 70389 70796
356 70797 71212
357 71213 71622
358 71623 72021
359 72022 72446
360 72447 72865
361 72866 73282
362 73283 73695
363 73696 74104
364 74105 74511
365 74512 74939
366 74940 75363
367 75364 75785
368 75786 76207
369 76208 76629
370 76630 77054
371 77055 77472
372 77473 77902
373 77903 78332
374 78333 78760
375 78761 79185
376 79186 79613
377 79614 80040
378 80041 80464
379 80465 80889
380 80890 81314
381 81315 81734
382 81735 82155
383 82156 82580
384 82581 83003
385 83004 83429
386 83430 83840
387 83841 84250
388 84251 84676
389 84677 85075
390 85076 85465
391 85466 85863
392 85864 86261
393 86262 86660
394 86661 87064
395 87065 87472
396 87473 87874
397 87875 88276
398 88277 88674
399 88675 89077
400 89078 89480
401 89481 89885
402 89886 90289
403 90290 90699
404 90700 91118
405 91119 91512
406 91513 91906
407 91907 92302
408 92303 92699
409 92700 93089
410 93090 93509
411 93510 93937
412 93938 94356
413 94357 94766
414 94767 95171
415 95172 95578
416 95579 95978
417 95979 96378
418 96379 96788
419 96789 97194
420 97195 97606
421 97607 98017
422 98018 98436
423 98437 98857
424 98858 99265
425 99266 99671
426 99672 100084
427 100085 100491
428 100492 100899
429 100900 101308
430 101309 101717
431 101718 102106
432 102107 102502
433 102503 102896
434 102897 103291
435 103292 103685
436 103686 104080
437 104081 104483
438 104484 104886
439 104887 105304
440 105305 105728
441 105729 106134
442 106135 106539
443 106540 106947
444 106948 107354
445 107355 107749
446 107750 108144
447 108145 108548
448 108549 108951
449 108952 109353
450 109354 109752
451 109753 110154
452 110155 110560
453 110561 110961
454 110962 111364
455 111365 111767
456 111768 112171
457 112172 112576
458 112577 112983
459 112984 113392
460 113393 113793
461 113794 114199
462 114200 114616
463 114617 115031
464 115032 115439
465 115440 115849
466 115850 116265
467 116266 116670
468 116671 117095
469 117096 117521
470 117522 117944
471 117945 118367
472 118368 118790
473 118791 119214
474 119215 119636
475 119637 120059
476 120060 120472
477 120473 120895
478 120896 121320
479 121321 121744
480 121745 122167
481 122168 122589
482 122590 123012
483 123013 123435
484 123436 123857
485 123858 124279
486 124280 124701
487 124702 125117
488 125118 125539
489 125540 125961
490 125962 126377
491 126378 126788
492 126789 127211
493 127212 127631
494 127632 128036
495 128037 128454
496 128455 128870
497 128871 129275
498 129276 129682
499 129683 130083
500 130084 130483
501 130484 130891
502 130892 131300
503 131301 131716
504 131717 132129
505 132130 132529
506 132530 132945
507 132946 133354
508 133355 133758
509 133759 134146
510 134147 134537
511 134538 134920
512 134921 135303
513 135304 135685
514 135686 136072
515 136073 136460
516 136461 136856
517 136857 137246
518 137247 137527
519 137528 137623
520 137624 137859
521 137860 138051
522 138052 138258
523 138259 138653
524 138654 139059
525 139060 139461
526 139462 139863
527 139864 140268
528 140269 140670
529 140671 141072
530 141073 141452
531 141453 141847
532 141848 142239
533 142240 142605
534 142606 142645
535 142646 142763
536 142764 143002
537 143003 143047
538 143048 143360
539 143361 143752
540 143753 144169
541 144170 144576
542 144577 144997
543 144998 145418
544 145419 145837
545 145838 146241
546 146242 146618
547 146619 147013
548 147014 147391
549 147392 147776
550 147777 148154
551 148155 148533
552 148534 148741
553 148742 149038
554 149039 149293
555 149294 149597
556 149598 150000
557 150001 150345
558 150346 150746
559 150747 151124
560 151125 151498
561 151499 151881
562 151882 152194
563 152195 152314
564 152315 152439
565 152440 152721
566 152722 153115
567 153116 153509
568 153510 153903
569 153904 154297
570 154298 154691
571 154692 155075
572 155076 155457
573 155458 155852
574 155853 156243
575 156244 156612
576 156613 156975
577 156976 157325
578 157326 157666
579 157667 158009
580 158010 158162
581 158163 158243
582 158244 158327
583 158328 158402
584 158403 158780
585 158781 159170
586 159171 159560
587 159561 159942
588 159943 160325
589 160326 160706
590 160707 161000
591 161001 161312
592 161313 161503
593 161504 161858
594 161859 162137
595 162138 162515
596 162516 162729
597 162730 162730
598 162731 162731
599 162732 162732
600 162733 162733
601 162734 163110
602 163111 163489
603 163490 163866
604 163867 164247
605 164248 164628
606 164629 165007
607 165008 165389
608 165390 165769
609 165770 166084
610 166085 166463
611 166464 166827
612 166828 167149
613 167150 167505
614 167506 167705
615 167706 168028
616 168029 168351
617 168352 168709
618 168710 169064
619 169065 169384
620 169385 169617
621 169618 169929
622 169930 170136
623 170137 170246
624 170247 170297
625 170298 170333
626 170334 170348
627 170349 170349
628 170350 170350
629 170351 170390
630 170391 170426
631 170427 170459
632 170460 170488
633 170489 170521
634 170522 170587
635 170588 170637
636 170638 170681
637 170682 170744
638 170745 170789
639 170790 170837
640 170838 170885
641 170886 170925
642 170926 170999
643 171000 171078
644 171079 171134
645 171135 171178
646 171179 171243
647 171244 171282
648 171283 171319
649 171320 171334
650 171335 171378
651 171379 171417
652 171418 171460
653 171461 171501
654 171502 171542
655 171543 171578
656 171579 171622
657 171623 171666
658 171667 171737
659 171738 171811
660 171812 171852
661 171853 171945
662 171946 171991
663 171992 172070
664 172071 172144
665 172145 172539
666 172540 172842
667 172843 173513
668 173514 174176
669 174177 174633
670 174634 175597
671 175598 176582
672 176583 177615
673 177616 178725
674 178726 179767
675 179768 179872
676 179873 179960
677 179961 180043
678 180044 180146
679 180147 180241
680 180242 180338
681 180339 180421
682 180422 180497
683 180498 180577
684 180578 180642
685 180643 180711
686 180712 180778
687 180779 180846
688 180847 180939
689 180940 181023
690 181024 181124
691 181125 181220
692 181221 181325
693 181326 181432
694 181433 181541
695 181542 181646
696 181647 181677
697 181678 181714
698 181715 181779
699 181780 181821
700 181822 181934
701 181935 182040
702 182041 182160
703 182161 182269
704 182270 182539
705 182540 182746
706 182747 182858
707 182859 182976
708 182977 183342
709 183343 183886
710 183887 184604
711 184605 185410
712 185411 186134
713 186135 186992
714 186993 187894
715 187895 188000
716 188001 188106
717 188107 188215
718 188216 188320
719 188321 188428
720 188429 188536
721 188537 188632
722 188633 188707
723 188708 188810
724 188811 188907
725 188908 189006
726 189007 189074
727 189075 189147
728 189148 189247
729 189248 189300
730 189301 189354
731 189355 189409
732 189410 189444
733 189445 189477
734 189478 189591
735 189592 189679
736 189680 189724
737 189725 189748
738 189749 189794
739 189795 189825
740 189826 189851
741 189852 189888
742 189889 189987
743 189988 190100
744 190101 190127
745 190128 190171
746 190172 190216
747 190217 190302
748 190303 190401
749 190402 190521
750 190522 190638
751 190639 190796
752 190797 190912
753 190913 191028
754 191029 191156
755 191157 191276
756 191277 191432
757 191433 191586
758 191587 191625
759 191626 191656
760 191657 191720
761 191721 191735
762 191736 191894
763 191895 192055
764 192056 192215
765 192216 192375
766 192376 192536
767 192537 192696
768 192697 192853
769 192854 193013
770 193014 193138
771 193139 193267
772 193268 193398
773 193399 193531
774 193532 193631
775 193632 193728
776 193729 193853
777 193854 193948
778 193949 194039
779 194040 194157
780 194158 194273
781 194274 194394
782 194395 194520
783 194521 194604
784 194605 194696
785 194697 194800
786 194801 194900
787 194901 195027
788 195028 195157
789 195158 195294
790 195295 195435
791 195436 195611
792 195612 195788
793 195789 195965
