#variable,mode,path-type,vot-group,start-minute,end-minute,length,file-type,name,field,transpose,blend-variable,blend-path-type,factor,scaling
distance,bike,full-network,medium,0,1439,maxzone,transcad,hwyskim_ff.mtx,2,FALSE,distance,null,null,TRUE
distance,bike,full-network,low,0,1439,maxzone,transcad,hwyskim_ff.mtx,2,FALSE,distance,null,null,TRUE
distance,bike,full-network,high,0,1439,maxzone,transcad,hwyskim_ff.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,0,359,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,360,539,maxzone,transcad,hwyskim_am_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,540,899,maxzone,transcad,hwyskim_md_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,900,1139,maxzone,transcad,hwyskim_pm_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,1140,1439,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,0,359,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,360,539,maxzone,transcad,hwyskim_am_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,540,899,maxzone,transcad,hwyskim_md_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,900,1139,maxzone,transcad,hwyskim_pm_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,1140,1439,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,0,359,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,360,539,maxzone,transcad,hwyskim_am_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,540,899,maxzone,transcad,hwyskim_md_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,900,1139,maxzone,transcad,hwyskim_pm_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,1140,1439,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,medium,0,359,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,medium,360,539,maxzone,transcad,hwyskim_am_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,medium,540,899,maxzone,transcad,hwyskim_md_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,medium,900,1139,maxzone,transcad,hwyskim_pm_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,medium,1140,1439,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,low,0,359,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,low,360,539,maxzone,transcad,hwyskim_am_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,low,540,899,maxzone,transcad,hwyskim_md_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,low,900,1139,maxzone,transcad,hwyskim_pm_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,low,1140,1439,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,high,0,359,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,high,360,539,maxzone,transcad,hwyskim_am_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,high,540,899,maxzone,transcad,hwyskim_md_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,high,900,1139,maxzone,transcad,hwyskim_pm_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,hov3,full-network,high,1140,1439,maxzone,transcad,hwyskim_op_hov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,0,359,maxzone,transcad,hwyskim_op_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,360,539,maxzone,transcad,hwyskim_am_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,540,899,maxzone,transcad,hwyskim_md_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,900,1139,maxzone,transcad,hwyskim_pm_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,1140,1439,maxzone,transcad,hwyskim_op_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,0,359,maxzone,transcad,hwyskim_op_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,360,539,maxzone,transcad,hwyskim_am_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,540,899,maxzone,transcad,hwyskim_md_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,900,1139,maxzone,transcad,hwyskim_pm_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,1140,1439,maxzone,transcad,hwyskim_op_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,0,359,maxzone,transcad,hwyskim_op_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,360,539,maxzone,transcad,hwyskim_am_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,540,899,maxzone,transcad,hwyskim_md_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,900,1139,maxzone,transcad,hwyskim_pm_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,1140,1439,maxzone,transcad,hwyskim_op_sov.mtx,2,FALSE,distance,null,null,TRUE
distance,walk,full-network,medium,0,1439,maxzone,transcad,hwyskim_ff.mtx,2,FALSE,distance,null,null,TRUE
distance,walk,full-network,low,0,1439,maxzone,transcad,hwyskim_ff.mtx,2,FALSE,distance,null,null,TRUE
distance,walk,full-network,high,0,1439,maxzone,transcad,hwyskim_ff.mtx,2,FALSE,distance,null,null,TRUE
fare,transit,local-bus,medium,0,359,maxzone,transcad,OP_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,medium,360,539,maxzone,transcad,AM_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,medium,540,899,maxzone,transcad,MD_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,medium,900,1139,maxzone,transcad,PM_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,medium,1140,1439,maxzone,transcad,OP_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,medium,0,359,maxzone,transcad,OP_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,medium,360,539,maxzone,transcad,AM_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,medium,540,899,maxzone,transcad,MD_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,medium,900,1139,maxzone,transcad,PM_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,medium,1140,1439,maxzone,transcad,OP_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,medium,0,359,maxzone,transcad,OP_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,medium,360,539,maxzone,transcad,AM_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,medium,540,899,maxzone,transcad,MD_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,medium,900,1139,maxzone,transcad,PM_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,medium,1140,1439,maxzone,transcad,OP_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,medium,0,359,maxzone,transcad,OP_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,medium,360,539,maxzone,transcad,AM_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,medium,540,899,maxzone,transcad,MD_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,medium,900,1139,maxzone,transcad,PM_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,medium,1140,1439,maxzone,transcad,OP_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,medium,0,359,maxzone,transcad,OP_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,medium,360,539,maxzone,transcad,AM_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,medium,540,899,maxzone,transcad,MD_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,medium,900,1139,maxzone,transcad,PM_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,medium,1140,1439,maxzone,transcad,OP_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,low,0,359,maxzone,transcad,OP_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,low,360,539,maxzone,transcad,AM_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,low,540,899,maxzone,transcad,MD_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,low,900,1139,maxzone,transcad,PM_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,low,1140,1439,maxzone,transcad,OP_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,low,0,359,maxzone,transcad,OP_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,low,360,539,maxzone,transcad,AM_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,low,540,899,maxzone,transcad,MD_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,low,900,1139,maxzone,transcad,PM_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,low,1140,1439,maxzone,transcad,OP_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,low,0,359,maxzone,transcad,OP_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,low,360,539,maxzone,transcad,AM_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,low,540,899,maxzone,transcad,MD_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,low,900,1139,maxzone,transcad,PM_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,low,1140,1439,maxzone,transcad,OP_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,low,0,359,maxzone,transcad,OP_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,low,360,539,maxzone,transcad,AM_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,low,540,899,maxzone,transcad,MD_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,low,900,1139,maxzone,transcad,PM_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,low,1140,1439,maxzone,transcad,OP_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,low,0,359,maxzone,transcad,OP_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,low,360,539,maxzone,transcad,AM_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,low,540,899,maxzone,transcad,MD_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,low,900,1139,maxzone,transcad,PM_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,ferry,low,1140,1439,maxzone,transcad,OP_WalkBrtSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,high,0,359,maxzone,transcad,OP_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,high,360,539,maxzone,transcad,AM_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,high,540,899,maxzone,transcad,MD_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,high,900,1139,maxzone,transcad,PM_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,local-bus,high,1140,1439,maxzone,transcad,OP_WalkLocalSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,high,0,359,maxzone,transcad,OP_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,high,360,539,maxzone,transcad,AM_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,high,540,899,maxzone,transcad,MD_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,high,900,1139,maxzone,transcad,PM_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,light-rail,high,1140,1439,maxzone,transcad,OP_WalkUrbRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,high,0,359,maxzone,transcad,OP_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,high,360,539,maxzone,transcad,AM_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,high,540,899,maxzone,transcad,MD_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,high,900,1139,maxzone,transcad,PM_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,premium-bus,high,1140,1439,maxzone,transcad,OP_WalkExpBusSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,high,0,359,maxzone,transcad,OP_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,high,360,539,maxzone,transcad,AM_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,high,540,899,maxzone,transcad,MD_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
fare,transit,commuter-rail,high,900,1139,maxzone,transcad,PM_WalkComRailSkim.mtx,2,FALSE,null,null,0.01,FALSE
