NodeID	ZoneID	XCoord	YCoord	Capacity	Cost
3700357	829	1789136	675652	100	0
3701617	792	1774784	642334	100	0
3701834	315	1761759	725774	100	0
3701850	320	1764023	718824	100	0
3702227	25	1744282	635883	100	0
3702475	1192	1695658	634887	100	0
3702496	1221	1689161	636001	100	0
3702595	1152	1708503	658464	100	0
3702959	552	1718847	686933	100	0
3703685	850	1775415	626342	100	0
3704037	275	1712969	724697	100	0
3705299	392	1755029	694401	100	0
3705375	386	1749684	635803	100	0
3707259	840	1778026	636235	100	0
3707606	745	1772512	666702	100	0
3709644	27	1772512	666702	100	0
3711215	1196	1686689	637012	100	0
3722950	110	1757632	623945	100	0
11901378	1301	1703458	514845	100	0
14700181	1558	1706243	780312	100	0
14700215	1533	1708249	792173	100	0
14900024	1980	1857794	547230	100	0
14901257	1641	1799146	614130	100	0
14912007	1662	1811289	605945	100	0
16500953	2182	1828125	743194	100	0
16501124	2247	1781308	728576	100	0
18700449	2594	1699998	534032	100	0
18700606	2518	1724399	580915	100	0
18704688	2526	1720920	577220	100	0
18709551	2342	1734109	606494	100	0
18900177	2692	1815374	679758	100	0
18903449	2730	1881216	683671	100	0
18905786	2653	1842360	690553	100	0
