PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1401	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1402	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1403	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1404	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1405	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1406	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1407	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1408	0.330538	1.809182	-7.244228	0.000000	-5.703782	-519.055006
1409	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1410	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1411	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1412	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1413	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1414	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1415	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1416	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1417	-0.296048	-100.553278	-7.244228	0.000000	-5.703782	-519.055006
1418	0.162952	0.501532	-6.214608	0.000000	-5.298317	-331.149667
1419	-1.227607	-105.583963	-6.214608	0.000000	-5.298317	-331.149667
1420	-1.227607	-105.583963	-6.214608	0.000000	-5.298317	-331.149667
1421	-1.227607	-105.583963	-6.214608	0.000000	-5.298317	-331.149667
1422	-1.227607	-105.583963	-6.214608	0.000000	-5.298317	-331.149667
1423	-1.227607	-105.583963	-6.214608	0.000000	-5.298317	-331.149667
1424	0.000000	0.000000	-5.991465	0.000000	0.000000	-13.815510
1425	-0.116376	0.977130	-5.991465	0.000000	0.000000	-13.815510
1426	0.473274	-0.797148	-7.495542	0.000000	0.000000	-13.815510
1427	0.473274	-0.797148	-7.495542	0.000000	0.000000	-13.815510
1428	0.411369	1.966343	-7.495542	0.000000	0.000000	-13.815510
1429	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1430	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1431	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1432	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1433	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1434	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1435	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1436	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1437	-0.051547	3.793808	-4.605170	0.000000	-4.605170	-316.329614
1438	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1439	0.498999	0.213069	-4.605170	0.000000	-4.605170	-316.329614
1440	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1441	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1442	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1443	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1444	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1445	0.275045	1.275547	-8.131531	0.000000	-5.298317	-324.941666
1446	0.070442	2.035019	-8.131531	0.000000	-5.298317	-324.941666
1447	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1448	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1449	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1450	-2.378863	-252.644921	-8.131531	0.000000	-5.298317	-324.941666
1451	-1.142972	0.347445	-7.549609	0.000000	0.000000	-36.841360
1452	0.108677	2.506410	-7.549609	0.000000	0.000000	-36.841360
1453	-1.142972	0.347445	-7.549609	0.000000	0.000000	-36.841360
1454	-1.142972	0.347445	-7.549609	0.000000	0.000000	-36.841360
1455	0.042917	1.642143	-7.549609	0.000000	0.000000	-36.841360
1456	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1457	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1458	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1459	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1460	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1461	0.089800	0.441543	-6.684612	0.000000	-4.605170	-431.126801
1462	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1463	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1464	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1465	-1.379623	-130.406123	-6.684612	0.000000	-4.605170	-431.126801
1466	0.041566	2.217248	-6.684612	0.000000	-4.605170	-431.126801
1467	0.000000	0.000000	-7.003065	0.000000	0.000000	-9.210340
1468	0.000000	0.000000	-7.003065	0.000000	0.000000	-9.210340
1469	-0.110995	0.866983	-7.003065	0.000000	0.000000	-9.210340
1470	0.000000	0.000000	-7.090077	0.000000	0.000000	-9.210340
1471	0.000000	0.000000	-7.090077	0.000000	0.000000	-9.210340
1472	0.000000	0.000000	-7.090077	0.000000	0.000000	-9.210340
1473	-0.067063	1.654183	-7.090077	0.000000	0.000000	-9.210340
1474	0.021054	2.098093	0.000000	0.000000	0.000000	-15.201805
1475	0.000000	0.000000	0.000000	0.000000	0.000000	-15.201805
1476	0.000000	0.000000	0.000000	0.000000	0.000000	-15.201805
