id	links	xcoord_p	ycoord_p
1	2	1765956.13267000000	647955.27960900000
2	2	1765975.55717000000	648006.43993900000
3	2	1766135.61952000000	647855.07016300000
4	2	1766156.69887000000	647912.50705600000
5	2	1766274.99555000000	647778.97025000000
6	2	1766291.00503000000	647841.07609700000
7	2	1766528.37333000000	647646.14505600000
8	2	1766549.97302000000	647701.26174400000
9	2	1766623.54735000000	647662.02724200000
10	2	1766678.39894000000	647633.51417600000
11	2	1766719.15378000000	647547.51500400000
12	2	1766757.87451000000	647593.24588400000
13	2	1766821.38980000000	647497.82186200000
14	2	1766857.93664000000	647539.92774900000
15	2	1771762.75524000000	651790.20993100000
16	2	1771787.67285000000	651782.42845000000
17	2	1771795.40807000000	651893.24253300000
18	2	1771820.87849000000	651887.77404000000
19	2	1771828.66620000000	651769.57381700000
20	2	1771840.39256000000	652032.92630900000
21	2	1771859.71896000000	651874.27209900000
22	2	1771863.69664000000	652024.82494700000
23	2	1771871.69105000000	652134.31357300000
24	2	1771898.20346000000	652124.20467000000
25	2	1771901.71822000000	652009.34302300000
26	2	1771933.56691000000	652112.71223900000
27	2	1874752.12046000000	674106.36280500000
28	2	1874828.03107000000	674102.14496600000
29	2	1874939.89239000000	674098.14202100000
30	2	1874982.81619000000	674097.67220600000
31	2	1875000.25448000000	674097.61577500000
32	1	1566157.95615000000	460262.99981000000
33	2	1566205.17161000000	460197.81391700000
34	2	1566251.95761000000	460082.00050000000
35	1	1566254.61049000000	460058.79811900000
36	1	1566327.79702000000	459916.80660500000
37	1	1566441.45657000000	459084.58025100000
38	2	1566465.89123000000	459757.37155600000
39	2	1566489.82327000000	459063.39361400000
40	2	1566499.64379000000	459735.06320200000
41	3	1567582.42903000000	459078.10290200000
42	3	1567743.33028000000	458650.29995200000
43	2	1567883.59115000000	458254.55205600000
44	2	1567923.12585000000	458200.39566800000
45	1	1567952.15893000000	458168.88785700000
46	1	1568193.19421000000	458907.86505300000
47	1	1569920.05755000000	464037.19534600000
48	1	1570505.82377000000	457243.95565200000
49	1	1570506.90120000000	457184.37210900000
50	2	1570526.17609000000	457229.77785800000
51	3	1570545.38406000000	457210.98262000000
52	1	1571020.20004000000	484701.53590700000
53	2	1571170.44121000000	484766.00100100000
54	4	1571171.44252000000	457424.15575000000
55	2	1571235.14154000000	457535.47376900000
56	2	1571258.12902000000	457516.29631400000
57	1	1571462.39043000000	457844.44624800000
58	2	1571498.25650000000	457322.73010000000
59	1	1571992.53635000000	470140.16804800000
60	3	1572266.79859000000	461825.25029500000
61	1	1572513.75414000000	471506.13119500000
62	1	1572519.59763000000	476876.19624300000
63	2	1572575.87967000000	476842.99781800000
64	3	1572613.23852000000	484863.46996600000
65	3	1572615.54101000000	476819.29215700000
66	1	1572618.26476000000	478805.22125600000
67	1	1572655.40871000000	479469.90365400000
68	2	1572686.83745000000	476777.61605900000
69	2	1572815.74992000000	469790.40726500000
70	3	1572825.34603000000	478558.16958500000
71	3	1572828.50154000000	469913.34271400000
72	3	1572829.49957000000	477850.89573700000
73	1	1572832.16623000000	480071.79287000000
74	3	1572840.77875000000	469584.22296600000
75	2	1572864.90501000000	456233.20373600000
76	3	1572906.32553000000	478831.41608500000
77	2	1572907.77467000000	481697.66265000000
78	1	1572915.56272000000	484394.05325400000
79	3	1572917.52695000000	456743.12463200000
80	2	1572948.90255000000	467003.08902000000
81	2	1572981.66527000000	468359.15914300000
82	1	1572998.34405000000	472586.33966500000
83	3	1573010.26594000000	479184.10730900000
84	3	1573058.64544000000	465453.79979600000
85	3	1573071.39672000000	480123.47452500000
86	1	1573078.87637000000	478746.66527100000
87	3	1573084.65359000000	480065.37982500000
88	1	1573152.26762000000	478005.02535000000
89	3	1573169.17671000000	471318.83891900000
90	3	1573201.58839000000	466187.53225300000
91	1	1573232.72776000000	479969.04865300000
92	1	1573254.86027000000	473527.68227000000
93	1	1573387.85213000000	460459.77927200000
94	2	1573477.34473000000	485188.28132400000
95	1	1573530.49325000000	469073.14688800000
96	3	1573597.98819000000	454092.67389600000
97	2	1573622.41990000000	453741.21823400000
98	2	1573648.97103000000	453824.91590200000
99	2	1573649.79944000000	472008.93563600000
100	3	1573665.47723000000	472029.24104200000
101	1	1573694.28262000000	452321.84804200000
102	1	1573695.69797000000	453362.95619600000
103	2	1573727.53222000000	485214.66742700000
104	1	1573748.18933000000	453325.84111200000
105	2	1573812.86243000000	453309.74075100000
106	2	1573977.62851000000	484975.64297000000
107	1	1574017.73538000000	457472.46602100000
108	2	1574061.64671000000	464718.73827400000
109	3	1574108.87595000000	456996.33606800000
110	2	1574124.33589000000	464697.70124300000
111	1	1574126.85885000000	464764.18569000000
112	1	1574128.74730000000	452457.59842600000
113	3	1574138.02189000000	464710.42234600000
114	1	1574226.83503000000	458778.48867200000
115	3	1574257.78608000000	464712.77043800000
116	3	1574262.77820000000	465819.02741200000
117	4	1574275.30475000000	452118.71951100000
118	3	1574302.99334000000	473072.97714300000
119	2	1574305.53271000000	452194.42539600000
120	3	1574316.33452000000	452912.08078500000
121	1	1574326.39356000000	452077.65332000000
122	1	1574399.31730000000	455964.84174000000
123	1	1574443.99929000000	474685.38467900000
124	1	1574577.91602000000	454858.41810000000
125	3	1574590.09939000000	452083.01813900000
126	2	1574665.52280000000	473286.81595400000
127	2	1574665.86499000000	483663.73319200000
128	2	1574779.76240000000	484734.43446300000
129	1	1574815.76200000000	458369.74966000000
130	1	1574820.62124000000	484779.88155100000
131	3	1574870.17659000000	464928.52230300000
132	3	1574952.33292000000	464128.85854800000
133	1	1574975.65407000000	464234.44298300000
134	3	1575030.30029000000	474106.57711000000
135	2	1575135.39456000000	452436.69459700000
136	2	1575146.04776000000	453804.97335600000
137	2	1575148.14585000000	452479.87495700000
138	2	1575148.70983000000	454622.01995100000
139	1	1575156.39616000000	456070.75721100000
140	1	1575161.08349000000	485389.82783700000
141	3	1575168.24489000000	485060.77698600000
142	2	1575168.68813000000	485093.53413900000
143	2	1575183.23764000000	484551.92006400000
144	3	1575217.63620000000	458261.39357700000
145	3	1575327.02804000000	458454.50638000000
146	3	1575397.00985000000	455430.12168100000
147	1	1575427.80802000000	451584.88462100000
148	1	1575513.78915000000	470856.18302000000
149	1	1575525.08407000000	485284.63021300000
150	3	1575542.48725000000	455712.10044800000
151	1	1575557.60271000000	456951.58550100000
152	1	1575562.17422000000	463555.04309500000
153	1	1575599.17185000000	455705.37834800000
154	1	1575653.33316000000	456833.47222100000
155	1	1575675.37413000000	467214.01445200000
156	3	1575694.73039000000	466826.22487300000
157	1	1575695.92658000000	467475.17764300000
158	2	1575786.34897000000	474771.47210600000
159	3	1575787.19510000000	467069.20863900000
160	3	1575850.39969000000	474792.78013400000
161	3	1575854.69890000000	463881.03785000000
162	2	1575856.87442000000	474872.11790200000
163	3	1575865.31371000000	456034.04665400000
164	3	1575904.98620000000	456429.64264800000
165	3	1575940.93659000000	456248.79688100000
166	3	1575968.94506000000	456280.85095000000
167	3	1575991.48209000000	456187.88460100000
168	2	1576033.76317000000	456075.45798900000
169	2	1576060.14075000000	456387.50624900000
