id	links	xcoord_p	ycoord_p
170	1	1576165.90038000000	463267.58402400000
171	1	1576212.09648000000	457291.23114800000
172	1	1576214.45868000000	486514.35675600000
173	3	1576348.14607000000	463633.79096900000
174	2	1576359.19461000000	463631.32542300000
175	3	1576538.73001000000	456974.42535100000
176	1	1576556.95734000000	487419.15875200000
177	2	1576576.39398000000	487458.60946100000
178	1	1576615.08124000000	463786.39630700000
179	1	1576642.13564000000	490812.45938100000
180	2	1576656.23765000000	490736.81484700000
181	2	1576680.10571000000	487759.69022400000
182	1	1576759.55240000000	490247.94804200000
183	1	1576784.31909000000	488679.29041900000
184	1	1576801.68257000000	490809.31601400000
185	1	1576845.47907000000	470177.99933700000
186	3	1576859.84092000000	488451.91029600000
187	1	1576875.22343000000	488831.95251500000
188	3	1576876.82973000000	488690.61979200000
189	1	1576915.30603000000	471229.77216800000
190	3	1576979.41187000000	463544.53983500000
191	2	1576990.75929000000	487685.67593600000
192	3	1577040.38747000000	463536.43880100000
193	1	1577059.55837000000	489164.71136400000
194	1	1577089.00089000000	461564.72325700000
195	3	1577099.39490000000	470110.71010200000
196	2	1577140.20256000000	489297.65598000000
197	3	1577144.39153000000	488706.21064000000
198	4	1577145.16253000000	470580.02609200000
199	4	1577146.27473000000	488424.88640000000
200	3	1577194.89373000000	471062.85714800000
201	3	1577215.07610000000	469068.02386700000
202	3	1577350.60568000000	468455.62089200000
203	2	1577385.67550000000	488514.98923800000
204	2	1577428.11176000000	488417.45301600000
205	3	1577441.27348000000	458291.32363600000
206	1	1577493.25336000000	470864.91495800000
207	2	1577551.79360000000	488557.76244600000
208	1	1577616.86401000000	476623.22988500000
209	1	1577662.96300000000	487426.10887000000
210	3	1577753.45954000000	488472.64680300000
211	1	1577824.81537000000	464647.77089600000
212	1	1577829.18019000000	468635.17630700000
213	1	1577908.75417000000	464417.63520200000
214	2	1577964.32460000000	473406.47614800000
215	1	1577996.47185000000	488369.43736400000
216	1	1578006.59683000000	484941.43208100000
217	3	1578104.07071000000	464229.35769100000
218	3	1578150.45645000000	464503.74428200000
219	2	1578211.96190000000	459558.39131100000
220	3	1578227.82079000000	467006.57687400000
221	3	1578228.32178000000	466721.63321800000
222	3	1578244.73743000000	466857.42822200000
223	3	1578269.05988000000	466998.41219200000
224	3	1578278.12253000000	474702.85019600000
225	3	1578303.71992000000	459668.02429400000
226	1	1578307.72057000000	486066.55319000000
227	1	1578346.25199000000	495233.06471300000
228	3	1578355.01936000000	459723.92674100000
229	2	1578378.18270000000	459697.47207000000
230	3	1578419.74200000000	463442.12632600000
231	3	1578428.86829000000	466702.72741600000
232	2	1578432.52675000000	488242.45861500000
233	6	1578458.47223000000	488304.32693000000
234	2	1578461.89546000000	488237.43139400000
235	2	1578492.21200000000	466690.29535500000
236	3	1578523.31758000000	463385.80229200000
237	2	1578544.68696000000	466774.31159100000
238	1	1578557.24730000000	464243.46724300000
239	2	1578584.87487000000	459689.73750500000
240	1	1578656.24645000000	459367.44156200000
241	1	1578830.12143000000	480993.86517300000
242	2	1578847.49442000000	486985.28068300000
243	2	1578926.13140000000	487512.73664900000
244	3	1578995.47444000000	474885.83900300000
245	2	1579007.46097000000	457332.44300700000
246	2	1579016.64303000000	488100.26467400000
247	1	1579031.55705000000	457335.09884200000
248	3	1579074.73347000000	485884.84161100000
249	2	1579126.03816000000	487436.58949200000
250	1	1579179.49868000000	467257.58129400000
251	2	1579442.29146000000	460555.90342400000
252	3	1579586.40830000000	485290.24404700000
253	2	1579780.40988000000	460714.53598100000
254	1	1579913.43094000000	494214.61399400000
255	1	1579933.04868000000	494288.48195600000
256	3	1579993.12435000000	494217.85053600000
257	2	1580051.25415000000	448115.16551000000
258	1	1580099.33641000000	453440.27100200000
259	3	1580121.98925000000	495011.37650800000
260	3	1580138.47609000000	462448.82549100000
261	1	1580266.99552000000	456056.39930000000
262	3	1580301.39046000000	463618.16698400000
263	1	1580529.39460000000	465392.91770000000
264	3	1580567.46539000000	475621.35032700000
265	1	1580596.97878000000	444989.81611800000
266	2	1580606.14609000000	445048.60012100000
267	2	1580606.79569000000	445016.15989700000
268	3	1580627.52859000000	476255.61874400000
269	2	1580631.95509000000	476688.75731300000
270	3	1580652.27821000000	486291.32439400000
271	3	1580696.04584000000	488539.47048800000
272	1	1580715.38045000000	453043.53754300000
273	3	1580795.58108000000	462348.72300100000
274	1	1580824.25031000000	463587.36750500000
275	2	1580827.71290000000	494239.46860300000
276	2	1580884.05859000000	488827.19629100000
277	1	1580908.68157000000	462884.98800500000
278	1	1580919.17729000000	485931.67419500000
279	1	1580931.37018000000	483280.69327600000
280	2	1580942.23662000000	445793.69180700000
281	3	1580970.20048000000	475208.92726700000
282	3	1581002.70009000000	452894.09853800000
283	2	1581031.56059000000	489276.96146700000
284	1	1581289.61552000000	474828.39653200000
285	3	1581382.52150000000	462216.14419800000
286	2	1581410.83313000000	493868.65504000000
287	3	1581447.16015000000	483394.61430800000
288	3	1581494.76308000000	493784.47148100000
289	3	1581519.07438000000	452727.05490800000
290	2	1581569.07297000000	461528.62424800000
291	1	1581617.17425000000	462442.36192100000
292	2	1581640.95570000000	462157.44024700000
293	3	1581693.68689000000	462138.86876200000
294	2	1581710.82531000000	463244.96103800000
295	3	1581715.07432000000	463239.27863500000
296	1	1581741.10871000000	492148.66799400000
297	2	1581769.62539000000	463398.39577000000
298	2	1581832.98320000000	449734.53595900000
299	1	1582023.42377000000	451857.60422000000
300	3	1582032.79186000000	491422.34759600000
301	1	1582144.75030000000	482067.53953400000
302	3	1582165.36410000000	452223.05821300000
303	3	1582295.70176000000	482674.46023700000
304	2	1582458.93700000000	485447.54097700000
305	3	1582521.75151000000	491845.07805000000
306	1	1582529.38502000000	492135.21034400000
307	1	1582587.52238000000	444845.54704900000
308	2	1582621.88779000000	482931.23925100000
309	2	1582629.87761000000	444857.89216900000
310	2	1582671.02975000000	444881.50498300000
311	3	1582677.39884000000	482290.46789400000
312	3	1582739.91741000000	461887.36532800000
313	2	1582772.50659000000	482984.83789700000
314	2	1582836.74333000000	491896.82532200000
315	3	1582846.41293000000	483221.47128200000
316	1	1582855.81777000000	462168.44842700000
317	3	1582893.07590000000	461879.70917500000
318	3	1582904.94891000000	482156.72866100000
319	2	1582959.91074000000	445435.30276000000
320	1	1582984.54159000000	481905.48408400000
321	3	1583058.88298000000	491930.94369200000
322	1	1583080.49974000000	408269.53555600000
323	2	1583118.67879000000	491940.07884400000
324	1	1583149.93825000000	408462.54402800000
325	3	1583156.77255000000	408262.57034700000
326	1	1583275.35893000000	452594.21527900000
327	2	1583335.20526000000	491978.57581500000
328	3	1583377.67992000000	450947.78222000000
329	1	1583387.82196000000	464337.30695000000
330	3	1583397.14969000000	450947.85538300000
331	3	1583430.20409000000	451647.67681800000
332	2	1583443.73162000000	481884.83747200000
333	1	1583471.63084000000	408420.56642200000
334	3	1583640.33982000000	451875.55923600000
335	1	1583703.78425000000	451479.58365000000
336	3	1583717.74485000000	408068.84435600000
337	3	1583740.94330000000	452183.65343600000
338	2	1583755.76381000000	408056.42902700000
339	2	1583764.76379000000	491934.49749100000
340	1	1583790.10921000000	451055.17669100000
341	3	1583796.20172000000	408042.65805700000
342	3	1583847.80069000000	462270.15098000000
343	2	1583930.62664000000	491919.39581500000
344	1	1583971.54487000000	407991.36616500000
345	3	1584027.77638000000	452712.00671000000
346	3	1584061.79633000000	462427.82651700000
347	1	1584246.32385000000	456935.82667500000
348	1	1584247.43310000000	463651.49237700000
349	2	1584249.15554000000	450126.46562100000
350	1	1584282.40875000000	461735.90368900000
351	3	1584330.94933000000	453209.03885300000
352	1	1584361.46929000000	455439.14003500000
353	1	1584381.52240000000	450054.89129000000
354	1	1584425.94521000000	454506.70587700000
355	2	1584426.70603000000	484524.63435800000
356	3	1584428.24573000000	462688.72822700000
357	1	1584431.45143000000	458406.04584700000
358	1	1584438.73226000000	459674.42618400000
359	2	1584450.72633000000	467769.29516500000
360	1	1584468.50779000000	405959.84004400000
361	1	1584495.17899000000	406812.63197400000
362	2	1584497.92439000000	458014.66441200000
363	1	1584506.66191000000	460602.13528700000
364	3	1584509.50278000000	468045.51311700000
365	2	1584510.53297000000	458068.77158700000
366	1	1584515.90533000000	406823.61062600000
367	1	1584539.34393000000	452548.05887500000
368	3	1584554.67625000000	406683.11550000000
369	3	1584555.16542000000	458070.82998200000
370	2	1584564.25661000000	467894.21420700000
371	2	1584581.40684000000	491839.97110500000
372	3	1584584.03774000000	463638.77488300000
373	4	1584593.16010000000	462076.96763900000
374	2	1584594.52099000000	484449.61121400000
375	3	1584596.66271000000	462772.54859700000
376	3	1584604.80476000000	405718.78048700000
377	1	1584612.76308000000	405685.58271900000
378	3	1584615.01570000000	461664.33296600000
379	3	1584638.06880000000	464292.32246000000
380	3	1584652.75939000000	481311.88192500000
381	1	1584672.18520000000	405673.54829400000
382	2	1584675.55298000000	458098.03301200000
383	2	1584706.89379000000	445424.79359400000
384	1	1584712.66511000000	405703.79200000000
385	3	1584728.52466000000	462052.34728100000
386	2	1584750.49016000000	481307.94459700000
387	4	1584756.68733000000	458121.12122000000
388	3	1584761.40025000000	458150.51223700000
389	1	1584777.25520000000	405652.30916300000
390	3	1584779.70270000000	481208.60851000000
391	2	1584811.45658000000	464569.34520000000
392	2	1584820.07139000000	464710.21040400000
393	1	1584826.80464000000	496499.00017300000
394	2	1584831.03331000000	405684.69459700000
395	3	1584832.55168000000	464836.79446800000
396	3	1584892.76711000000	445348.21435100000
397	2	1584904.29924000000	454471.27451700000
398	3	1584906.07089000000	457128.33088300000
399	3	1584909.16537000000	454553.28222700000
400	3	1584911.79463000000	457090.85950100000
401	4	1584920.73523000000	454097.76279700000
402	3	1584923.54559000000	455787.81223800000
403	3	1584927.56789000000	454144.33455400000
404	3	1584934.60331000000	456934.35751700000
405	3	1584944.37330000000	454803.99793300000
406	1	1584957.73450000000	453848.41191800000
407	2	1584965.89459000000	484572.45151900000
408	1	1584966.89098000000	470043.96089100000
409	1	1584987.72230000000	409442.35342000000
410	1	1584990.83417000000	470732.65505200000
411	4	1585011.50112000000	460430.34002700000
412	3	1585016.81115000000	405766.63767500000
413	3	1585030.14315000000	455526.95383600000
414	3	1585038.00796000000	455344.17401800000
415	2	1585040.08046000000	405662.08801500000
416	3	1585043.27107000000	459600.26557100000
417	2	1585048.26319000000	405604.72887800000
418	1	1585051.01056000000	405504.75138700000
419	3	1585054.93312000000	455479.63437700000
420	2	1585063.81992000000	409175.28276000000
421	3	1585068.66669000000	455454.96415100000
422	3	1585113.97073000000	409220.62256500000
423	1	1585183.90662000000	453140.54030200000
424	3	1585200.54865000000	409276.73531300000
425	3	1585204.68053000000	470002.43768000000
426	3	1585207.03912000000	455676.85379900000
427	1	1585247.93667000000	454142.76139500000
428	3	1585286.10392000000	470726.77776700000
429	1	1585297.11768000000	455680.63135000000
430	3	1585315.54448000000	461944.66705100000
431	1	1585351.47879000000	454614.30408700000
432	3	1585440.81260000000	468131.85251100000
433	2	1585460.24826000000	444983.66357100000
434	1	1585460.97168000000	456791.07860500000
435	1	1585461.99957000000	462433.84750300000
436	2	1585511.18254000000	491478.23298300000
437	1	1585512.73306000000	455424.29656100000
438	1	1585524.02011000000	465112.28801200000
439	1	1585565.36616000000	453958.88479400000
440	1	1585584.92419000000	405699.60171900000
441	1	1585587.31559000000	457024.04893900000
442	3	1585607.87821000000	473678.13538200000
443	3	1585613.11770000000	405866.68275000000
444	1	1585625.63802000000	406077.65312900000
445	2	1585631.45592000000	409530.52253500000
446	1	1585632.14883000000	454411.05646200000
447	1	1585654.40732000000	409463.70344300000
448	1	1585711.08732000000	460246.72458000000
449	2	1585719.57057000000	446358.26318400000
450	2	1585728.08040000000	476652.00705800000
451	1	1585734.24673000000	473918.38654100000
452	1	1585760.73322000000	444614.02881200000
453	3	1585762.61740000000	405887.88480700000
454	1	1585782.17806000000	405706.93897500000
455	3	1585793.71380000000	454916.25459800000
456	1	1585824.12351000000	455275.58130700000
457	3	1585824.75245000000	454912.20637800000
458	3	1585836.27178000000	406072.90149800000
459	3	1585853.77076000000	405899.92546600000
460	3	1585860.94726000000	406426.01299600000
461	1	1585880.15982000000	407373.88117900000
462	3	1585927.27193000000	463057.82722600000
463	3	1585996.38203000000	454908.29529700000
464	3	1586027.26222000000	407068.48579300000
465	1	1586040.26481000000	437047.51999500000
466	1	1586053.39996000000	462762.62866900000
467	1	1586086.04622000000	406430.00872300000
468	3	1586121.55730000000	437057.70435700000
469	1	1586125.80664000000	454223.21333300000
470	1	1586149.68651000000	458242.10752700000
471	1	1586189.79896000000	455328.02674100000
472	3	1586201.23660000000	407097.97326700000
473	2	1586206.41606000000	476807.21212900000
474	3	1586220.52134000000	437095.12423000000
475	1	1586224.43735000000	407380.28471000000
476	1	1586247.48126000000	462064.12022400000
477	2	1586247.67778000000	476822.22358200000
478	3	1586252.16662000000	461700.69148900000
479	1	1586288.48085000000	437861.99835300000
480	3	1586319.35743000000	405965.62973100000
481	1	1586329.26456000000	405791.76065600000
482	1	1586346.65167000000	487720.68275600000
483	2	1586367.37932000000	405972.28063600000
484	2	1586393.38058000000	437176.91245200000
485	3	1586407.06657000000	472894.22520400000
486	1	1586475.55069000000	462779.91702100000
487	1	1586478.40961000000	412107.96029400000
488	3	1586497.02571000000	455005.96340800000
489	1	1586504.58180000000	436806.79344200000
490	3	1586513.07620000000	463167.61178300000
491	2	1586525.14508000000	412079.21855300000
492	3	1586534.91606000000	410076.95090400000
493	3	1586632.96868000000	455084.59645300000
494	2	1586635.16454000000	405389.30968900000
495	1	1586672.35246000000	455386.88521900000
496	1	1586703.67687000000	406753.50610800000
497	3	1586703.75463000000	461735.46701000000
498	1	1586716.03118000000	462300.21292700000
499	1	1586721.03707000000	405204.84877200000
500	1	1586746.93007000000	405134.68290200000
501	3	1586755.68825000000	406982.16083400000
502	3	1586784.94180000000	490454.43056900000
503	2	1586792.83910000000	405186.69985800000
504	3	1586805.11729000000	489831.67066000000
505	2	1586809.41715000000	405315.21534900000
506	3	1586812.52771000000	405511.41705600000
507	3	1586836.51617000000	406061.11182300000
508	3	1586846.37409000000	406876.06787000000
509	3	1586847.63853000000	455290.93134200000
510	1	1586852.38655000000	462969.23029000000
511	3	1586858.06961000000	405928.45690500000
512	3	1586866.43508000000	406070.97892900000
513	3	1586869.00988000000	406826.13194700000
514	1	1586913.74863000000	408030.13839700000
515	3	1586932.72071000000	463303.41433300000
516	1	1586939.25219000000	429800.53022400000
517	3	1586954.86830000000	463137.32509800000
518	1	1586963.13239000000	407210.10427600000
519	1	1587010.66150000000	407034.41926000000
520	3	1587012.22645000000	406119.37220500000
521	3	1587014.24384000000	411135.61250100000
522	2	1587033.18606000000	411051.96962400000
523	1	1587100.33848000000	454603.57576200000
524	3	1587119.30695000000	479692.24769700000
525	1	1587134.24163000000	405344.05715500000
526	1	1587292.57432000000	405005.09753100000
527	2	1587304.02180000000	405072.78899700000
528	2	1587307.77179000000	405297.44241900000
529	3	1587341.01254000000	405292.04380800000
530	1	1587364.36059000000	405047.84186800000
531	2	1587373.23853000000	405126.15667200000
532	3	1587380.10236000000	405174.71399000000
533	1	1587403.94089000000	455262.79196300000
534	1	1587416.12131000000	455924.50225400000
535	3	1587423.38869000000	494600.32385200000
536	3	1587459.77215000000	405654.84721600000
537	2	1587466.81380000000	406566.47203300000
538	2	1587471.86759000000	406559.45662700000
539	3	1587480.43254000000	406551.73321700000
540	1	1587500.29667000000	483410.29800400000
541	3	1587519.20346000000	437085.38409200000
542	3	1587564.68073000000	406346.44721100000
543	1	1587579.49074000000	406775.14123500000
544	1	1587587.34210000000	437392.92284700000
545	3	1587588.16329000000	484055.79835300000
546	3	1587602.66654000000	405129.11467100000
547	2	1587608.00774000000	430036.66721800000
548	2	1587616.15208000000	405104.11865800000
549	3	1587621.18422000000	455480.35025500000
550	3	1587645.39448000000	455429.73126200000
551	2	1587651.76651000000	406254.63374600000
552	2	1587658.29570000000	405116.80531300000
553	3	1587680.45773000000	455464.68230700000
554	1	1587685.65030000000	436759.88474300000
555	3	1587692.85501000000	455296.40541300000
556	3	1587694.51216000000	455485.01658400000
557	3	1587734.85132000000	455323.98508200000
558	1	1587744.87853000000	411329.58127300000
559	3	1587757.21348000000	436977.69598700000
560	3	1587759.54418000000	455248.20898700000
561	4	1587778.33877000000	406469.74059900000
562	1	1587783.22655000000	405579.13969000000
563	3	1587788.28789000000	406464.31574100000
564	3	1587825.57817000000	463683.21442700000
565	3	1587872.70800000000	406603.85942500000
566	1	1587883.54000000000	406935.64255400000
567	2	1587890.26275000000	452033.45393300000
568	1	1587899.91857000000	455169.92666300000
569	1	1587963.24030000000	455360.37903800000
570	3	1587986.30620000000	461609.78681500000
571	1	1588000.69364000000	406989.70937500000
572	1	1588035.86581000000	489391.60264200000
573	1	1588049.71552000000	454840.34267700000
574	3	1588053.72568000000	490652.90523800000
575	1	1588060.40644000000	455678.79178700000
576	1	1588086.17083000000	455995.15959300000
577	3	1588093.69247000000	484131.91335800000
578	3	1588106.96770000000	407164.70902500000
579	1	1588121.45192000000	470331.48557900000
580	1	1588123.06642000000	455218.96593500000
581	3	1588157.51288000000	479058.47239000000
582	3	1588274.85483000000	407288.27275500000
583	4	1588306.20516000000	453509.28037800000
584	3	1588328.87999000000	452844.13669500000
585	3	1588348.08369000000	455618.11146200000
586	3	1588356.74903000000	455060.37307600000
587	3	1588377.19584000000	470733.20787200000
588	3	1588394.05899000000	407063.66985700000
589	3	1588505.92196000000	483930.60733100000
590	3	1588528.04330000000	407162.52628700000
591	3	1588584.77711000000	483826.32440300000
592	2	1588586.18951000000	407094.25837900000
593	3	1588598.58056000000	483911.19496800000
594	1	1588613.99031000000	418386.61702800000
595	1	1588661.85865000000	418736.11928200000
596	2	1588674.71755000000	418580.41322800000
597	1	1588777.86826000000	419578.48406700000
598	2	1588789.68123000000	407311.01450700000
599	2	1588800.28095000000	407230.79091400000
600	3	1588817.40624000000	482777.52335100000
601	3	1588820.33373000000	482525.97267300000
602	3	1588834.73331000000	482697.87226300000
603	3	1588846.16701000000	481960.06370000000
604	3	1588846.56530000000	470567.89685100000
605	1	1588858.36252000000	470892.06024500000
606	3	1588914.54450000000	436749.79618100000
607	3	1588921.16095000000	481931.94761400000
608	2	1588929.62288000000	462104.45741300000
609	3	1588958.28555000000	482334.21354200000
610	1	1588998.37570000000	407844.40582900000
611	3	1588999.63521000000	481673.78507300000
612	3	1589005.87666000000	470517.50128300000
613	1	1589034.48455000000	470763.34429500000
614	1	1589053.81719000000	482803.55938800000
615	3	1589082.47231000000	407668.57908100000
616	3	1589082.97231000000	462235.82427700000
617	3	1589096.53823000000	454796.89164800000
618	1	1589103.62253000000	460233.39717900000
619	3	1589113.17205000000	407551.36081100000
620	3	1589140.59818000000	481857.27027000000
621	2	1589140.93775000000	407479.18707100000
622	2	1589170.64996000000	481779.76976900000
623	2	1589199.86020000000	462037.72460700000
624	1	1589202.18008000000	434137.30206200000
625	2	1589209.38413000000	460674.14728200000
626	1	1589211.01339000000	482389.16028200000
627	1	1589213.39298000000	433627.18825300000
628	1	1589226.22695000000	454271.66271200000
629	1	1589266.24918000000	461324.68666300000
630	2	1589336.31006000000	430495.29294200000
631	2	1589345.43963000000	492258.61560900000
632	2	1589366.27096000000	407626.82916400000
633	3	1589372.37265000000	480802.19823300000
634	1	1589381.46942000000	437663.04599500000
635	2	1589401.95921000000	477062.88878300000
636	3	1589423.10352000000	479948.71240700000
637	1	1589431.17765000000	408827.92846800000
638	1	1589442.43255000000	458104.37879900000
639	2	1589455.62577000000	407980.09486200000
640	2	1589506.62829000000	407799.73564300000
641	2	1589521.22504000000	476906.78673300000
642	1	1589541.88544000000	486242.25100100000
643	2	1589545.43661000000	407827.02955100000
644	1	1589545.91266000000	432670.76529700000
645	2	1589546.00715000000	407745.94375500000
646	1	1589567.90572000000	454411.83008200000
647	4	1589631.09720000000	433332.84665000000
648	2	1589651.67557000000	407812.74217800000
649	2	1589669.72639000000	420489.18237600000
650	3	1589671.00919000000	457762.52482400000
651	1	1589671.32186000000	433159.57632700000
652	1	1589696.73913000000	433928.00294000000
653	1	1589714.22663000000	481352.72370700000
654	1	1589723.52812000000	451328.80508000000
655	3	1589764.20028000000	457777.52741900000
656	1	1589814.87734000000	467048.67849600000
657	3	1589842.52427000000	433778.84182100000
658	3	1589880.44677000000	457777.66915100000
659	3	1589894.26039000000	433387.99909800000
660	4	1589898.10093000000	408208.64361700000
661	3	1589907.26758000000	451983.98060700000
662	2	1589919.66027000000	457778.81383400000
663	3	1589925.73047000000	408105.03424500000
664	1	1589930.63466000000	447813.90692600000
