TAZ,ID_POPSYN
16599258,1
16599259,2
16599254,3
16599256,4
16599255,5
16599262,6
16599212,7
16599232,8
16599213,9
16599231,10
16599233,11
16599222,12
16599028,13
16599055,14
16599065,15
16599102,16
16599067,17
16599098,18
16599097,19
16599264,20
16599115,21
16599116,22
16599117,23
16599118,24
16599119,25
16599169,27
16599151,28
16599152,29
16599161,30
16599157,31
16599170,32
16599076,33
16599079,34
16599082,35
16599086,36
16599087,37
16599073,38
16599057,39
16599032,40
16599034,41
16599058,42
16599105,43
16599108,44
16599023,45
16599134,46
16599141,47
16599149,48
16599187,49
16599196,50
16599188,51
16599131,52
16599122,53
16599132,54
16599120,55
16599121,56
16599011,57
16599180,58
16599084,59
16599085,60
16599191,61
16599275,62
16599269,63
16599201,64
16599202,65
16599203,66
16599199,67
16599200,68
16599080,69
16599263,70
16599266,71
16599265,72
16599274,73
16599214,74
16599216,75
16599218,76
16599257,77
16599215,78
16599217,79
16599219,80
16599237,81
16599238,82
11999166,83
11999168,84
11999165,85
11999171,86
11999178,87
11999123,88
11999176,89
11999134,90
11999135,91
11999182,92
11999170,93
11999177,94
11999038,96
11999048,97
11999096,98
11999052,99
11999066,101
11999059,102
11999101,103
11999113,104
11999114,105
11999140,106
11999128,107
11999028,108
11999029,109
11999025,110
11999032,111
11999024,112
11999023,113
11999034,114
11999026,115
11999037,116
11999049,117
18799181,118
18799139,119
18799140,120
18799156,121
18799157,122
18799198,123
18799150,124
18799151,125
18799152,126
18799149,127
18799148,128
18799299,130
18799283,131
18799133,132
18799180,133
18799184,134
18799206,135
18799296,136
18799162,137
18799167,138
18799175,139
18799268,140
18799308,141
18799310,142
18799017,143
18799018,144
18799247,145
18799250,146
18799260,147
18799035,148
18799036,149
18799051,150
18799063,151
18799064,152
18799166,153
18799191,154
18799192,155
18799193,156
18799202,157
18799221,158
18799228,159
18799227,160
18799251,161
18799300,162
18799301,163
18799305,164
18799309,165
18799290,166
18799304,167
18799303,168
18799113,169
18799111,170
18799112,171
18799037,172
18799002,173
18799114,174
18799122,175
18799183,176
18799119,177
18799001,178
18799004,179
18799038,180
18799003,181
18799011,182
18799170,183
18799307,184
18799302,185
18799238,186
18799232,187
18799233,188
18799236,189
18799237,190
18799259,191
18799050,192
18799005,193
18799040,194
18799041,195
18799235,196
18799234,197
18799226,198
18799225,199
18799039,200
18799087,201
18799068,202
18799092,203
18799086,204
18799091,205
18799098,206
18799093,207
18799088,208
18799042,209
18799203,210
18799255,211
18799094,212
18799249,213
18799044,214
18799065,215
18799083,216
18799248,217
18799115,218
18799182,219
3799827,220
3791164,221
3799694,222
3799696,223
3799488,224
3799482,225
3799592,226
3799597,227
3799603,228
3799542,229
3799537,230
3799170,231
3799166,232
3791254,233
3799430,234
3799535,235
3799600,236
3799539,237
3799550,238
3791010,239
3791009,240
3791012,241
3791011,242
3791017,243
3799262,244
3799626,245
3799625,246
3791242,247
3799534,248
3799538,249
3799541,250
3799540,251
3799543,252
3799545,253
3799551,254
3799457,255
3799470,256
3799458,257
3799465,258
3799548,259
3799536,260
3799053,261
3799107,263
3799979,264
3799978,265
3799933,266
3799466,267
3799224,268
3799689,269
3799683,270
3799761,271
3791209,272
3791188,273
3791208,274
3791213,275
3799638,276
3799782,277
3791037,278
3791048,279
3791030,280
3791063,281
3799549,282
3799546,283
3799547,284
3799510,285
3799544,286
3799041,287
3799048,288
3799475,289
3799554,290
3799555,291
3799562,292
3799472,293
3799148,294
3799187,295
3799202,296
3799898,297
3799298,298
3791214,299
3791216,300
3791190,301
3791195,302
3799685,303
3791067,304
3791031,305
3799796,306
3791053,307
3799797,308
3799099,309
3799097,310
3799098,311
3799474,312
3799461,313
3799462,314
3799460,315
3799471,316
3799015,317
3799295,318
3799383,319
3799936,320
3799896,321
3799908,322
3799385,323
3799386,324
3799389,325
3791042,326
3791054,327
3799801,328
3791039,329
3791050,330
