PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
2	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
3	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
4	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
5	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
6	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
7	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
8	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
9	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
10	6.404839	-369.144545	-7.244228	0.000000	-5.703782	-280.586865
11	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
12	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
13	0.056700	3.335311	-7.244228	0.000000	-5.703782	-280.586865
14	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
15	6.181696	-370.929695	-7.244228	0.000000	-5.703782	-280.586865
16	7.600780	-47.512042	-5.991465	0.000000	-5.298317	-310.625831
17	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
18	-0.438377	6.669529	-5.991465	0.000000	-5.298317	-310.625831
19	6.651699	-55.104684	-5.991465	0.000000	-5.298317	-310.625831
20	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
21	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
22	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
23	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
24	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
25	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
26	-0.438377	-104.211975	-5.991465	0.000000	-5.298317	-310.625831
27	6.651699	-55.104684	-5.991465	0.000000	-5.298317	-310.625831
28	0.723036	-3.370258	-6.396930	0.000000	-4.605170	-73.682720
29	0.723036	-3.370258	-6.396930	0.000000	-4.605170	-73.682720
30	0.723036	-3.370258	-6.396930	0.000000	-4.605170	-73.682720
