id	person_id	household_day_id	hhno	pno	day	beghom	endhom	hbtours	wbtours	uwtours	wktours	sctours	estours	pbtours	shtours	mltours	sotours	retours	metours	wkstops	scstops	esstops	pbstops	shstops	mlstops	sostops	restops	mestops	wkathome	pdexpfac
564630	564630	225500	225500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
382577	382577	150500	150500	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
382578	382578	150500	150500	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	500
1329	1329	500	500	1	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
947692	947692	375500	375500	1	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	500
751893	751893	300500	300500	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	500
751894	751894	300500	300500	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
751895	751895	300500	300500	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	500
1313869	1313869	526000	526000	1	1	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	500
1313870	1313870	526000	526000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1313871	1313871	526000	526000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1313872	1313872	526000	526000	4	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	500
948863	948863	376000	376000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
565870	565870	226000	226000	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
565871	565871	226000	226000	2	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	500
196548	196548	75500	75500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
196549	196549	75500	75500	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	500
196550	196550	75500	75500	3	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	500
383723	383723	151000	151000	1	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	500
383724	383724	151000	151000	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	500
753364	753364	301000	301000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	500
753365	753365	301000	301000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
753366	753366	301000	301000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
753367	753367	301000	301000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
567056	567056	226500	226500	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	500
567057	567057	226500	226500	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
2708	2708	1000	1000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
2709	2709	1000	1000	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
2710	2710	1000	1000	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
384763	384763	151500	151500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	500
385879	385879	152000	152000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
197976	197976	76000	76000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
197977	197977	76000	76000	2	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	500
1112280	1112280	450500	450500	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	500
1112281	1112281	450500	450500	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1112282	1112282	450500	450500	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	500
1112283	1112283	450500	450500	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	500
568151	568151	227000	227000	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	500
568152	568152	227000	227000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
568153	568153	227000	227000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1113255	1113255	451000	451000	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1314729	1314729	526500	526500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
1314730	1314730	526500	526500	2	1	0	0	3	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	500
387264	387264	152500	152500	1	1	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	500
1315888	1315888	527000	527000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1315889	1315889	527000	527000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1114208	1114208	451500	451500	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	500
1114209	1114209	451500	451500	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
569061	569061	227500	227500	1	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	500
569944	569944	228000	228000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
754772	754772	301500	301500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
754773	754773	301500	301500	2	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
754774	754774	301500	301500	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	500
754775	754775	301500	301500	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	500
1115428	1115428	452000	452000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	500
199452	199452	76500	76500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
199453	199453	76500	76500	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	500
199454	199454	76500	76500	3	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1116693	1116693	452500	452500	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
200756	200756	77000	77000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
570981	570981	228500	228500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
570982	570982	228500	228500	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
4081	4081	1500	1500	1	1	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	500
4082	4082	1500	1500	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
4083	4083	1500	1500	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
4084	4084	1500	1500	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	500
950275	950275	376500	376500	1	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
950276	950276	376500	376500	2	1	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	500
950277	950277	376500	376500	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
756178	756178	302000	302000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
756179	756179	302000	302000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
388445	388445	153000	153000	1	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	500
388446	388446	153000	153000	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	500
1118048	1118048	453000	453000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1118049	1118049	453000	453000	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	500
202072	202072	77500	77500	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
202073	202073	77500	77500	2	1	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	500
202074	202074	77500	77500	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
572081	572081	229000	229000	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	500
572082	572082	229000	229000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
572083	572083	229000	229000	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	500
389537	389537	153500	153500	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
389538	389538	153500	153500	2	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
5444	5444	2000	2000	1	1	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	500
5445	5445	2000	2000	2	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	500
5446	5446	2000	2000	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	500
1119316	1119316	453500	453500	1	1	0	0	3	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	500
1119317	1119317	453500	453500	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
203373	203373	78000	78000	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	500
203374	203374	78000	78000	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	500
204641	204641	78500	78500	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
204642	204642	78500	78500	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
951663	951663	377000	377000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	500
951664	951664	377000	377000	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	500
951665	951665	377000	377000	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	500
6926	6926	2500	2500	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	500
6927	6927	2500	2500	2	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1120511	1120511	454000	454000	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	500
1120512	1120512	454000	454000	2	1	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	500
757698	757698	302500	302500	1	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	500
757699	757699	302500	302500	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	500
757700	757700	302500	302500	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	500
757701	757701	302500	302500	4	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	500
757702	757702	302500	302500	5	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
8373	8373	3000	3000	1	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	500
573213	573213	229500	229500	1	1	0	0	3	0	2	2	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	500
573214	573214	229500	229500	2	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	500
1317203	1317203	527500	527500	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	500
1317204	1317204	527500	527500	2	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	500
1317205	1317205	527500	527500	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500
1317206	1317206	527500	527500	4	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	500
1317207	1317207	527500	527500	5	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	500
206019	206019	79000	79000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	500
206020	206020	79000	79000	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	500
206021	206021	79000	79000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
206022	206022	79000	79000	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	500
1318649	1318649	528000	528000	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	500
1318650	1318650	528000	528000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
759129	759129	303000	303000	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	500
759130	759130	303000	303000	2	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	500
574417	574417	230000	230000	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	500
574418	574418	230000	230000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500
