id	person_id	person_day_id	hhno	pno	day	tour	jtindex	parent	subtrs	pdpurp	tlvorig	tardest	tlvdest	tarorig	toadtyp	tdadtyp	topcl	totaz	tdpcl	tdtaz	tmodetp	tpathtp	tautotime	tautocost	tautodist	tripsh1	tripsh2	phtindx1	phtindx2	fhtindx1	fhtindx2	toexpfac
5646301	564630	564630	225500	1	1	1	0	0	0	1	423	460	1036	1066	1	2	4242	811	25064	879	3	1	33.62	0.8004	6.67	1	1	0	0	0	0	500
3825781	382578	382578	150500	2	1	1	0	0	0	1	408	446	983	1172	1	4	5933	587	19415	2547	3	1	40.71	2.6166	21.805	1	2	0	0	0	0	500
13291	1329	1329	500	1	1	1	0	0	0	4	491	502	526	536	1	4	22	2273	129	2286	3	1	11.315	0.5256	4.38	1	1	0	0	0	0	500
13292	1329	1329	500	1	1	2	0	0	0	4	760	813	898	950	1	4	22	2273	28547	1126	3	1	53.275	2.9976	24.98	1	1	0	0	0	0	500
9476922	947692	947692	375500	1	1	2	0	0	0	7	617	842	943	987	1	4	32024	1925	31739	1911	1	1	3.10538108766234	0.0573931818181818	0.478276515151515	3	2	0	0	0	0	500
9476921	947692	947692	375500	1	1	1	0	0	0	4	1022	1134	1163	1169	1	4	32024	1925	32167	1963	3	1	6.31289500603045	0.169751424242424	1.4145952020202	2	1	0	0	0	0	500
7518931	751893	751893	300500	1	1	1	0	0	0	2	751	770	928	949	1	3	20638	1736	31739	1911	3	1	20.81	1.0764	8.97	1	1	0	0	0	0	500
7518932	751893	751893	300500	1	1	2	0	0	0	4	1243	1258	1379	1394	1	4	20638	1736	30525	1947	3	1	15.875	1.02	8.5	1	1	0	0	0	0	500
7518941	751894	751894	300500	2	1	1	0	0	0	1	419	445	1015	1040	1	2	20638	1736	30886	1893	3	1	26.165	1.3848	11.54	1	1	0	0	0	0	500
7518951	751895	751895	300500	3	1	1	0	0	0	7	534	634	694	713	1	4	20638	1736	31739	1911	5	1	19.755	1.0764	8.97	2	1	0	0	0	0	500
13138691	1313869	1313869	526000	1	1	1	0	0	0	1	369	438	1055	1113	1	2	19033	2391	8528	726	4	1	63.98	3.0816	25.68	1	1	0	0	0	0	500
13138692	1313869	1313869	526000	1	1	2	0	0	0	7	1290	1298	1325	1333	1	4	19033	2391	20406	2356	5	1	8.1768134821368	0.357460696969697	2.97883914141414	1	1	0	0	0	0	500
13138722	1313872	1313872	526000	4	1	2	0	0	0	6	728	760	842	849	1	4	19033	2391	19034	2404	4	1	7.1086081609042	0.252791757575758	2.10659797979798	2	1	0	0	0	0	500
13138721	1313872	1313872	526000	4	1	1	0	0	0	5	943	1144	1255	1341	1	4	19033	2391	20358	2399	5	1	6.39348225444746	0.188464151515151	1.5705345959596	2	2	0	0	0	0	500
5658701	565870	565870	226000	1	1	1	0	0	0	4	720	742	814	835	1	4	4255	801	23330	699	3	1	22.3	0.9792	8.16	1	1	0	0	0	0	500
5658711	565871	565871	226000	2	1	1	0	0	1	1	345	454	993	1004	1	2	4255	801	23689	777	3	1	12.435	0.4116	3.43	2	1	0	0	0	0	500
5658712	565871	565871	226000	2	1	2	0	1	0	6	838	858	904	927	2	4	23689	777	21345	109	3	1	22.015	0.906	7.55	1	1	0	0	0	0	500
1965481	196548	196548	75500	1	1	1	0	0	0	1	180	181	616	633	1	2	1869	2214	1518	2243	4	1	16.385	0.9708	8.09	1	1	0	0	0	0	500
1965491	196549	196549	75500	2	1	1	0	0	0	1	379	560	1081	1133	1	2	1869	2214	23444	242	3	1	46.56	2.7468	22.89	3	1	0	0	0	0	500
1965501	196550	196550	75500	3	1	1	0	0	1	1	295	322	1111	1203	1	2	1869	2214	26695	125	3	1	37.975	2.3304	19.42	1	2	0	0	0	0	500
1965502	196550	196550	75500	3	1	2	0	1	0	1	592	610	624	656	2	4	26695	125	28918	995	3	1	19.06	0.6936	5.78	1	2	0	0	0	0	500
3837231	383723	383723	151000	1	1	1	0	0	0	5	732	844	942	1089	1	4	5945	581	9869	1152	3	1	7.48432735690236	0.260196909090909	2.16830757575758	3	2	0	0	0	0	500
3837232	383723	383723	151000	1	1	2	0	0	0	7	1145	1156	1311	1322	1	4	5945	581	5911	571	3	1	11.13	0.6036	5.03	1	1	0	0	0	0	500
3837241	383724	383724	151000	2	1	1	0	0	0	6	734	754	838	968	1	4	5945	581	21825	1040	3	1	21.525	1.0476	8.73	1	2	0	0	0	0	500
7533641	753364	753364	301000	1	1	1	0	0	0	1	392	408	919	1081	1	2	20683	1748	26343	1866	3	1	15.615	0.9252	7.71	1	2	0	0	0	0	500
5670561	567056	567056	226500	1	1	1	0	0	0	6	956	973	1031	1108	1	4	4264	800	27808	91	4	1	18.425	0.7764	6.47	1	2	0	0	0	0	500
27081	2708	2708	1000	1	1	1	0	0	0	1	522	559	1111	1162	1	2	38	2272	9459	543	3	1	44.745	2.151	17.925	1	1	0	0	0	0	500
27091	2709	2709	1000	2	1	1	0	0	0	1	405	433	1267	1292	1	2	38	2272	7922	2139	3	1	26.88	1.6968	14.14	1	1	0	0	0	0	500
27101	2710	2710	1000	3	1	1	0	0	0	2	433	437	1161	1165	1	3	38	2272	67	2274	4	1	4.09267993624259	0.135520439393939	1.12933699494949	1	1	0	0	0	0	500
3847631	384763	384763	151500	1	1	1	0	0	0	1	376	425	991	1136	1	2	5975	591	21811	926	4	1	21.035	0.9192	7.66	2	2	0	0	0	0	500
1979761	197976	197976	76000	1	1	1	0	0	0	1	527	550	1136	1160	1	2	1891	2095	10584	1585	3	1	24.27	1.5984	13.32	1	1	0	0	0	0	500
1979772	197977	197977	76000	2	1	2	0	0	0	7	601	612	827	993	1	4	1891	2095	1873	2214	4	1	11.19	0.7224	6.02	1	2	0	0	0	0	500
1979771	197977	197977	76000	2	1	1	0	0	0	5	1134	1161	1166	1225	1	4	1891	2095	11203	1561	4	1	27.595	2.1792	18.16	1	3	0	0	0	0	500
11122801	1112280	1112280	450500	1	1	1	0	0	1	1	479	512	1041	1138	1	2	24199	24	4837	161	4	1	31.025	0.9678	8.065	1	3	0	0	0	0	500
11122802	1112280	1112280	450500	1	1	2	0	1	0	4	636	643	676	683	2	4	4837	161	22511	216	3	1	7.57327561327561	0.17769696969697	1.48080808080808	1	1	0	0	0	0	500
11122821	1112282	1112282	450500	3	1	1	0	0	0	2	478	485	916	958	1	3	24199	24	27884	56	5	1	7.66832506887052	0.268315151515152	2.2359595959596	1	2	0	0	0	0	500
11122831	1112283	1112283	450500	4	1	1	0	0	0	2	509	519	823	1103	1	3	24199	24	10402	1	8	0	9.72070611028316	0.216607515151515	1.80506262626263	1	3	0	0	0	0	500
5681511	568151	568151	227000	1	1	1	0	0	0	7	613	637	912	943	1	4	4282	836	26576	711	5	1	28.075	1.2588	10.49	1	1	0	0	0	0	500
11132551	1113255	1113255	451000	1	1	1	0	0	0	6	1053	1069	1083	1101	1	4	24205	21	24898	882	4	1	17.435	0.6498	5.415	1	1	0	0	0	0	500
13147291	1314729	1314729	526500	1	1	1	0	0	0	1	522	553	999	1026	1	2	19043	2503	15795	2601	3	1	29.155	1.71	14.25	1	1	0	0	0	0	500
13147303	1314730	1314730	526500	2	1	3	0	0	0	6	754	763	833	842	1	4	19043	2503	17178	2482	3	1	9.775	0.4032	3.36	1	1	0	0	0	0	500
13147301	1314730	1314730	526500	2	1	1	0	0	0	1	891	918	1053	1081	1	4	19043	2503	17777	2499	3	1	11.77	0.3756	3.13	2	2	0	0	0	0	500
13147302	1314730	1314730	526500	2	1	2	0	0	0	2	1251	1256	1363	1369	1	3	19043	2503	19034	2404	3	1	5.76426282051282	0.204369318181818	1.70307765151515	1	1	0	0	0	0	500
3872642	387264	387264	152500	1	1	2	0	0	0	7	464	478	585	664	1	4	6014	1174	5962	576	3	1	13.425	0.5568	4.64	1	3	0	0	0	0	500
3872641	387264	387264	152500	1	1	1	0	0	0	4	761	780	791	805	1	4	6014	1174	27113	1116	3	1	14.555	0.6684	5.57	2	1	0	0	0	0	500
3872643	387264	387264	152500	1	1	3	0	0	0	7	1057	1074	1122	1163	1	4	6014	1174	22581	221	3	1	20.64	0.804	6.7	1	2	0	0	0	0	500
11142081	1114208	1114208	451500	1	1	1	0	0	0	7	560	573	674	722	1	4	24216	26	19104	2374	4	1	14.18	0.5712	4.76	1	2	0	0	0	0	500
5690612	569061	569061	227500	1	1	2	0	0	0	4	385	421	524	560	1	4	4291	768	25265	825	1	1	8.08789185032139	0.221264606060606	1.84387171717172	1	1	0	0	0	0	500
5690611	569061	569061	227500	1	1	1	0	0	0	3	564	574	636	646	1	4	4291	768	9177	736	4	1	10.68	0.4092	3.41	1	1	0	0	0	0	500
7547721	754772	754772	301500	1	1	1	0	0	0	1	511	516	867	872	1	2	20746	1767	20748	1767	3	1	5.37817028985507	0.269886363636364	2.24905303030303	1	1	0	0	0	0	500
7547732	754773	754773	301500	2	1	2	0	0	0	5	703	711	718	726	1	4	20746	1767	31397	1674	4	1	8.46	0.3612	3.01	1	1	0	0	0	0	500
7547731	754773	754773	301500	2	1	1	0	0	0	1	802	842	1062	1114	1	2	20746	1767	19118	2376	3	1	46.855	2.3448	19.54	1	1	0	0	0	0	500
7547741	754774	754774	301500	3	1	1	0	0	0	2	347	426	958	967	1	3	20746	1767	32063	1653	5	1	9.815	0.5064	4.22	3	1	0	0	0	0	500
7547751	754775	754775	301500	4	1	1	0	0	0	7	490	503	770	1132	1	4	20746	1767	30191	1657	4	1	12.85	0.576	4.8	1	4	0	0	0	0	500
11154281	1115428	1115428	452000	1	1	1	0	0	0	1	437	464	663	695	1	2	24259	1049	20415	2396	3	1	30.02	1.6914	14.095	1	1	0	0	0	0	500
1994521	199452	199452	76500	1	1	1	0	0	0	1	429	505	1029	1097	1	2	1920	2097	27596	202	3	1	72.62	3.2706	27.255	1	1	0	0	0	0	500
1994531	199453	199453	76500	2	1	1	0	0	0	7	716	739	741	763	1	4	1920	2097	518	2179	3	1	23.04	1.5576	12.98	1	1	0	0	0	0	500
1994541	199454	199454	76500	3	1	1	0	0	0	1	385	393	923	931	1	2	1920	2097	8091	1486	3	1	8.405	0.372	3.1	1	1	0	0	0	0	500
5709811	570981	570981	228500	1	1	1	0	0	0	1	385	428	968	1007	1	2	4312	760	5777	1636	3	1	41.24	1.6788	13.99	1	1	0	0	0	0	500
40811	4081	4081	1500	1	1	1	0	0	0	1	540	549	885	926	1	2	60	2270	213	2283	3	1	9.515	0.4776	3.98	1	2	0	0	0	0	500
40812	4081	4081	1500	1	1	2	0	0	0	7	1213	1226	1395	1408	1	4	60	2270	1092	2229	3	1	13.225	0.6888	5.74	1	1	0	0	0	0	500
40821	4082	4082	1500	2	1	1	0	0	0	1	367	421	1070	1116	1	2	60	2270	4653	364	3	1	50.695	1.7184	14.32	1	1	0	0	0	0	500
40831	4083	4083	1500	3	1	1	0	0	0	2	427	428	891	892	1	3	60	2270	55	2270	5	1	1.35321153343783	0.0605681818181818	0.504734848484849	1	1	0	0	0	0	500
40841	4084	4084	1500	4	1	1	0	0	0	2	499	503	1008	1014	1	3	60	2270	13	2271	4	1	4.6752814229249	0.166859181818182	1.39049318181818	1	1	0	0	0	0	500
9502751	950275	950275	376500	1	1	1	0	0	0	1	285	296	726	738	1	2	32073	1653	20768	1764	3	1	11.845	0.756	6.3	1	1	0	0	0	0	500
9502752	950275	950275	376500	1	1	2	0	0	0	5	802	811	1071	1081	1	4	32073	1653	30047	2009	4	1	10.305	0.4968	4.14	1	1	0	0	0	0	500
9502761	950276	950276	376500	2	1	1	0	0	0	3	706	711	712	801	1	4	32073	1653	32060	1653	4	1	5.2421229338843	0.280795454545455	2.33996212121212	1	3	0	0	0	0	500
9502762	950276	950276	376500	2	1	2	0	0	0	3	851	860	891	900	1	4	32073	1653	30043	2013	4	1	9.805	0.5244	4.37	1	1	0	0	0	0	500
9502764	950276	950276	376500	2	1	4	0	0	0	5	899	937	1000	1010	1	4	32073	1653	30055	2009	3	1	10.27	0.4968	4.14	2	1	0	0	0	0	500
9502763	950276	950276	376500	2	1	3	0	0	0	3	902	909	919	924	1	4	32073	1653	30148	1651	5	1	7.18634406565657	0.271822636363636	2.26518863636364	1	1	0	0	0	0	500
7561781	756178	756178	302000	1	1	1	0	0	0	1	633	671	1153	1164	1	2	20775	1763	21604	1667	3	1	12.06	0.6576	5.48	2	1	0	0	0	0	500
3884452	388445	388445	153000	1	1	2	0	0	0	7	610	792	952	974	1	4	6019	1174	22471	203	6	3	20.445	0.8196	6.83	3	1	0	0	0	0	500
3884451	388445	388445	153000	1	1	1	0	0	0	5	996	1007	1032	1042	1	4	6019	1174	26486	1159	3	1	10.905	0.4836	4.03	1	1	0	0	0	0	500
3884462	388446	388446	153000	2	1	2	0	0	0	4	427	453	537	561	1	4	6019	1174	28753	517	3	1	25.65	1.0128	8.44	1	1	0	0	0	0	500
3884461	388446	388446	153000	2	1	1	0	0	0	4	978	994	1078	1168	1	4	6019	1174	23170	969	3	1	18.03	0.6636	5.53	1	4	0	0	0	0	500
11180481	1118048	1118048	453000	1	1	1	0	0	0	1	479	515	1226	1247	1	2	24317	59	17381	2487	3	1	28.73	1.6296	13.58	1	1	0	0	0	0	500
11180491	1118049	1118049	453000	2	1	1	0	0	0	4	1038	1046	1215	1287	1	4	24317	59	27891	781	4	1	8.033449759976	0.242202515151515	2.01835429292929	1	2	0	0	0	0	500
2020731	202073	202073	77500	2	1	1	0	0	0	1	381	424	822	1075	1	2	1980	2055	29111	1531	3	1	40.94	2.9496	24.58	1	2	0	0	0	0	500
2020732	202073	202073	77500	2	1	2	0	0	0	1	1123	1160	171	179	1	2	1980	2055	29111	1531	3	1	37.37	2.9496	24.58	1	1	0	0	0	0	500
5720811	572081	572081	229000	1	1	1	0	0	0	7	741	766	1233	1334	1	4	4396	358	5082	139	5	1	23.25	1.4616	12.18	1	2	0	0	0	0	500
5720831	572083	572083	229000	3	1	1	0	0	0	2	429	466	1034	1044	1	3	4396	358	5483	383	4	1	11.165	0.3864	3.22	2	1	0	0	0	0	500
3895371	389537	389537	153500	1	1	1	0	0	0	5	683	688	696	701	1	4	6022	1139	5956	581	3	1	5.74233555426055	0.155641681818182	1.29701401515152	1	1	0	0	0	0	500
3895382	389538	389538	153500	2	1	2	0	0	0	5	474	494	529	543	1	4	6022	1139	22600	191	4	1	17.08	0.6288	5.24	1	1	0	0	0	0	500
3895381	389538	389538	153500	2	1	1	0	0	0	4	586	613	641	657	1	4	6022	1139	9340	156	4	1	15.52	0.6798	5.665	2	1	0	0	0	0	500
54441	5444	5444	2000	1	1	1	0	0	0	1	355	431	811	891	1	2	82	2268	27402	957	4	1	62.19	2.472	20.6	1	2	0	0	0	0	500
54442	5444	5444	2000	1	1	2	0	0	0	7	953	984	1112	1143	1	4	82	2268	105	2288	1	1	6.71878202160494	0.1907875	1.58989583333333	1	1	0	0	0	0	500
54452	5445	5445	2000	2	1	2	0	0	0	7	478	538	676	712	1	4	82	2268	28010	479	3	1	48.215	1.7736	14.78	1	1	0	0	0	0	500
