id	tour_id	hhno	pno	day	tour	half	tseg	tsvid	opurp	dpurp	oadtyp	dadtyp	opcl	otaz	dpcl	dtaz	mode	pathtype	dorp	deptm	arrtm	endacttm	travtime	travcost	travdist	vot	trexpfac
564630101	5646301	225500	1	1	1	1	1	0	0	1	1	2	4242	811	25064	879	3	1	1	423	460	1036	37.22	0.8004	6.67	8.43628599443436	500
564630151	5646301	225500	1	1	1	2	1	0	1	0	2	1	25064	879	4242	811	3	1	1	1036	1066	179	30.02	0.8004	6.67	8.43628599443436	500
382578101	3825781	150500	2	1	1	1	1	0	0	1	1	4	5933	587	19415	2547	3	1	1	408	446	983	38.69	2.586	21.55	26.2121259911644	500
382578151	3825781	150500	2	1	1	2	1	0	1	1	4	4	19415	2547	24997	904	3	1	1	983	1020	1153	37.62	2.0508	17.09	26.2121259911644	500
382578152	3825781	150500	2	1	1	2	2	0	1	0	4	1	24997	904	5933	587	3	1	1	1153	1172	179	19.13	1.1376	9.48	26.2121259911644	500
1329101	13291	500	1	1	1	1	1	0	0	4	1	4	22	2273	129	2286	3	1	1	491	502	526	11.72	0.5256	4.38	3.99495347618154	500
1329151	13291	500	1	1	1	2	1	0	4	0	4	1	129	2286	22	2273	3	1	1	526	536	760	10.91	0.5256	4.38	3.99495347618154	500
1329201	13292	500	1	1	2	1	1	0	0	4	1	4	22	2273	28547	1126	3	1	1	760	813	898	53.82	2.9976	24.98	4.03428615005492	500
1329251	13292	500	1	1	2	2	1	0	4	0	4	1	28547	1126	22	2273	3	1	1	898	950	179	52.73	2.9976	24.98	4.03428615005492	500
947692203	9476922	375500	1	1	2	1	1	0	0	7	1	4	32024	1925	31984	1967	1	1	0	617	636	720	19.9801136363636	0	0.999005681818182	4.66871332679186	500
947692202	9476922	375500	1	1	2	1	2	0	7	4	4	4	31984	1967	31895	1918	1	1	0	720	726	809	6.93308080808081	0	0.34665404040404	4.66871332679186	500
947692201	9476922	375500	1	1	2	1	3	0	4	7	4	4	31895	1918	31739	1911	1	1	0	809	842	943	33.1241060606061	0	1.6562053030303	4.66871332679186	500
947692251	9476922	375500	1	1	2	2	1	0	7	4	4	4	31739	1911	31368	1981	1	1	0	943	958	973	15.7811237373737	0	0.789056186868687	4.66871332679186	500
947692252	9476922	375500	1	1	2	2	2	0	4	0	4	1	31368	1981	32024	1925	1	1	0	973	987	1022	14.3179393939394	0	0.71589696969697	4.66871332679186	500
947692102	9476921	375500	1	1	1	1	1	0	0	5	1	4	32024	1925	26376	1966	3	1	1	1022	1028	1127	6.48442266785502	0.196135090909091	1.63445909090909	3.37763328733911	500
947692101	9476921	375500	1	1	1	1	2	0	5	4	4	4	26376	1966	32167	1963	3	1	1	1127	1134	1163	7.31802194133852	0.235943121212121	1.96619267676768	3.37763328733911	500
947692151	9476921	375500	1	1	1	2	1	0	4	0	4	1	32167	1963	32024	1925	3	1	1	1163	1169	179	6.59728536295794	0.187759909090909	1.56466590909091	3.37763328733911	500
751893101	7518931	300500	1	1	1	1	1	0	0	2	1	3	20638	1736	31739	1911	3	1	1	751	770	928	19.99	1.0764	8.97	7.43496088927947	500
751893151	7518931	300500	1	1	1	2	1	0	2	0	3	1	31739	1911	20638	1736	3	1	1	928	949	1243	21.63	1.0764	8.97	7.43496088927947	500
751893201	7518932	300500	1	1	2	1	1	0	0	4	1	4	20638	1736	30525	1947	3	1	1	1243	1258	1379	15.8	1.0092	8.41	8.12303553133939	500
751893251	7518932	300500	1	1	2	2	1	0	4	0	4	1	30525	1947	20638	1736	3	1	1	1379	1394	179	15.95	1.0308	8.59	8.12303553133939	500
751894101	7518941	300500	2	1	1	1	1	0	0	1	1	2	20638	1736	30886	1893	3	1	1	419	445	1015	26.63	1.3848	11.54	12.0842317931248	500
751894151	7518941	300500	2	1	1	2	1	0	1	0	2	1	30886	1893	20638	1736	3	1	1	1015	1040	179	25.7	1.3848	11.54	12.0842317931248	500
751895102	7518951	300500	3	1	1	1	1	0	0	4	1	4	20638	1736	26084	1837	5	1	2	534	545	618	11.98	0.7848	6.54	15.8884065918553	500
751895101	7518951	300500	3	1	1	1	2	0	4	7	4	4	26084	1837	31739	1911	4	1	2	618	634	694	16.06	0.72	6	11.9641615902525	500
751895151	7518951	300500	3	1	1	2	1	0	7	0	4	1	31739	1911	20638	1736	5	1	2	694	713	179	19.52	1.0764	8.97	15.8884065918553	500
1313869101	13138691	526000	1	1	1	1	1	0	0	1	1	2	19033	2391	8528	726	4	1	1	369	438	1055	69.7	3.0612	25.51	29.0433317180564	500
1313869151	13138691	526000	1	1	1	2	1	0	1	0	2	1	8528	726	19033	2391	4	1	1	1055	1113	1290	58.26	3.102	25.85	29.0433317180564	500
1313869201	13138692	526000	1	1	2	1	1	0	0	7	1	4	19033	2391	20406	2356	5	1	2	1290	1298	1325	8.23679010914514	0.357460696969697	2.97883914141414	18.3583895144551	500
1313869251	13138692	526000	1	1	2	2	1	0	7	0	4	1	20406	2356	19033	2391	5	1	2	1325	1333	179	8.11901465663345	0.357556606060606	2.97963838383838	18.3583895144551	500
1313872202	13138722	526000	4	1	2	1	1	0	0	7	1	4	19033	2391	20271	2397	4	1	2	728	734	754	6.02861230359147	0.205607409090909	1.71339507575758	11.6149107360347	500
1313872201	13138722	526000	4	1	2	1	2	0	7	6	4	4	20271	2397	19034	2404	4	1	2	754	760	842	6.01775757575758	0.145590909090909	1.21325757575758	11.6149107360347	500
1313872251	13138722	526000	4	1	2	2	1	0	6	0	4	1	19034	2404	19033	2391	4	1	2	842	849	943	7.16428916477551	0.252791757575758	2.10659797979798	11.6149107360347	500
1313872102	13138721	526000	4	1	1	1	1	0	0	5	1	4	19033	2391	4239	811	5	1	2	943	996	1114	53.19	2.2152	18.46	14.1093708710347	500
1313872101	13138721	526000	4	1	1	1	2	0	5	5	4	4	4239	811	20358	2399	4	1	2	1114	1144	1255	30.75	2.1612	18.01	10.6245262583093	500
1313872151	13138721	526000	4	1	1	2	1	0	5	4	4	4	20358	2399	20413	2396	5	1	2	1255	1261	1334	6.13494609187109	0.226613318181818	1.88844431818182	14.1093708710347	500
