id	hhno	pno	pptyp	pagey	pgend	pwtyp	pwpcl	pwtaz	pwautime	pwaudist	pstyp	pspcl	pstaz	psautime	psaudist	puwmode	puwarrp	puwdepp	ptpass	ppaidprk	pdiary	pproxy	psexpfac
564630	225500	1	1	30	1	1	25064	879	33.62	6.67	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	500
382577	150500	1	4	64	1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	500
382578	150500	2	1	60	2	1	4925	160	16.705	6	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	500
1329	500	1	3	73	1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	500
947692	375500	1	3	81	2	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	500
751893	300500	1	5	30	2	2	31775	1920	21.24	8.39	1	31739	1911	22.16	8.97	-1	-1	-1	0	0	-1	-1	500
751894	300500	2	1	32	1	1	30886	1893	26.165	11.54	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	500
751895	300500	3	8	2	2	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	500
1313869	526000	1	1	41	1	1	8528	726	63.98	25.68	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	500
1313870	526000	2	4	37	2	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	500
1313871	526000	3	7	9	2	0	-1	-1	-1	-1	1	18770	2530	15.56	6.41	-1	-1	-1	0	1	-1	-1	500
1313872	526000	4	8	3	1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	500
948863	376000	1	5	31	1	0	-1	-1	-1	-1	1	23334	752	76.33	26.68	-1	-1	-1	0	1	-1	-1	500
565870	226000	1	4	63	1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	500
565871	226000	2	2	54	2	2	23689	777	12.435	3.43	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	500
