id	hhno	day	dow	jttours	phtours	fhtours	hdexpfac
225500	225500	1	0	0	0	0	500
150500	150500	1	0	0	0	0	500
500	500	1	0	0	0	0	500
375500	375500	1	0	0	0	0	500
300500	300500	1	0	0	0	0	500
526000	526000	1	0	0	0	0	500
376000	376000	1	0	0	0	0	500
226000	226000	1	0	0	0	0	500
75500	75500	1	0	0	0	0	500
151000	151000	1	0	0	0	0	500
301000	301000	1	0	0	0	0	500
226500	226500	1	0	0	0	0	500
1000	1000	1	0	0	0	0	500
151500	151500	1	0	0	0	0	500
152000	152000	1	0	0	0	0	500
76000	76000	1	0	0	0	0	500
450500	450500	1	0	0	0	0	500
227000	227000	1	0	0	0	0	500
451000	451000	1	0	0	0	0	500
526500	526500	1	0	0	0	0	500
152500	152500	1	0	0	0	0	500
527000	527000	1	0	0	0	0	500
451500	451500	1	0	0	0	0	500
227500	227500	1	0	0	0	0	500
228000	228000	1	0	0	0	0	500
301500	301500	1	0	0	0	0	500
452000	452000	1	0	0	0	0	500
76500	76500	1	0	0	0	0	500
452500	452500	1	0	0	0	0	500
77000	77000	1	0	0	0	0	500
228500	228500	1	0	0	0	0	500
1500	1500	1	0	0	0	0	500
376500	376500	1	0	0	0	0	500
302000	302000	1	0	0	0	0	500
153000	153000	1	0	0	0	0	500
453000	453000	1	0	0	0	0	500
77500	77500	1	0	0	0	0	500
229000	229000	1	0	0	0	0	500
153500	153500	1	0	0	0	0	500
2000	2000	1	0	0	0	0	500
453500	453500	1	0	0	0	0	500
78000	78000	1	0	0	0	0	500
78500	78500	1	0	0	0	0	500
377000	377000	1	0	0	0	0	500
2500	2500	1	0	0	0	0	500
454000	454000	1	0	0	0	0	500
302500	302500	1	0	0	0	0	500
3000	3000	1	0	0	0	0	500
229500	229500	1	0	0	0	0	500
527500	527500	1	0	0	0	0	500
79000	79000	1	0	0	0	0	500
528000	528000	1	0	0	0	0	500
303000	303000	1	0	0	0	0	500
230000	230000	1	0	0	0	0	500
154000	154000	1	0	0	0	0	500
230500	230500	1	0	0	0	0	500
528500	528500	1	0	0	0	0	500
377500	377500	1	0	0	0	0	500
3500	3500	1	0	0	0	0	500
231000	231000	1	0	0	0	0	500
529000	529000	1	0	0	0	0	500
529500	529500	1	0	0	0	0	500
303500	303500	1	0	0	0	0	500
4000	4000	1	0	0	0	0	500
154500	154500	1	0	0	0	0	500
454500	454500	1	0	0	0	0	500
79500	79500	1	0	0	0	0	500
530000	530000	1	0	0	0	0	500
378000	378000	1	0	0	0	0	500
4500	4500	1	0	0	0	0	500
530500	530500	1	0	0	0	0	500
155000	155000	1	0	0	0	0	500
5000	5000	1	0	0	0	0	500
378500	378500	1	0	0	0	0	500
80000	80000	1	0	0	0	0	500
455000	455000	1	0	0	0	0	500
155500	155500	1	0	0	0	0	500
304000	304000	1	0	0	0	0	500
379000	379000	1	0	0	0	0	500
379500	379500	1	0	0	0	0	500
531000	531000	1	0	0	0	0	500
5500	5500	1	0	0	0	0	500
80500	80500	1	0	0	0	0	500
380000	380000	1	0	0	0	0	500
231500	231500	1	0	0	0	0	500
455500	455500	1	0	0	0	0	500
456000	456000	1	0	0	0	0	500
156000	156000	1	0	0	0	0	500
380500	380500	1	0	0	0	0	500
381000	381000	1	0	0	0	0	500
232000	232000	1	0	0	0	0	500
232500	232500	1	0	0	0	0	500
81000	81000	1	0	0	0	0	500
381500	381500	1	0	0	0	0	500
304500	304500	1	0	0	0	0	500
233000	233000	1	0	0	0	0	500
531500	531500	1	0	0	0	0	500
156500	156500	1	0	0	0	0	500
6000	6000	1	0	0	0	0	500
157000	157000	1	0	0	0	0	500
157500	157500	1	0	0	0	0	500
6500	6500	1	0	0	0	0	500
81500	81500	1	0	0	0	0	500
456500	456500	1	0	0	0	0	500
233500	233500	1	0	0	0	0	500
82000	82000	1	0	0	0	0	500
234000	234000	1	0	0	0	0	500
158000	158000	1	0	0	0	0	500
457000	457000	1	0	0	0	0	500
305000	305000	1	0	0	0	0	500
7000	7000	1	0	0	0	0	500
305500	305500	1	0	0	0	0	500
532000	532000	1	0	0	0	0	500
306000	306000	1	0	0	0	0	500
234500	234500	1	0	0	0	0	500
158500	158500	1	0	0	0	0	500
