ZONE	CHILD/SHO	CHILD/LON	CHILD/NAV	NOCAR/SHO	NOCAR/LON	NOCAR/NAV	CCOMP/SHO	CCOMP/LON	CCOMP/NAV	CFULL/SHO	CFULL/LON	CFULL/NAV
  13	 11.65100	 11.65100	 11.65100	 11.65100	 11.65100	 11.65100	 11.65100	 11.65100	 11.65100	  8.67213	  7.59483	 13.40279	  8.67213	  7.59483	 13.40279	  8.67213	  7.59483	 13.40279	  9.28541	  8.77856	 10.80875	  9.28541	  8.77856	 10.80875	  9.28541	  8.77856	 10.80875	  7.85237	  7.85237	  9.31274  7.85237	  7.85237	  9.31274  7.85237	  7.85237	  9.31274
  14	 11.43822	 11.43822	 11.43822	 11.43822	 11.43822	 11.43822	 11.43822	 11.43822	 11.43822	  8.39868	  7.21784	 13.29116	  8.39868	  7.21784	 13.29116	  8.39868	  7.21784	 13.29116	  9.10878	  8.56568	 10.70733	  9.10878	  8.56568	 10.70733	  9.10878	  8.56568	 10.70733	  7.60690	  7.60690	  9.16943  7.60690	  7.60690	  9.16943  7.60690	  7.60690	  9.16943
  15	 11.48035	 11.48035	 11.48035	 11.48035	 11.48035	 11.48035	 11.48035	 11.48035	 11.48035	  8.55783	  7.50085	 13.10170	  8.55783	  7.50085	 13.10170	  8.55783	  7.50085	 13.10170	  9.10990	  8.60619	 10.64303	  9.10990	  8.60619	 10.64303	  9.10990	  8.60619	 10.64303	  7.68244	  7.68244	  9.15936  7.68244	  7.68244	  9.15936  7.68244	  7.68244	  9.15936
  16	 11.34852	 11.34852	 11.34851	 11.34852	 11.34852	 11.34851	 11.34852	 11.34852	 11.34851	  8.35479	  7.10047	 13.01291	  8.35479	  7.10047	 13.01291	  8.35479	  7.10047	 13.01291	  8.99631	  8.44421	 10.60642	  8.99631	  8.44421	 10.60642	  8.99631	  8.44421	 10.60642	  7.45331	  7.45331	  9.06749  7.45331	  7.45331	  9.06749  7.45331	  7.45331	  9.06749
  17	 11.29216	 11.29216	 11.29216	 11.29216	 11.29216	 11.29216	 11.29216	 11.29216	 11.29216	  8.24435	  7.05372	 13.07146	  8.24435	  7.05372	 13.07146	  8.24435	  7.05372	 13.07146	  8.95800	  8.42440	 10.56949	  8.95800	  8.42440	 10.56949	  8.95800	  8.42440	 10.56949	  7.49804	  7.49804	  9.03633  7.49804	  7.49804	  9.03633  7.49804	  7.49804	  9.03633
  18	 11.28412	 11.28412	 11.28412	 11.28412	 11.28412	 11.28412	 11.28412	 11.28412	 11.28412	  8.31704	  7.09423	 12.93842	  8.31704	  7.09423	 12.93842	  8.31704	  7.09423	 12.93842	  8.91351	  8.37061	 10.51614	  8.91351	  8.37061	 10.51614	  8.91351	  8.37061	 10.51614	  7.39352	  7.39352	  8.99527  7.39352	  7.39352	  8.99527  7.39352	  7.39352	  8.99527
  19	 11.08418	 11.08418	 11.08418	 11.08418	 11.08418	 11.08418	 11.08418	 11.08418	 11.08418	  7.93801	  6.60653	 13.00120	  7.93801	  6.60653	 13.00120	  7.93801	  6.60653	 13.00120	  8.76188	  8.18517	 10.44674	  8.76188	  8.18517	 10.44674	  8.76188	  8.18517	 10.44674	  7.21169	  7.21169	  8.88404  7.21169	  7.21169	  8.88404  7.21169	  7.21169	  8.88404
  20	 10.87165	 10.87165	 10.87165	 10.87165	 10.87165	 10.87165	 10.87165	 10.87165	 10.87165	  7.68191	  6.35499	 12.90898	  7.68191	  6.35499	 12.90898	  7.68191	  6.35499	 12.90898	  8.56774	  7.97799	 10.29915	  8.56774	  7.97799	 10.29915	  8.56774	  7.97799	 10.29915	  7.01462	  7.01462	  8.72762  7.01462	  7.01462	  8.72762  7.01462	  7.01462	  8.72762
  21	 11.92610	 11.92610	 11.92594	 11.92610	 11.92610	 11.92594	 11.92610	 11.92610	 11.92594	  8.92514	  7.78716	 13.75449	  8.92514	  7.78716	 13.75449	  8.92514	  7.78716	 13.75449	  9.63255	  9.11322	 11.13199	  9.63255	  9.11322	 11.13199	  9.63255	  9.11322	 11.13199	  8.14496	  8.14496	  9.58353  8.14496	  8.14496	  9.58353  8.14496	  8.14496	  9.58353
  22	 11.99528	 11.99528	 11.99521	 11.99528	 11.99528	 11.99521	 11.99528	 11.99528	 11.99521	  8.98651	  7.81454	 13.97435	  8.98651	  7.81454	 13.97435	  8.98651	  7.81454	 13.97435	  9.69817	  9.17611	 11.18246	  9.69817	  9.17611	 11.18246	  9.69817	  9.17611	 11.18246	  8.19036	  8.19036	  9.64124  8.19036	  8.19036	  9.64124  8.19036	  8.19036	  9.64124
  23	 11.95330	 11.95330	 11.95310	 11.95330	 11.95330	 11.95310	 11.95330	 11.95330	 11.95310	  8.97501	  7.82118	 13.71142	  8.97501	  7.82118	 13.71142	  8.97501	  7.82118	 13.71142	  9.69744	  9.15698	 11.20793	  9.69744	  9.15698	 11.20793	  9.69744	  9.15698	 11.20793	  8.11030	  8.11030	  9.61791  8.11030	  8.11030	  9.61791  8.11030	  8.11030	  9.61791
  24	 11.87503	 11.87503	 11.87486	 11.87503	 11.87503	 11.87486	 11.87503	 11.87503	 11.87486	  8.84820	  7.67926	 13.77052	  8.84820	  7.67926	 13.77052	  8.84820	  7.67926	 13.77052	  9.59869	  9.06831	 11.11859	  9.59869	  9.06831	 11.11859	  9.59869	  9.06831	 11.11859	  8.09036	  8.09036	  9.55410  8.09036	  8.09036	  9.55410  8.09036	  8.09036	  9.55410
  25	 12.01934	 12.01934	 12.01931	 12.01934	 12.01934	 12.01931	 12.01934	 12.01934	 12.01931	  8.99602	  7.75205	 14.03004	  8.99602	  7.75205	 14.03004	  8.99602	  7.75205	 14.03004	  9.71998	  9.17655	 11.21163	  9.71998	  9.17655	 11.21163	  9.71998	  9.17655	 11.21163	  8.12444	  8.12444	  9.65698  8.12444	  8.12444	  9.65698  8.12444	  8.12444	  9.65698
  26	 11.92704	 11.92704	 11.92700	 11.92704	 11.92704	 11.92700	 11.92704	 11.92704	 11.92700	  8.88649	  7.64120	 13.91170	  8.88649	  7.64120	 13.91170	  8.88649	  7.64120	 13.91170	  9.64084	  9.09516	 11.15761	  9.64084	  9.09516	 11.15761	  9.64084	  9.09516	 11.15761	  8.06730	  8.06730	  9.59364  8.06730	  8.06730	  9.59364  8.06730	  8.06730	  9.59364
  27	 11.88537	 11.88537	 11.88527	 11.88537	 11.88537	 11.88527	 11.88537	 11.88537	 11.88527	  8.86356	  7.78316	 13.63195	  8.86356	  7.78316	 13.63195	  8.86356	  7.78316	 13.63195	  9.58353	  9.08042	 11.07843	  9.58353	  9.08042	 11.07843	  9.58353	  9.08042	 11.07843	  8.16503	  8.16503	  9.55139  8.16503	  8.16503	  9.55139  8.16503	  8.16503	  9.55139
  28	 11.79676	 11.79676	 11.79659	 11.79676	 11.79676	 11.79659	 11.79676	 11.79676	 11.79659	  8.84994	  7.69468	 13.49187	  8.84994	  7.69468	 13.49187	  8.84994	  7.69468	 13.49187	  9.51274	  8.97263	 11.05325	  9.51274	  8.97263	 11.05325	  9.51274	  8.97263	 11.05325	  7.96550	  7.96550	  9.48058  7.96550	  7.96550	  9.48058  7.96550	  7.96550	  9.48058
  29	 11.83564	 11.83564	 11.83554	 11.83564	 11.83564	 11.83554	 11.83564	 11.83564	 11.83554	  8.77623	  7.58947	 13.65009	  8.77623	  7.58947	 13.65009	  8.77623	  7.58947	 13.65009	  9.50832	  8.96899	 11.03904	  9.50832	  8.96899	 11.03904	  9.50832	  8.96899	 11.03904	  7.96964	  7.96964	  9.49427  7.96964	  7.96964	  9.49427  7.96964	  7.96964	  9.49427
  30	 11.64780	 11.64780	 11.64768	 11.64780	 11.64780	 11.64768	 11.64780	 11.64780	 11.64768	  8.69577	  7.55515	 13.38849	  8.69577	  7.55515	 13.38849	  8.69577	  7.55515	 13.38849	  9.36699	  8.82806	 10.93480	  9.36699	  8.82806	 10.93480	  9.36699	  8.82806	 10.93480	  7.84363	  7.84363	  9.36538  7.84363	  7.84363	  9.36538  7.84363	  7.84363	  9.36538
  31	 11.63459	 11.63459	 11.63447	 11.63459	 11.63459	 11.63447	 11.63459	 11.63459	 11.63447	  8.69674	  7.65649	 13.11189	  8.69674	  7.65649	 13.11189	  8.69674	  7.65649	 13.11189	  9.35590	  8.84755	 10.90145	  9.35590	  8.84755	 10.90145	  9.35590	  8.84755	 10.90145	  7.92115	  7.92115	  9.34563  7.92115	  7.92115	  9.34563  7.92115	  7.92115	  9.34563
  32	 11.75352	 11.75352	 11.75338	 11.75352	 11.75352	 11.75338	 11.75352	 11.75352	 11.75338	  8.86880	  7.78827	 13.40260	  8.86880	  7.78827	 13.40260	  8.86880	  7.78827	 13.40260	  9.47394	  8.95705	 11.00096	  9.47394	  8.95705	 11.00096	  9.47394	  8.95705	 11.00096	  7.99469	  7.99469	  9.44721  7.99469	  7.99469	  9.44721  7.99469	  7.99469	  9.44721
  33	 11.55808	 11.55808	 11.55800	 11.55808	 11.55808	 11.55800	 11.55808	 11.55808	 11.55800	  8.57249	  7.51991	 13.08667	  8.57249	  7.51991	 13.08667	  8.57249	  7.51991	 13.08667	  9.26361	  8.74379	 10.83077	  9.26361	  8.74379	 10.83077	  9.26361	  8.74379	 10.83077	  7.80176	  7.80176	  9.27742  7.80176	  7.80176	  9.27742  7.80176	  7.80176	  9.27742
  34	 11.63335	 11.63335	 11.63328	 11.63335	 11.63335	 11.63328	 11.63335	 11.63335	 11.63328	  8.70994	  7.67605	 13.17162	  8.70994	  7.67605	 13.17162	  8.70994	  7.67605	 13.17162	  9.34603	  8.83921	 10.88788	  9.34603	  8.83921	 10.88788	  9.34603	  8.83921	 10.88788	  7.90831	  7.90831	  9.33851  7.90831	  7.90831	  9.33851  7.90831	  7.90831	  9.33851
  35	 11.59180	 11.59180	 11.59171	 11.59180	 11.59180	 11.59171	 11.59180	 11.59180	 11.59171	  8.67676	  7.72219	 13.14459	  8.67676	  7.72219	 13.14459	  8.67676	  7.72219	 13.14459	  9.28768	  8.80608	 10.81070	  9.28768	  8.80608	 10.81070	  9.28768	  8.80608	 10.81070	  7.92630	  7.92630	  9.29353  7.92630	  7.92630	  9.29353  7.92630	  7.92630	  9.29353
  36	 11.43795	 11.43795	 11.43791	 11.43795	 11.43795	 11.43791	 11.43795	 11.43795	 11.43791	  8.35580	  7.06493	 13.16934	  8.35580	  7.06493	 13.16934	  8.35580	  7.06493	 13.16934	  9.18008	  8.59858	 10.82893	  9.18008	  8.59858	 10.82893	  9.18008	  8.59858	 10.82893	  7.57338	  7.57338	  9.21898  7.57338	  7.57338	  9.21898  7.57338	  7.57338	  9.21898
