hhno	fraction_with_jobs_outside	hhsize	hhvehs	hhwkrs	hhftw	hhptw	hhret	hhoad	hhuni	hhhsc	hh515	hhcu5	hhincome	hownrent	hrestype	hhparcel	zone_id	hhtaz	hhexpfac	samptype
459000	0	4	4	4	4	0	0	0	0	0	0	0	64474	2	3	24471	36	37	500	11
236500	0	3	1	2	1	0	0	0	0	1	1	0	48470	1	1	5792	864	865	500	11
10000	0.04	3	2	2	2	0	0	0	0	0	1	0	179829	1	1	2717	2726	2727	500	11
84500	0.197	5	1	1	1	0	0	0	0	2	2	0	12832	1	2	2535	2017	2018	500	11
161500	0.061	2	2	2	2	0	0	0	0	0	0	0	119645	1	1	9793	279	280	500	11
459500	0.058	1	1	1	1	0	0	0	0	0	0	0	36575	2	3	24479	70	71	500	11
460000	0.058	2	3	2	2	0	0	0	0	0	0	0	92701	2	3	24480	70	71	500	11
534000	0	2	2	2	2	0	0	0	0	0	0	0	49501	2	3	19588	2526	2527	500	11
237000	0	1	1	1	1	0	0	0	0	0	0	0	24057	2	3	8516	740	741	500	11
162000	0	1	2	1	1	0	0	0	0	0	0	0	61876	1	2	9809	593	594	500	11
10500	0.033	2	2	1	1	0	1	0	0	0	0	0	25875	2	1	2750	2611	2612	500	11
460500	0	1	2	1	1	0	0	0	0	0	0	0	74032	1	1	24503	1051	1052	500	11
534500	0	1	1	1	1	0	0	0	0	0	0	0	31587	2	3	19655	2540	2541	500	11
11000	0.04	2	2	1	1	0	0	1	0	0	0	0	93021	3	4	2791	2717	2718	500	11
384000	0	4	1	2	2	0	0	1	0	0	1	0	75589	2	3	9266	253	254	500	11
461000	0	1	0	1	1	0	0	0	0	0	0	0	86358	2	3	24522	1056	1057	500	11
11500	0.04	1	1	0	0	0	1	0	0	0	0	0	35536	1	1	2797	2717	2718	500	11
535000	0	3	2	1	1	0	0	1	0	0	0	1	53461	1	1	19697	2509	2510	500	11
237500	0	2	2	2	2	0	0	0	0	0	0	0	69097	1	1	8522	725	726	500	11
384500	0	2	0	0	0	0	0	2	0	0	0	0	12931	2	1	9342	654	655	500	11
162500	0	2	3	2	1	0	0	0	1	0	0	0	30229	1	1	9831	589	590	500	11
461500	0.039	1	1	1	1	0	0	0	0	0	0	0	30229	2	3	24538	1062	1063	500	11
308000	0	5	1	2	2	0	0	0	0	2	1	0	96940	1	1	21104	1758	1759	500	11
12000	0	2	3	1	1	0	0	1	0	0	0	0	108284	1	1	2837	2653	2654	500	11
462000	0	2	1	0	0	0	1	1	0	0	0	0	9673	1	1	24548	1070	1071	500	11
12500	0.033	2	2	0	0	0	2	0	0	0	0	0	44654	1	1	2883	2610	2611	500	11
535500	0	3	4	1	1	0	0	1	0	0	0	1	113522	2	3	19714	2509	2510	500	11
308500	0	2	2	1	1	0	0	0	0	0	0	1	40305	1	1	21109	1752	1753	500	11
536000	0	1	0	0	0	0	1	0	0	0	0	0	9476	2	3	19765	2495	2496	500	11
536500	0	1	1	0	0	0	1	0	0	0	0	0	9476	2	3	19799	2501	2502	500	11
163000	0.042	2	2	1	1	0	1	0	0	0	0	0	79924	1	1	9855	1137	1138	500	11
13000	0	1	1	0	0	0	1	0	0	0	0	0	37795	1	1	2933	2650	2651	500	11
462500	0.039	2	4	1	1	0	0	0	1	0	0	0	20315	2	3	24582	1061	1062	500	11
537000	0	1	1	1	1	0	0	0	0	0	0	0	34053	2	3	19833	2518	2519	500	11
238000	0	2	2	2	1	0	0	0	1	0	0	0	33830	2	3	8530	756	757	500	11
85000	0.063	4	3	3	1	1	0	0	1	0	1	0	80191	1	1	6653	2265	2266	500	11
309000	0	2	2	2	2	0	0	0	0	0	0	0	130971	1	1	21132	1753	1754	500	11
85500	0.14	1	1	1	1	0	0	0	0	0	0	0	76994	1	1	6654	2251	2252	500	11
86000	0.14	1	1	1	1	0	0	0	0	0	0	0	29613	1	1	6666	2250	2251	500	11
163500	0.042	3	2	0	0	0	0	2	0	1	0	0	218755	1	4	9858	1137	1138	500	11
385000	0	4	2	2	2	0	0	0	0	0	0	2	282272	1	1	9430	553	554	500	11
537500	0	2	3	2	2	0	0	0	0	0	0	0	474795	1	1	19858	2519	2520	500	11
238500	0.089	3	2	2	2	0	0	0	0	0	0	1	96518	1	1	8566	819	820	500	11
13500	0	5	1	1	1	0	0	1	0	0	1	2	34259	1	1	2951	2652	2653	500	11
463000	0.039	4	4	3	3	0	0	1	0	0	0	0	21716	2	3	24586	1061	1062	500	11
538000	0	2	1	0	0	0	2	0	0	0	0	0	33787	3	1	19873	2524	2525	500	11
14000	0	2	2	0	0	0	2	0	0	0	0	0	10858	1	1	3003	2628	2629	500	11
86500	0.063	2	2	1	1	0	0	0	0	1	0	0	83903	2	3	6684	2266	2267	500	11
164000	0	1	1	1	1	0	0	0	0	0	0	0	132687	1	1	9876	1147	1148	500	11
309500	0	2	2	2	2	0	0	0	0	0	0	0	79122	1	1	21174	1665	1666	500	11
164500	0	2	2	1	1	0	1	0	0	0	0	0	393388	1	1	9903	1157	1158	500	11
310000	0	1	3	1	1	0	0	0	0	0	0	0	79955	1	1	21192	1754	1755	500	11
385500	0	3	3	2	1	1	1	0	0	0	0	0	63600	1	1	9452	544	545	500	11
165000	0.041	1	1	0	0	0	0	0	1	0	0	0	0	2	3	9912	1162	1163	500	11
14500	0	2	3	1	0	1	1	0	0	0	0	0	42366	1	1	3077	2643	2644	500	11
538500	0	2	4	2	2	0	0	0	0	0	0	0	65840	1	1	19891	2525	2526	500	11
463500	0	3	3	3	2	0	0	0	1	0	0	0	97455	1	1	24606	49	50	500	11
87000	0.111	3	2	2	2	0	0	0	0	0	0	1	61361	1	1	6700	2245	2246	500	11
310500	0	2	2	2	1	0	0	0	0	1	0	0	68603	2	3	21597	1662	1663	500	11
464000	0	1	1	1	1	0	0	0	0	0	0	0	33252	2	3	24614	61	62	500	11
464500	0	1	1	0	0	0	1	0	0	0	0	0	17780	1	2	24623	68	69	500	11
465000	0	2	2	0	0	0	0	2	0	0	0	0	310936	1	1	24634	67	68	500	11
165500	0	3	2	2	2	0	0	0	0	0	0	1	84553	2	3	9917	1190	1191	500	11
465500	0	1	1	0	0	0	1	0	0	0	0	0	171701	1	1	26898	1240	1241	500	11
386000	0	4	2	1	1	0	0	1	0	0	2	0	321757	1	1	9459	542	543	500	11
87500	0	2	2	1	1	0	0	1	0	0	0	0	108525	1	1	6719	2195	2196	500	11
239000	0	6	3	2	2	0	0	0	0	1	3	0	66291	1	1	9141	860	861	500	11
311000	0.081	3	2	2	2	0	0	0	0	0	0	1	68064	1	1	23553	1636	1637	500	11
311500	0.081	1	1	0	0	0	1	0	0	0	0	0	9623	3	1	23571	1641	1642	500	11
539000	0	4	2	2	2	0	0	1	0	0	1	0	112529	1	1	19920	2505	2506	500	11
386500	0	2	4	2	2	0	0	0	0	0	0	0	94893	1	1	9468	542	543	500	11
15000	0	3	3	2	1	1	0	0	1	0	0	0	29768	1	1	3109	2649	2650	500	11
166000	0	4	1	1	0	0	0	0	2	0	1	1	7960	2	3	9920	1190	1191	500	11
312000	0	1	1	1	0	1	0	0	0	0	0	0	17768	2	3	23594	1663	1664	500	11
387000	0	2	1	1	1	0	0	1	0	0	0	0	42248	2	3	9531	127	128	500	11
466000	0	4	2	1	1	0	0	1	0	1	1	0	258620	1	1	26935	1239	1240	500	11
166500	0	1	1	1	0	1	0	0	0	0	0	0	39297	1	1	9937	1181	1182	500	11
387500	0	1	0	1	1	0	0	0	0	0	0	0	42769	1	2	9548	128	129	500	11
312500	0	1	1	1	1	0	0	0	0	0	0	0	151144	1	1	25487	1843	1844	500	11
313000	0	1	1	1	1	0	0	0	0	0	0	0	67392	2	3	25518	1838	1839	500	11
88000	0	3	4	2	2	0	0	1	0	0	0	0	90023	1	1	6730	2223	2224	500	11
388000	0	1	1	1	1	0	0	0	0	0	0	0	53303	2	3	10444	125	126	500	11
88500	0	2	0	0	0	0	0	1	0	0	1	0	0	2	3	6781	2204	2205	500	11
15500	0	4	2	1	1	0	0	0	1	0	1	1	66302	1	1	3130	2644	2645	500	11
466500	0	3	2	1	1	0	0	0	0	0	2	0	106068	1	1	27005	1242	1243	500	11
313500	0	6	2	0	0	0	0	2	1	1	2	0	0	1	1	25535	1844	1845	500	11
239500	0	7	2	1	1	0	0	1	0	0	4	1	48264	1	1	9143	860	861	500	11
167000	0	3	2	2	2	0	0	0	0	0	0	1	98368	1	1	9955	1169	1170	500	11
388500	0	2	2	2	2	0	0	0	0	0	0	0	136966	1	3	21781	1022	1023	500	11
467000	0	2	2	1	0	1	1	0	0	0	0	0	123387	1	1	27087	1234	1235	500	11
240000	0	1	1	1	1	0	0	0	0	0	0	0	25400	1	2	9154	815	816	500	11
539500	0	6	3	4	4	0	0	0	0	0	0	2	332226	1	1	19946	2514	2515	500	11
314000	0.036	2	2	0	0	0	2	0	0	0	0	0	88896	1	1	25572	1682	1683	500	11
240500	0	1	0	0	0	0	1	0	0	0	0	0	9623	3	1	9177	735	736	500	11
16000	0	4	1	1	1	0	0	1	0	0	2	0	0	2	1	3142	2664	2665	500	11
314500	0	1	1	0	0	0	1	0	0	0	0	0	16386	1	1	25620	2009	2010	500	11
389000	0	1	1	1	1	0	0	0	0	0	0	0	47794	2	1	21874	1021	1022	500	11
89000	0	4	2	2	2	0	0	0	0	0	2	0	267203	1	1	6809	2190	2191	500	11
315000	0	2	1	0	0	0	0	0	1	1	0	0	15611	2	3	25651	1996	1997	500	11
540000	0.043	2	2	2	2	0	0	0	0	0	0	0	175316	1	3	20097	2356	2357	500	11
540500	0.043	2	3	1	1	0	0	1	0	0	0	0	202645	1	3	20102	2360	2361	500	11
467500	0	3	2	1	1	0	0	0	0	0	2	0	118452	1	1	27107	1114	1115	500	11
315500	0.036	3	1	1	1	0	0	0	1	0	0	1	19742	2	3	25659	1684	1685	500	11
89500	0	2	2	2	0	1	0	0	1	0	0	0	24989	2	2	6832	2193	2194	500	11
16500	0	2	3	2	2	0	0	0	0	0	0	0	78998	1	1	3188	2646	2647	500	11
167500	0	5	1	2	1	1	0	0	0	0	3	0	15794	1	1	10058	597	598	500	11
468000	0	2	2	1	0	1	1	0	0	0	0	0	57435	3	3	27113	1115	1116	500	11
389500	0.049	3	2	2	2	0	0	0	0	0	0	1	46351	2	1	22216	1010	1011	500	11
316000	0.036	2	1	0	0	0	0	0	2	0	0	0	14114	2	3	25673	1687	1688	500	11
17000	0	2	2	2	2	0	0	0	0	0	0	0	49184	2	3	3238	2692	2693	500	11
90000	0.111	3	1	0	0	0	0	1	0	0	2	0	0	2	1	6850	2244	2245	500	11
468500	0	1	1	1	1	0	0	0	0	0	0	0	117613	1	1	27127	1230	1231	500	11
541000	0.043	3	2	2	2	0	0	0	0	0	0	1	66039	2	3	20102	2360	2361	500	11
316500	0	3	3	0	0	0	1	2	0	0	0	0	50381	1	1	25747	1627	1628	500	11
168000	0	3	2	2	1	1	0	0	0	0	1	0	49172	1	1	10144	595	596	500	11
469000	0	1	1	1	1	0	0	0	0	0	0	0	126846	2	3	27244	940	941	500	11
168500	0	2	2	0	0	0	2	0	0	0	0	0	32410	1	1	10528	298	299	500	11
90500	0	2	3	2	2	0	0	0	0	0	0	0	104783	1	1	7014	2215	2216	500	11
317000	0	2	2	1	1	0	0	0	0	0	1	0	34856	1	1	25773	1839	1840	500	11
390000	0.049	4	3	3	2	0	1	0	1	0	0	0	218906	1	1	22244	1012	1013	500	11
541500	0.043	2	2	1	1	0	0	0	0	1	0	0	100684	1	1	20102	2360	2361	500	11
390500	0	2	1	1	1	0	0	1	0	0	0	0	48115	1	2	22288	1023	1024	500	11
469500	0	2	1	2	0	2	0	0	0	0	0	0	11344	2	3	27357	934	935	500	11
391000	0	1	0	0	0	0	0	1	0	0	0	0	5429	2	3	22471	202	203	500	11
241000	0	10	1	2	1	0	0	4	1	1	0	3	78170	1	1	9190	733	734	500	11
17500	0	4	3	3	2	0	0	0	0	1	1	0	142831	1	1	3243	2662	2663	500	11
91000	0	2	2	2	2	0	0	0	0	0	0	0	40512	1	1	7047	2098	2099	500	11
391500	0	1	1	1	1	0	0	0	0	0	0	0	25782	2	3	22584	217	218	500	11
542000	0	2	2	0	0	0	2	0	0	0	0	0	207057	1	1	20125	2344	2345	500	11
169000	0	3	2	2	2	0	0	0	0	0	0	1	186410	1	1	10730	292	293	500	11
392000	0	1	1	1	1	0	0	0	0	0	0	0	22791	2	3	22626	670	671	500	11
241500	0	2	2	1	1	0	0	0	0	0	1	0	46407	2	3	9206	742	743	500	11
470000	0	4	1	0	0	0	0	2	0	0	2	0	17734	2	3	27473	932	933	500	11
392500	0	1	2	1	0	1	0	0	0	0	0	0	16256	2	3	22686	979	980	500	11
18000	0	4	4	2	2	0	0	2	0	0	0	0	121413	1	1	3251	2657	2658	500	11
470500	0.039	1	1	1	1	0	0	0	0	0	0	0	77345	1	3	27695	1066	1067	500	11
91500	0	3	2	1	1	0	0	1	0	0	1	0	123387	1	1	7069	2093	2094	500	11
317500	0	5	4	2	2	0	0	0	1	2	0	0	90752	1	1	25810	1877	1878	500	11
242000	0	2	2	0	0	0	2	0	0	0	0	0	11344	1	1	9739	803	804	500	11
471000	0	2	2	0	0	0	1	1	0	0	0	0	112267	1	2	27713	1052	1053	500	11
393000	0	3	4	1	0	1	1	1	0	0	0	0	48565	1	1	22691	977	978	500	11
242500	0	1	1	1	0	0	0	0	1	0	0	0	11227	2	3	9755	805	806	500	11
393500	0	1	1	0	0	0	1	0	0	0	0	0	5667	2	3	22726	980	981	500	11
169500	0	5	4	4	3	1	1	0	0	0	0	0	185604	1	1	17946	1209	1210	500	11
542500	0	4	1	2	2	0	0	0	0	0	2	0	116884	1	1	20141	2332	2333	500	11
92000	0	3	3	1	0	1	0	1	0	1	0	0	59329	1	1	7092	2090	2091	500	11
394000	0	2	2	2	2	0	0	0	0	0	0	0	140002	2	3	22775	976	977	500	11
318000	0	4	4	1	1	0	0	0	1	0	2	0	46394	1	1	25835	1841	1842	500	11
