hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhxco hhyco hhexpfac
4000024 2 2 2 2 0 0 0 0 0 0 0 125000 1 3 22664 982 -86.816969 36.144009 47.062368
4000100 5 2 1 1 0 0 1 0 0 3 0 125000 1 1 17438 2464 -86.927795 35.922398 108.541892
4000138 2 1 0 0 0 2 0 0 0 0 0 125000 1 1 17219 2484 -86.86636 35.949238 39.778653
4000154 2 2 2 2 0 0 0 0 0 0 0 -1 2 3 28653 1128 -86.842756 36.126617 79.971202
4000196 4 3 2 1 1 0 0 0 1 1 0 87500 1 1 6912 1586 -86.807843 36.402074 184.125331
4000207 3 1 2 2 0 0 0 0 0 1 0 125000 2 1 23226 1000 -86.808628 36.136222 131.144915
4000227 1 2 0 0 0 1 0 0 0 0 0 40000 1 1 3452 2766 -86.535354 36.14314 24.247309
4000237 3 2 1 1 0 0 1 0 0 0 1 67500 1 1 5741 1623 -86.545624 36.03846 89.017632
4000238 2 1 1 1 0 0 1 0 0 0 0 125000 1 1 19559 2521 -86.866311 35.898203 47.923095
4000247 3 2 1 1 0 0 1 0 0 1 0 87500 1 1 26546 1190 -87.012803 36.084574 160.19586
4000250 2 2 1 1 0 1 0 0 0 0 0 67500 1 1 1209 2234 -86.624657 36.313425 40.422902
4000275 2 3 2 2 0 0 0 0 0 0 0 175000 1 1 6517 531 -86.740794 36.176087 87.717786
4000286 1 1 0 0 0 0 1 0 0 0 0 67500 1 1 3614 2777 -86.509092 36.106549 41.020422
4000310 1 1 1 1 0 0 0 0 0 0 0 87500 1 2 17807 2475 -86.897262 35.911624 62.530603
4000391 2 2 2 2 0 0 0 0 0 0 0 87500 1 1 5312 529 -86.744061 36.169393 47.062368
4000418 2 2 2 2 0 0 0 0 0 0 0 40000 1 1 17240 2483 -86.883921 35.975801 32.136679
4000498 2 1 0 0 0 2 0 0 0 0 0 15000 1 1 1134 2264 -86.613078 36.273721 63.257068
4000535 1 0 0 0 0 1 0 0 0 0 0 5000 1 4 8907 2804 -86.211172 36.047256 300.496058
4000562 1 0 0 0 0 1 0 0 0 0 0 40000 1 1 29276 1532 -86.89204 36.511509 33.837109
4000657 2 1 2 1 1 0 0 0 0 0 0 40000 2 3 23659 776 -86.633335 36.089269 55.74421
4000697 2 3 1 1 0 0 1 0 0 0 0 175000 1 1 17182 2482 -86.879917 35.960343 39.923758
4000724 2 1 1 1 0 0 1 0 0 0 0 175000 1 1 4684 710 -86.662331 36.17009 137.052019
4000756 3 2 2 2 0 0 0 0 0 0 1 125000 1 3 22521 181 -86.774542 36.159061 110.719844
4000801 1 2 0 0 0 0 1 0 0 0 0 15000 1 1 4885 163 -86.800027 36.177308 35.317755
4000838 3 3 2 0 2 0 0 1 0 0 0 -1 1 1 28370 1214 -86.96467 36.058494 121.444961
4000925 2 2 1 1 0 0 0 1 0 0 0 5000 2 3 31453 1898 -86.36737 35.864863 54.036979
4000928 1 1 1 1 0 0 0 0 0 0 0 40000 1 1 9217 717 -86.706292 36.24096 95.072171
4000947 4 2 1 0 1 0 1 0 0 2 0 15000 2 1 23461 770 -86.649347 36.102481 118.030293
4000971 1 1 1 1 0 0 0 0 0 0 0 87500 1 1 24695 494 -86.736053 36.186497 80.65394
4000976 2 2 0 0 0 2 0 0 0 0 0 -1 1 1 17313 2451 -86.888317 35.929126 35.923689
4000977 3 3 2 2 0 0 1 0 0 0 0 67500 1 1 5552 345 -86.695866 36.270395 121.444961
4000979 1 1 0 0 0 1 0 0 0 0 0 40000 1 1 5945 581 -86.888136 36.150113 71.085157
4001133 5 3 3 1 2 1 1 0 0 0 0 125000 1 1 17438 2464 -86.919356 35.92255 79.033587
4001169 1 1 1 1 0 0 0 0 0 0 0 67500 1 2 9855 1138 -86.864022 36.14323 55.949159
4001197 2 3 2 2 0 0 0 0 0 0 0 -1 1 1 19696 2510 -86.837252 35.930631 29.645359
4001238 4 2 2 2 0 0 0 0 0 1 1 125000 1 1 21358 101 -86.699886 36.012895 138.620516
4001248 1 1 0 0 0 1 0 0 0 0 0 5000 1 1 9422 554 -86.834704 36.199277 41.833007
4001256 1 0 0 0 0 1 0 0 0 0 0 15000 1 1 24142 559 -86.825084 36.216084 950.354145
4001271 1 0 0 0 0 1 0 0 0 0 0 5000 2 3 4830 161 -86.794095 36.176736 950.354145
4001282 2 3 2 2 0 0 0 0 0 0 0 87500 2 1 18800 2531 -86.830115 35.901709 29.645359
4001361 3 2 2 2 0 1 0 0 0 0 0 125000 1 1 17872 2436 -86.958963 35.950869 465.373052
4001387 2 3 2 2 0 0 0 0 0 0 0 125000 1 1 27305 997 -86.799864 36.130761 87.717786
4001388 1 2 0 0 0 0 1 0 0 0 0 5000 2 3 22690 978 -86.819668 36.143815 35.317755
4001391 4 2 2 1 1 0 0 0 0 1 1 40000 1 4 1206 2234 -86.620361 36.315586 60.408755
4001396 2 2 1 1 0 0 1 0 0 0 0 67500 1 1 33066 2732 -86.311917 36.200636 44.931916
4001461 1 1 0 0 0 1 0 0 0 0 0 15000 1 1 12643 1389 -87.084889 35.605126 95.283835
4001513 2 2 1 1 0 0 0 0 0 1 0 55000 1 1 25612 2010 -86.469286 35.951712 179.472904
4001514 4 5 3 3 0 0 0 0 0 1 0 87500 1 1 20371 18 -86.756834 36.025511 172.012518
4001579 1 1 0 0 0 1 0 0 0 0 0 5000 1 4 7538 2045 -86.527486 36.624822 321.462958
4001587 1 2 1 1 0 0 0 0 0 0 0 5000 2 1 31370 1981 -86.355049 35.840944 170.691975
4001628 1 1 1 0 1 0 0 0 0 0 0 40000 2 4 31145 1897 -86.368948 35.86719 52.881307
4001634 6 4 2 1 1 1 0 1 1 1 0 175000 1 1 17664 2366 -86.845637 36.027188 86.611874
4001748 2 2 0 0 0 2 0 0 0 0 0 40000 1 1 29955 1994 -86.520544 35.991333 160.440661
4001766 1 1 1 1 0 0 0 0 0 0 0 87500 1 2 6021 1139 -86.874119 36.145807 55.949159
4001769 2 1 2 2 0 0 0 0 0 0 0 67500 1 1 17136 2478 -86.892318 35.972379 35.585261
4001782 2 2 2 2 0 0 0 0 0 0 0 87500 1 1 17140 2478 -86.888189 35.97352 32.136679
4001859 1 1 0 0 0 1 0 0 0 0 0 40000 1 1 1094 2229 -86.617391 36.26805 49.742836
4001894 4 3 1 1 0 0 1 0 0 2 0 87500 1 1 17057 1783 -86.555113 35.770795 297.831864
4001897 2 2 0 0 0 2 0 0 0 0 0 87500 1 1 498 2178 -86.470972 36.365334 203.42373
4001901 3 2 2 1 1 0 0 0 0 0 1 87500 1 1 1817 2215 -86.565093 36.382864 313.643133
4001923 4 2 2 2 0 0 0 0 0 1 1 -1 1 1 18757 2533 -86.865109 35.891532 42.004281
4002014 1 2 1 1 0 0 0 0 0 0 0 67500 1 2 26512 1193 -86.938285 36.083178 80.265225
4002176 2 2 1 1 0 1 0 0 0 0 0 55000 1 1 866 2146 -86.421335 36.394682 40.422902
4002211 3 1 2 1 1 0 0 0 0 1 0 15000 2 2 32563 2731 -86.316757 36.206605 109.769146
4002258 2 1 1 1 0 1 0 0 0 0 0 67500 1 1 17415 2477 -86.892118 35.924086 47.923095
