hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhxco hhyco hhexpfac
4002263 2 2 2 2 0 0 0 0 0 0 0 -1 1 1 19827 2519 -86.857192 35.914376 32.136679
4002316 3 2 2 2 0 0 0 0 0 0 1 55000 2 1 30739 1719 -86.260802 35.847558 231.851639
4002323 1 1 1 1 0 0 0 0 0 0 0 40000 2 1 4828 161 -86.788857 36.178587 55.949159
4002409 4 4 2 2 0 0 1 0 1 0 0 -1 1 1 6897 1576 -86.887418 36.427452 160.895459
4002645 2 2 2 2 0 0 0 0 0 0 0 40000 1 2 108 2288 -86.574459 36.300507 240.082753
4002649 1 1 0 0 0 1 0 0 0 0 0 27500 1 1 11026 1556 -86.863745 36.470581 33.837109
4002685 2 2 0 0 0 2 0 0 0 0 0 -1 3 3 18991 2390 -86.836005 35.960264 315.415907
4002759 2 1 2 2 0 0 0 0 0 0 0 125000 1 1 19541 2312 -86.660013 35.957014 312.444452
4002798 1 1 1 1 0 0 0 0 0 0 0 67500 1 1 21325 107 -86.71965 36.025711 95.072171
4002828 3 2 2 2 0 0 0 0 0 0 1 40000 1 1 21538 92 -86.688443 36.048337 65.157681
4002881 1 1 1 1 0 0 0 0 0 0 0 22500 1 1 522 2180 -86.466695 36.378602 412.816646
4002908 2 5 2 2 0 0 0 0 0 0 0 67500 1 1 2137 2076 -86.508919 36.562253 180.885242
4002909 1 1 1 0 1 0 0 0 0 0 0 87500 1 1 5237 526 -86.735443 36.174667 55.949159
4002918 2 2 1 1 0 1 0 0 0 0 0 175000 1 1 19614 2541 -86.801411 35.91956 379.995433
4003003 3 1 1 1 0 0 0 0 0 2 0 5000 2 1 7967 2159 -86.455622 36.393312 106.123153
4003026 2 2 1 0 1 1 0 0 0 0 0 55000 1 1 27810 44 -86.713792 36.077632 68.09255
4003029 3 4 2 1 1 0 0 0 1 0 0 175000 1 1 27094 1114 -86.842678 36.095224 109.20665
4003081 2 2 1 0 1 1 0 0 0 0 0 55000 1 1 11025 1556 -86.860459 36.478951 52.339691
4003132 2 1 1 1 0 0 0 0 0 1 0 27500 2 2 5400 484 -86.704666 36.199924 137.052019
4003156 1 0 0 0 0 1 0 0 0 0 0 27500 2 3 5519 368 -86.671793 36.254746 950.354145
4003229 1 1 0 0 0 1 0 0 0 0 0 40000 1 1 27177 477 -86.735964 36.197729 41.833007
4003336 2 2 1 1 0 1 0 0 0 0 0 -1 1 1 21312 19 -86.751298 36.025086 115.706951
4003356 1 1 1 1 0 0 0 0 0 0 0 125000 1 1 22189 1112 -86.825201 36.114334 95.072171
4003402 3 2 2 2 0 0 0 0 0 1 0 87500 1 2 23395 837 -86.63157 36.125416 110.719844
4003493 2 2 2 2 0 0 0 0 0 0 0 87500 1 1 19925 2509 -86.846931 35.921232 32.136679
4003522 4 5 3 2 0 0 0 0 1 1 0 87500 1 1 3520 2776 -86.490678 36.12525 27.094128
4003614 2 4 1 1 0 1 0 0 0 0 0 175000 1 1 17208 2421 -86.909857 35.970826 467.993107
4003622 4 2 3 0 3 1 0 0 0 0 0 40000 3 6 5490 369 -86.681808 36.242718 102.630533
4003668 3 1 2 2 0 0 0 0 0 0 1 40000 1 1 5504 371 -86.656844 36.234204 77.17766
4003676 3 2 2 1 1 0 0 0 0 1 0 -1 1 1 19560 2521 -86.862912 35.899844 53.00277
4003715 1 1 1 1 0 0 0 0 0 0 0 40000 2 3 22419 183 -86.772792 36.156448 95.072171
4003759 1 1 1 1 0 0 0 0 0 0 0 67500 1 1 25736 1634 -86.552546 36.011634 52.881307
4003794 2 2 0 0 0 2 0 0 0 0 0 27500 1 1 7092 2091 -86.630522 36.492983 31.477572
4003807 1 1 0 0 0 0 1 0 0 0 0 40000 1 1 31394 1674 -86.521158 35.954696 157.009368
4003810 4 2 1 1 0 0 1 0 0 1 1 87500 1 1 10769 1482 -86.690148 36.481532 364.325487
4003818 1 1 1 1 0 0 0 0 0 0 0 175000 1 1 21861 1021 -86.78377 36.132128 55.949159
4003861 3 1 1 1 0 2 0 0 0 0 0 55000 2 1 17156 2479 -86.886629 35.963827 79.03918
4003882 1 1 1 1 0 0 0 0 0 0 0 15000 2 2 10420 481 -86.723298 36.204267 95.072171
4003884 1 1 1 1 0 0 0 0 0 0 0 40000 2 3 9767 833 -86.620241 36.144262 95.072171
4003973 1 1 1 1 0 0 0 0 0 0 0 87500 1 2 21420 17 -86.745496 36.037614 95.072171
4004029 1 2 0 0 0 0 1 0 0 0 0 22500 1 1 18200 2431 -87.116523 35.909641 411.558288
4004098 1 1 1 0 1 0 0 0 0 0 0 22500 1 3 32941 2711 -86.307919 36.191113 55.059292
4004157 1 2 0 0 0 0 1 0 0 0 0 55000 2 3 23559 851 -86.641246 36.060922 60.014051
4004188 3 5 2 2 0 0 0 0 0 0 1 125000 1 1 1889 2095 -86.648687 36.415289 36.566009
4004400 2 1 1 0 0 0 0 2 0 0 0 15000 2 2 22201 1121 -86.816756 36.126079 137.052019
4004435 3 1 2 2 0 0 0 0 0 0 1 87500 1 1 17438 2464 -86.909971 35.91205 58.690487
4004525 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 32963 2735 -86.2987 36.202268 41.020422
4004533 3 3 0 0 0 0 2 0 0 1 0 -1 2 1 5344 486 -86.710935 36.183249 77.316287
4004563 3 3 3 1 0 0 0 2 0 0 0 87500 1 1 23649 778 -86.638909 36.080531 89.91426
4004569 4 3 3 2 1 0 0 0 0 1 0 125000 1 1 245 2285 -86.549347 36.326374 390.974711
4004623 2 4 0 0 0 2 0 0 0 0 0 15000 1 1 5988 585 -86.879071 36.1518 50.216765
4004630 2 1 1 1 0 0 1 0 0 0 0 -1 2 3 22774 977 -86.822304 36.13969 55.74421
4004702 2 2 0 0 0 1 1 0 0 0 0 40000 1 1 6446 1249 -86.811278 36.083691 86.513716
4004714 2 1 0 0 0 1 1 0 0 0 0 40000 1 1 32530 2702 -86.339979 36.209763 56.631883
4004715 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 32978 2735 -86.303851 36.201724 41.122288
4004790 1 2 0 0 0 1 0 0 0 0 0 40000 1 1 26126 1960 -86.378013 35.800925 152.590907
4004817 2 0 0 0 0 0 1 0 1 0 0 15000 2 3 30872 1907 -86.349078 35.868213 49.705394
4004929 4 3 2 1 1 0 0 0 0 2 0 67500 1 1 25561 1683 -86.486608 35.986302 70.321744
4004942 1 1 0 0 0 1 0 0 0 0 0 40000 1 3 31022 1892 -86.367944 35.873165 47.273498
4004963 2 1 0 0 0 2 0 0 0 0 0 55000 1 1 31132 1903 -86.358551 35.862484 49.705394
4005090 3 1 2 2 0 0 0 0 0 0 1 87500 1 2 23658 776 -86.634147 36.086008 77.17766
4005101 3 3 2 1 1 0 1 0 0 0 0 87500 1 1 18586 2322 -86.760261 35.875149 429.296097
4005354 2 2 2 2 0 0 0 0 0 0 0 175000 1 1 18757 2533 -86.85728 35.886836 32.136679
4005359 1 1 0 0 0 1 0 0 0 0 0 22500 1 1 31870 1942 -86.394102 35.869332 157.009368
4005384 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 7030 2099 -86.682973 36.436068 49.742836
4005420 4 4 3 1 1 0 0 2 0 0 0 67500 1 1 8674 2774 -86.46847 36.170003 27.094128
4005428 1 1 1 1 0 0 0 0 0 0 0 87500 2 3 23690 774 -86.639764 36.094236 55.949159
4005432 4 2 3 1 2 0 0 0 0 1 0 87500 1 1 9509 121 -86.755728 36.17243 102.630533
4005478 1 1 1 1 0 0 0 0 0 0 0 27500 2 3 21545 90 -86.674773 36.052253 55.949159
4005548 1 1 1 0 1 0 0 0 0 0 0 55000 1 1 2493 2160 -86.442015 36.417172 63.878809
4005570 1 2 1 1 0 0 0 0 0 0 0 55000 1 1 16039 1328 -87.027619 35.622771 30.856071
4005608 3 1 1 1 0 0 0 0 0 2 0 40000 2 3 22171 1120 -86.822579 36.098498 189.74803
4005649 2 1 0 0 0 2 0 0 0 0 0 40000 1 1 17311 2451 -86.903449 35.931636 39.778653
4005680 2 2 2 2 0 0 0 0 0 0 0 87500 2 3 21538 92 -86.685977 36.047618 47.062368
4005681 1 1 1 1 0 0 0 0 0 0 0 -1 2 3 27316 958 -86.799766 36.13854 55.949159
4005696 2 2 1 1 0 0 1 0 0 0 0 40000 2 1 29674 1805 -86.451647 35.888164 179.472904
4005716 1 1 1 0 0 0 0 1 0 0 0 15000 2 3 31133 1903 -86.36388 35.855498 52.881307
4005771 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 23060 604 -86.839901 36.145895 79.971202
4005845 2 2 2 2 0 0 0 0 0 0 0 87500 1 2 1330 308 -86.716413 36.325112 110.719844
4005895 5 3 2 1 1 0 0 0 1 1 1 67500 1 2 3799 1695 -86.391852 36.00962 313.49546
4005992 2 2 1 0 1 1 0 0 0 0 0 125000 1 1 11499 1434 -87.103383 35.529842 88.949804
4006011 1 1 1 1 0 0 0 0 0 0 0 67500 1 1 19906 2524 -86.854857 35.898084 62.530603
4006025 1 2 1 1 0 0 0 0 0 0 0 67500 1 1 31022 1892 -86.3632 35.876393 51.393154
4006030 2 1 1 1 0 1 0 0 0 0 0 40000 1 1 21642 1034 -86.78414 36.120944 80.65394
4006048 2 1 2 2 0 0 0 0 0 0 0 87500 2 3 22718 981 -86.812923 36.142076 55.74421
4006078 2 1 0 0 0 2 0 0 0 0 0 22500 1 1 25629 1682 -86.478341 35.981626 49.705394
4006212 4 2 2 1 1 0 0 0 0 0 2 87500 1 1 1057 2250 -86.640034 36.295393 60.408755
4006343 2 4 1 1 0 1 0 0 0 0 0 -1 1 1 3148 2647 -86.470665 36.230005 220.687131
4006377 1 1 1 1 0 0 0 0 0 0 0 27500 2 3 23717 794 -86.652771 36.08515 55.949159
4006384 3 3 3 2 1 0 0 0 0 0 0 87500 1 1 26214 1828 -86.433814 35.826536 227.201861
4006437 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 10301 1118 -86.816919 36.095997 79.971202
4006485 2 2 1 1 0 1 0 0 0 0 0 87500 1 1 8493 2690 -86.539647 36.21869 329.149798
4006513 5 2 1 1 0 0 1 0 0 1 2 87500 1 1 19542 2312 -86.656736 35.960144 953.0157
4006586 2 2 1 1 0 0 1 0 0 0 0 40000 1 1 31766 1920 -86.389685 35.85479 42.375747
4006593 1 1 0 0 0 1 0 0 0 0 0 27500 1 1 5027 550 -86.785654 36.198215 41.833007
4006604 2 2 1 0 1 1 0 0 0 0 0 40000 2 3 6653 2266 -86.622321 36.292984 40.422902
4006670 1 2 0 0 0 1 0 0 0 0 0 55000 1 1 28973 1611 -86.956434 36.473661 122.657259
4006761 2 2 2 1 1 0 0 0 0 0 0 175000 1 1 19799 2502 -86.871562 35.912164 32.136679
4006807 1 2 0 0 0 1 0 0 0 0 0 55000 1 1 3613 2786 -86.498088 36.09282 177.624229
4006833 1 1 0 0 0 1 0 0 0 0 0 40000 1 3 26494 1162 -86.897682 36.083768 71.085157
4006902 1 1 1 1 0 0 0 0 0 0 0 55000 1 1 30884 1893 -86.352669 35.878637 52.881307
4006947 4 2 1 1 0 0 1 0 0 2 0 -1 1 1 6070 1165 -86.91242 36.113438 200.564162
4006951 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 17828 2465 -86.905756 35.913637 51.903642
4006979 2 2 1 0 1 0 0 0 1 0 0 40000 1 1 19745 2328 -86.77731 36.025601 379.995433
4007026 1 0 0 0 0 1 0 0 0 0 0 5000 1 1 24826 502 -86.750601 36.18741 950.354145
4007051 1 2 1 1 0 0 0 0 0 0 0 125000 1 1 19697 2510 -86.826802 35.928092 56.470739
4007064 1 0 0 0 0 1 0 0 0 0 0 -1 1 1 3264 2656 -86.539095 36.26154 300.496058
4007070 1 2 0 0 0 1 0 0 0 0 0 55000 1 1 17869 2436 -86.984772 35.939121 411.558288
4007126 1 1 0 0 0 1 0 0 0 0 0 15000 1 1 5496 367 -86.670192 36.244421 41.833007
4007189 2 2 2 2 0 0 0 0 0 0 0 125000 1 3 27171 1229 -86.945564 36.074689 79.971202
4007195 1 1 0 0 0 0 1 0 0 0 0 -1 1 2 22098 1085 -86.796759 36.093335 71.085157
4007233 1 1 1 1 0 0 0 0 0 0 0 87500 1 1 24985 887 -86.724365 36.121296 55.949159
4007250 3 3 2 2 0 0 0 0 0 0 1 67500 1 1 23458 834 -86.63657 36.136093 121.444961
4007313 2 2 2 2 0 0 0 0 0 0 0 15000 2 3 7879 2155 -86.446247 36.398475 37.15015
4007384 2 2 0 0 0 1 1 0 0 0 0 87500 1 1 17669 2366 -86.840994 36.020819 35.923689
4007393 1 1 1 1 0 0 0 0 0 0 0 67500 2 2 21697 1094 -86.787009 36.108786 95.072171
4007446 2 3 0 0 0 1 1 0 0 0 0 67500 1 1 7221 2080 -86.505974 36.582453 188.911523
4007448 4 1 2 2 0 0 0 0 0 0 2 55000 1 1 6561 490 -86.714589 36.194044 96.625921
4007486 6 4 1 1 0 0 1 0 0 2 2 87500 1 1 9875 1148 -86.881824 36.121393 653.468124
4007511 1 0 1 1 0 0 0 0 0 0 0 55000 1 1 29114 1551 -86.878195 36.504752 54.280683
4007565 3 2 3 1 1 0 0 0 1 0 0 55000 1 1 1152 2228 -86.61555 36.279881 52.339183
4007612 2 3 2 2 0 0 0 0 0 0 0 40000 2 3 23689 777 -86.643696 36.089037 51.621166
4007657 2 2 1 1 0 0 1 0 0 0 0 67500 1 1 18809 2531 -86.829053 35.900154 43.27885
4007687 2 4 2 2 0 0 0 0 0 0 0 87500 1 1 12584 1396 -87.10947 35.612149 54.091196
4007937 4 2 2 2 0 0 0 0 0 2 0 175000 3 3 20102 2361 -86.80462 35.950496 368.804512
4008048 4 2 2 1 1 0 0 0 0 1 1 87500 1 1 21478 115 -86.655216 36.00999 138.620516
4008126 1 1 1 1 0 0 0 0 0 0 0 55000 1 1 1092 2229 -86.618099 36.267537 63.878809
4008135 1 1 1 1 0 0 0 0 0 0 0 40000 1 3 31154 1891 -86.373243 35.870874 52.881307
4008160 1 1 1 0 0 0 0 1 0 0 0 -1 1 1 21514 93 -86.681601 36.034959 189.74803
4008230 5 2 3 2 0 0 0 0 1 2 0 87500 1 1 3483 2675 -86.537552 36.177028 413.820865
4008263 1 0 0 0 0 1 0 0 0 0 0 40000 2 3 10202 12 -86.780482 36.037445 51.903642
4008290 2 2 2 1 1 0 0 0 0 0 0 125000 1 1 3614 2777 -86.520853 36.10847 41.122288
4008360 2 3 2 2 0 0 0 0 0 0 0 67500 1 1 1164 2262 -86.614551 36.286564 34.499866
4008400 2 3 2 1 0 0 0 1 0 0 0 27500 1 1 6151 650 -86.80771 36.184729 87.717786
4008437 2 2 2 2 0 0 0 0 0 0 0 87500 2 3 23228 1000 -86.804628 36.134474 79.971202
4008444 1 1 1 1 0 0 0 0 0 0 0 55000 1 1 13934 1364 -87.050298 35.617307 45.969239
4008462 2 2 2 2 0 0 0 0 0 0 0 40000 1 1 25662 1687 -86.488357 36.026385 42.375747
4008471 4 2 1 1 0 0 1 0 0 1 1 125000 1 1 18757 2533 -86.864721 35.890571 42.004281
4008485 2 1 0 0 0 0 1 0 1 0 0 15000 1 1 7905 2017 -86.357733 36.564549 534.052894
4008490 1 1 1 0 1 0 0 0 0 0 0 40000 2 3 9173 736 -86.611023 36.205428 55.949159
4008507 2 3 0 0 0 2 0 0 0 0 0 40000 1 1 1088 2256 -86.629343 36.297219 29.231968
4008532 2 2 0 0 0 2 0 0 0 0 0 40000 1 3 26140 1834 -86.403427 35.789858 160.440661
4008561 2 1 0 0 0 2 0 0 0 0 0 15000 1 1 21322 107 -86.71579 36.016112 102.473354
4008643 2 2 2 1 1 0 0 0 0 0 0 87500 1 1 1057 2250 -86.634947 36.293355 37.15015
4008673 1 1 1 1 0 0 0 0 0 0 0 55000 1 3 5943 581 -86.884558 36.15539 95.072171
4008807 1 1 1 0 1 0 0 0 0 0 0 22500 2 3 23560 852 -86.63799 36.060687 95.072171
4008869 2 2 0 0 0 2 0 0 0 0 0 125000 1 1 25933 1876 -86.415301 35.898581 160.440661
4008886 3 3 3 2 1 0 0 0 0 0 0 -1 1 1 3596 2787 -86.478152 36.141009 62.887599
4008939 2 1 1 1 0 0 0 0 1 0 0 27500 1 1 1057 2250 -86.639923 36.298759 81.23353
4008986 2 2 2 2 0 0 0 0 0 0 0 125000 1 3 21786 1031 -86.779203 36.126991 47.062368
4008996 1 2 0 0 0 1 0 0 0 0 0 27500 1 1 1169 2262 -86.610519 36.281356 24.752707
4009004 2 2 0 0 0 1 1 0 0 0 0 175000 1 1 26463 1147 -86.865264 36.116476 86.513716
4009023 1 1 0 0 0 1 0 0 0 0 0 15000 1 1 8530 757 -86.598486 36.172825 71.085157
4009087 1 1 0 0 0 1 0 0 0 0 0 22500 2 3 24203 21 -86.729647 36.083219 71.085157
4009089 1 1 0 0 0 1 0 0 0 0 0 40000 1 2 17175 2482 -86.880956 35.964527 51.903642
4009188 2 2 0 0 0 1 1 0 0 0 0 87500 1 1 31136 1903 -86.35763 35.858506 48.306616
4009239 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 27193 452 -86.733059 36.206199 47.062368
4009274 2 2 0 0 0 2 0 0 0 0 0 87500 1 1 10196 15 -86.765966 36.035992 86.513716
4009297 2 2 0 0 0 0 2 0 0 0 0 27500 1 1 32056 1653 -86.494479 35.926469 160.440661
4009311 1 1 1 1 0 0 0 0 0 0 0 40000 3 1 864 2146 -86.423279 36.39334 63.878809
4009332 3 2 2 2 0 0 0 0 0 1 0 125000 1 2 4940 159 -86.795524 36.183407 65.157681
4009552 2 2 2 2 0 0 0 0 0 0 0 55000 1 1 32687 2743 -86.271046 36.189722 41.122288
4009636 3 3 2 2 0 0 0 0 1 0 0 87500 1 1 19866 2525 -86.841613 35.914453 48.893854
4009686 3 1 0 0 0 2 0 0 1 0 0 -1 1 3 10642 1538 -86.874364 36.491093 58.200786
4009792 3 1 1 1 0 1 1 0 0 0 0 40000 2 3 30872 1907 -86.350135 35.866724 91.595249
4009822 1 1 1 1 0 0 0 0 0 0 0 -1 1 3 21786 1031 -86.779203 36.126991 55.949159
4009892 2 2 1 1 0 0 1 0 0 0 0 87500 2 3 8331 2726 -86.305825 36.215655 44.931916
4009942 1 1 0 0 0 1 0 0 0 0 0 15000 2 3 31997 1965 -86.376308 35.843712 47.273498
4009967 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 27820 41 -86.704363 36.079031 41.833007
4009989 1 1 1 1 0 0 0 0 0 0 0 40000 2 2 24692 494 -86.736988 36.186588 55.949159
4009992 1 1 1 1 0 0 0 0 0 0 0 125000 1 1 17311 2451 -86.904099 35.932561 62.530603
4010099 4 1 1 1 0 0 0 0 0 2 1 15000 1 1 29034 1600 -86.996578 36.459025 395.223601
4010133 2 3 2 1 1 0 0 0 0 0 0 55000 1 4 5698 1619 -86.56743 36.030204 41.732001
4010191 2 0 0 0 0 2 0 0 0 0 0 15000 1 1 18014 2446 -87.129063 35.96061 349.26313
4010232 5 4 2 2 0 0 0 1 0 2 0 175000 1 1 8365 2632 -86.36957 36.222119 307.935894
4010238 1 1 1 1 0 0 0 0 0 0 0 40000 1 3 26492 1162 -86.91823 36.07949 95.072171
4010259 1 3 0 0 0 0 0 1 0 0 0 15000 2 3 31136 1903 -86.36243 35.858107 45.245216
4010275 2 1 2 2 0 0 0 0 0 0 0 125000 1 1 9594 435 -86.732807 36.233923 94.723909
4010282 3 3 2 1 1 0 0 0 0 1 0 125000 1 1 3567 2773 -86.476168 36.172726 69.795838
4010287 6 5 2 2 0 0 0 0 1 3 0 22500 2 1 17358 2452 -86.945933 35.949732 86.611874
4010298 1 1 1 1 0 0 0 0 0 0 0 125000 1 1 21330 108 -86.735737 36.018198 95.072171
4010359 1 1 0 0 0 1 0 0 0 0 0 40000 1 2 9773 759 -86.614372 36.170685 71.085157
4010430 5 2 2 1 1 0 0 0 0 1 2 15000 1 1 4350 1614 -86.542294 36.037068 95.845468
4010483 4 2 1 1 0 0 3 0 0 0 0 40000 1 1 9819 588 -86.872226 36.150135 118.030293
4010497 1 2 1 0 1 0 0 0 0 0 0 27500 1 3 26497 1162 -86.920714 36.087897 80.265225
4010511 5 2 1 1 0 0 1 0 0 3 0 -1 1 1 6698 2246 -86.632768 36.315888 85.630474
4010563 2 2 2 2 0 0 0 0 0 0 0 67500 1 1 19972 1766 -86.543417 35.909944 140.742478
