hhno day dow jttours phtours fhtours hdexpfac
4000024 1 2 0 0 0 47.062368
4000100 1 6 0 0 0 108.541892
4000138 1 6 0 0 0 39.778653
4000154 1 5 0 0 0 79.971202
4000196 1 6 0 0 0 184.125331
4000207 1 6 0 0 0 131.144915
4000227 1 6 0 0 0 24.247309
4000237 1 4 0 0 0 89.017632
4000238 1 5 0 0 0 47.923095
4000247 1 4 0 0 0 160.19586
4000250 1 4 0 0 0 40.422902
4000275 1 6 0 0 0 87.717786
4000286 1 2 0 0 0 41.020422
4000310 1 4 0 0 0 62.530603
4000391 1 5 0 0 0 47.062368
4000418 1 6 0 0 0 32.136679
4000498 1 5 0 0 0 63.257068
4000535 1 6 0 0 0 300.496058
4000562 1 6 0 0 0 33.837109
4000657 1 6 0 0 0 55.74421
4000697 1 4 0 0 0 39.923758
4000724 1 6 0 0 0 137.052019
4000756 1 5 0 0 0 110.719844
4000801 1 2 0 0 0 35.317755
4000838 1 4 0 0 0 121.444961
4000925 1 2 0 0 0 54.036979
4000928 1 6 0 0 0 95.072171
4000947 1 3 0 0 0 118.030293
4000971 1 3 0 0 0 80.65394
4000976 1 2 0 0 0 35.923689
4000977 1 3 0 0 0 121.444961
4000979 1 6 0 0 0 71.085157
4001133 1 5 0 0 0 79.033587
4001169 1 4 0 0 0 55.949159
4001197 1 4 0 0 0 29.645359
4001238 1 4 0 0 0 138.620516
4001248 1 4 0 0 0 41.833007
4001256 1 3 0 0 0 950.354145
4001271 1 5 0 0 0 950.354145
4001282 1 4 0 0 0 29.645359
4001361 1 4 0 0 0 465.373052
4001387 1 5 0 0 0 87.717786
4001388 1 5 0 0 0 35.317755
4001391 1 6 0 0 0 60.408755
4001396 1 4 0 0 0 44.931916
4001461 1 3 0 0 0 95.283835
4001513 1 6 0 0 0 179.472904
4001514 1 4 0 0 0 172.012518
4001579 1 4 0 0 0 321.462958
4001587 1 2 0 0 0 170.691975
4001628 1 3 0 0 0 52.881307
4001634 1 6 0 0 0 86.611874
4001748 1 6 0 0 0 160.440661
4001766 1 5 0 0 0 55.949159
4001769 1 5 0 0 0 35.585261
4001782 1 3 0 0 0 32.136679
4001859 1 2 0 0 0 49.742836
4001894 1 5 0 0 0 297.831864
4001897 1 6 0 0 0 203.42373
4001901 1 3 0 0 0 313.643133
4001923 1 3 0 0 0 42.004281
4002014 1 5 0 0 0 80.265225
4002176 1 3 0 0 0 40.422902
4002211 1 3 0 0 0 109.769146
4002258 1 3 0 0 0 47.923095
4002263 1 3 0 0 0 32.136679
4002316 1 3 0 0 0 231.851639
4002323 1 3 0 0 0 55.949159
4002409 1 3 0 0 0 160.895459
4002645 1 4 0 0 0 240.082753
4002649 1 3 0 0 0 33.837109
4002685 1 6 0 0 0 315.415907
4002759 1 5 0 0 0 312.444452
4002798 1 2 0 0 0 95.072171
4002828 1 3 0 0 0 65.157681
4002881 1 5 0 0 0 412.816646
4002908 1 4 0 0 0 180.885242
4002909 1 5 0 0 0 55.949159
4002918 1 5 0 0 0 379.995433
4003003 1 6 0 0 0 106.123153
4003026 1 3 0 0 0 68.09255
4003029 1 3 0 0 0 109.20665
4003081 1 5 0 0 0 52.339691
4003132 1 3 0 0 0 137.052019
4003156 1 2 0 0 0 950.354145
4003229 1 3 0 0 0 41.833007
4003336 1 5 0 0 0 115.706951
4003356 1 4 0 0 0 95.072171
4003402 1 4 0 0 0 110.719844
4003493 1 5 0 0 0 32.136679
4003522 1 2 0 0 0 27.094128
4003614 1 6 0 0 0 467.993107
4003622 1 2 0 0 0 102.630533
4003668 1 2 0 0 0 77.17766
4003676 1 3 0 0 0 53.00277
4003715 1 2 0 0 0 95.072171
4003759 1 3 0 0 0 52.881307
4003794 1 5 0 0 0 31.477572
4003807 1 6 0 0 0 157.009368
4003810 1 3 0 0 0 364.325487
4003818 1 5 0 0 0 55.949159
4003861 1 4 0 0 0 79.03918
4003882 1 4 0 0 0 95.072171
4003884 1 5 0 0 0 95.072171
4003973 1 2 0 0 0 95.072171
4004029 1 5 0 0 0 411.558288
4004098 1 6 0 0 0 55.059292
4004157 1 6 0 0 0 60.014051
4004188 1 2 0 0 0 36.566009
4004400 1 2 0 0 0 137.052019
4004435 1 2 0 0 0 58.690487
4004525 1 6 0 0 0 41.020422
4004533 1 4 0 0 0 77.316287
4004563 1 2 0 0 0 89.91426
4004569 1 4 0 0 0 390.974711
4004623 1 6 0 0 0 50.216765
4004630 1 2 0 0 0 55.74421
4004702 1 3 0 0 0 86.513716
4004714 1 4 0 0 0 56.631883
4004715 1 6 0 0 0 41.122288
4004790 1 6 0 0 0 152.590907
4004817 1 3 0 0 0 49.705394
4004929 1 4 0 0 0 70.321744
4004942 1 6 0 0 0 47.273498
4004963 1 5 0 0 0 49.705394
4005090 1 3 0 0 0 77.17766
4005101 1 6 0 0 0 429.296097
4005354 1 6 0 0 0 32.136679
4005359 1 6 0 0 0 157.009368
4005384 1 4 0 0 0 49.742836
4005420 1 3 0 0 0 27.094128
4005428 1 3 0 0 0 55.949159
4005432 1 5 0 0 0 102.630533
4005478 1 6 0 0 0 55.949159
4005548 1 4 0 0 0 63.878809
4005570 1 3 0 0 0 30.856071
4005608 1 5 0 0 0 189.74803
4005649 1 6 0 0 0 39.778653
4005680 1 3 0 0 0 47.062368
4005681 1 6 0 0 0 55.949159
4005696 1 4 0 0 0 179.472904
4005716 1 2 0 0 0 52.881307
4005771 1 3 0 0 0 79.971202
4005845 1 2 0 0 0 110.719844
4005895 1 3 0 0 0 313.49546
4005992 1 2 0 0 0 88.949804
4006011 1 2 0 0 0 62.530603
4006025 1 5 0 0 0 51.393154
4006030 1 3 0 0 0 80.65394
4006048 1 6 0 0 0 55.74421
4006078 1 6 0 0 0 49.705394
4006212 1 2 0 0 0 60.408755
4006343 1 6 0 0 0 220.687131
4006377 1 4 0 0 0 55.949159
4006384 1 4 0 0 0 227.201861
4006437 1 5 0 0 0 79.971202
4006485 1 2 0 0 0 329.149798
4006513 1 6 0 0 0 953.0157
4006586 1 4 0 0 0 42.375747
4006593 1 5 0 0 0 41.833007
4006604 1 6 0 0 0 40.422902
4006670 1 3 0 0 0 122.657259
4006761 1 4 0 0 0 32.136679
4006807 1 5 0 0 0 177.624229
4006833 1 3 0 0 0 71.085157
4006902 1 2 0 0 0 52.881307
4006947 1 6 0 0 0 200.564162
4006951 1 5 0 0 0 51.903642
4006979 1 2 0 0 0 379.995433
4007026 1 3 0 0 0 950.354145
4007051 1 4 0 0 0 56.470739
4007064 1 6 0 0 0 300.496058
4007070 1 6 0 0 0 411.558288
4007126 1 6 0 0 0 41.833007
4007189 1 2 0 0 0 79.971202
