"hhno" "pno" "pptyp" "pagey" "pgend" "pwtyp" "pwpcl" "pwtaz" "pwautime" "pwaudist" "pstyp" "pspcl" "pstaz" "psautime" "psaudist" "puwmode" "puwarrp" "puwdepp" "ptpass" "ppaidprk" "pdiary" "pproxy" "psexpfac" "orig_psexpfac" "adjfac"
4000418 2 1 30 1 1 17240 2483 3.135122 1.154587 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.8101318955411 32.136679 1.05207298786353
4000498 1 3 73 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 52.3421715783227 63.257068 0.827451749396964
4000498 2 3 73 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 52.3421715783227 63.257068 0.827451749396964
4000535 1 3 73 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 258.644523129859 300.496058 0.86072517839771
4000562 1 3 72 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 28.0690389219005 33.837109 0.82953419341766
4000657 1 2 38 2 2 21968 265 21.933111 9.346629 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 40.311455441355 55.74421 0.723150537811102
4000657 2 1 31 1 1 21709 1041 21.01754 8.988399 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.0803756795126 55.74421 1.07778683525182
4000697 1 1 60 1 1 22712 974 30.730553 15.103333 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.0027073658005 39.923758 1.05207298786353
4000697 2 4 58 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 41.5284650273982 39.923758 1.04019428800761
4000724 1 1 46 1 1 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 147.712861822882 137.052019 1.07778683525182
4000724 2 4 47 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 148.26822760913 137.052019 1.08183906148169
4000756 1 1 34 1 1 23417 701 14.852698 5.966297 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 119.332390264335 110.719844 1.07778683525182
4000756 2 1 30 2 1 21454 95 21.416735 9.252096 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 119.332390264335 110.719844 1.07778683525182
4000756 3 8 0 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 126.70470162573 110.719844 1.1443721111613
4000801 1 4 62 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 38.2081269228401 35.317755 1.08183906148169
4000838 1 2 -1 -1 2 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 87.8229888615983 121.444961 0.723150537811102
4000838 2 2 -1 -1 2 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 87.8229888615983 121.444961 0.723150537811102
4000838 3 5 -1 -1 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 195.625043715994 121.444961 1.61081235569744
4000925 1 1 23 2 1 29868 1823 14.108243 6.10706 1 31720 1910 7.039367 2.396365 -1 -1 -1 -1 -1 -1 -1 57.5529575552903 54.036979 1.06506615692358
4000925 2 5 24 1 0 0 0 -1 -1 1 31720 1910 7.039367 2.396365 -1 -1 -1 -1 -1 -1 -1 68.569176156893 54.036979 1.2689305994862
4000928 1 1 37 2 1 23145 966 25.82692 12.235107 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 102.467534302609 95.072171 1.07778683525182
4000947 1 2 52 1 2 23461 770 3.085873 1.085873 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 85.3536698609519 118.030293 0.723150537811102
4000947 2 4 46 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 127.689781405528 118.030293 1.08183906148169
4000947 3 7 9 1 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 104.348758472739 118.030293 0.884084549995474
4000947 4 7 9 2 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 104.348758472739 118.030293 0.884084549995474
4000971 1 1 47 1 1 23432 241 17.405758 7.279369 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 86.9277547431898 80.65394 1.07778683525182
4000976 1 3 71 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 30.8340399622895 35.923689 0.858320535017701
4000976 2 3 71 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 30.8340399622895 35.923689 0.858320535017701
4000977 1 1 59 1 1 5544 339 6.05151 1.594871 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 130.89178017347 121.444961 1.07778683525182
4000977 2 4 60 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 131.38390262992 121.444961 1.08183906148169
4000977 3 1 32 1 1 9614 380 4.715662 0.903081 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 130.89178017347 121.444961 1.07778683525182
4000979 1 3 78 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.3987829336717 71.085157 0.849667996564623
4001133 1 2 61 1 2 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 61.1687671310666 79.033587 0.773959141334008
4001133 2 4 58 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 82.2102857581527 79.033587 1.04019428800761
4001133 3 2 31 1 2 17438 2464 3.685215 1.954415 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 61.1687671310666 79.033587 0.773959141334008
4001133 4 1 29 2 1 23538 1639 45.28891 24.849569 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 83.1491020166622 79.033587 1.05207298786353
4001133 5 3 66 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 67.836150678208 79.033587 0.858320535017701
4001169 1 1 35 1 1 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.3012670136106 55.949159 1.07778683525182
4001197 1 1 52 2 1 -1 -1 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.189081419417 29.645359 1.05207298786353
4001197 2 1 55 1 1 20413 2396 6.199128 1.787924 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.189081419417 29.645359 1.05207298786353
4001238 1 1 35 2 1 17376 2422 28.403122 15.554244 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 149.403367240614 138.620516 1.07778683525182
4001238 2 1 38 1 1 6457 11 16.496258 7.036274 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 149.403367240614 138.620516 1.07778683525182
4001238 3 7 5 1 0 0 0 -1 -1 1 18520 2307 11.178292 6.116302 -1 -1 -1 -1 -1 -1 -1 122.552256508 138.620516 0.884084549995474
4001238 4 8 3 1 0 0 0 -1 -1 2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 158.633452545189 138.620516 1.1443721111613
4001248 1 3 75 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 35.5441672479638 41.833007 0.849667996564623
4001256 1 3 69 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 807.485502409035 950.354145 0.849667996564623
4001271 1 3 74 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 807.485502409035 950.354145 0.849667996564623
4001282 1 1 29 2 1 17669 2366 22.645889 11.527137 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.189081419417 29.645359 1.05207298786353
4001282 2 1 30 1 1 19673 2398 12.057714 4.805832 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.189081419417 29.645359 1.05207298786353
4001361 1 1 65 1 1 17872 2436 4.355842 3.966714 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 489.606417288809 465.373052 1.05207298786353
4001361 2 1 61 2 1 17872 2436 4.355842 3.966714 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 489.606417288809 465.373052 1.05207298786353
4001361 3 3 81 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 399.43924697546 465.373052 0.858320535017701
4001387 1 1 45 1 1 27305 997 3.260723 0.26801 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 94.541074968236 87.717786 1.07778683525182
4001387 2 1 44 2 1 27103 1115 10.036837 3.596031 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 94.541074968236 87.717786 1.07778683525182
4001388 1 4 55 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 38.2081269228401 35.317755 1.08183906148169
4001391 1 2 30 2 2 25302 824 35.301533 17.266771 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 40.8220968069408 60.408755 0.67576457761695
4001391 2 1 31 1 1 27648 875 40.645992 21.918026 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 67.3324436453427 60.408755 1.11461399337468
4001391 3 7 10 1 0 0 0 -1 -1 1 161 2225 6.853131 2.006833 -1 -1 -1 -1 -1 -1 -1 59.60267709385 60.408755 0.986656273479731
4001391 4 8 4 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 69.9836973887736 60.408755 1.15850256123924
4001396 1 1 57 2 1 4880 153 44.605045 29.174818 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 45.8219463216982 44.931916 1.01980842129452
4001396 2 4 60 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 56.2706718643541 44.931916 1.25235415877556
4001461 1 3 71 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 65.8769476826745 95.283835 0.691375905290488
4001513 1 1 38 2 1 0 0 -1 -1 2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 191.150516135195 179.472904 1.06506615692358
4001513 2 7 14 2 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 172.638673689261 179.472904 0.96192054533904
4001514 1 1 49 1 1 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 185.392827398916 172.012518 1.07778683525182
4001514 2 1 50 2 1 22117 1090 17.101547 7.974801 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 185.392827398916 172.012518 1.07778683525182
4001514 3 1 20 1 1 6394 1265 7.250303 2.134476 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 185.392827398916 172.012518 1.07778683525182
4001514 4 7 15 1 0 0 0 -1 -1 1 21758 1095 17.717831 8.347741 -1 -1 -1 -1 -1 -1 -1 152.073609569618 172.012518 0.884084549995474
4001579 1 3 72 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 265.995086963423 321.462958 0.827451749396964
4001587 1 1 46 2 1 31370 1981 3.499977 0.520758 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 181.798245830946 170.691975 1.06506615692358
4001628 1 2 60 1 2 25634 1682 22.43087 13.339089 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 35.3977407866189 52.881307 0.6693809740107
4001634 1 2 44 2 2 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 67.0340516303693 86.611874 0.773959141334008
4001634 2 1 45 1 1 23153 197 24.719206 10.781781 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 91.1220130636395 86.611874 1.05207298786353
4001634 3 5 20 1 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 102.629894908714 86.611874 1.18494024166611
4001634 4 6 18 1 0 0 0 -1 -1 1 10276 1247 11.056892 4.96742 -1 -1 -1 -1 -1 -1 -1 120.820135848729 86.611874 1.39496041672911
4001634 5 7 14 1 0 0 0 -1 -1 1 10276 1247 11.056892 4.96742 -1 -1 -1 -1 -1 -1 -1 82.4691359749788 86.611874 0.952168936732379
4001634 6 3 92 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 74.3407500305657 86.611874 0.858320535017701
4001748 1 3 75 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 116.41546815744 160.440661 0.725598283077629
4001748 2 3 80 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 116.41546815744 160.440661 0.725598283077629
4001766 1 1 33 1 1 29747 1798 50.097263 35.243835 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.3012670136106 55.949159 1.07778683525182
4001769 1 1 70 2 1 22982 666 34.650726 16.654249 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 37.4382918641735 35.585261 1.05207298786353
4001769 2 1 18 2 1 17230 2423 5.963595 2.007852 1 17304 2455 8.023775 2.916088 -1 -1 -1 -1 -1 -1 -1 37.4382918641735 35.585261 1.05207298786353
4001782 1 1 55 2 1 22504 215 34.149719 15.806946 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.8101318955411 32.136679 1.05207298786353
4001782 2 1 57 1 1 24961 903 36.187538 18.0963 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.8101318955411 32.136679 1.05207298786353
4001859 1 3 71 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 41.1597966681663 49.742836 0.827451749396964
4001894 1 4 40 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 343.09441507906 297.831864 1.15197350099202
4001894 2 1 41 1 1 9129 1643 31.227303 19.880798 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 317.210638799867 297.831864 1.06506615692358
4001894 3 7 13 1 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 286.490589038223 297.831864 0.96192054533904
4001894 4 7 12 2 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 286.490589038223 297.831864 0.96192054533904
4001897 1 3 80 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 168.323321257356 203.42373 0.827451749396964
4001897 2 3 72 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 168.323321257356 203.42373 0.827451749396964
4001901 1 1 26 1 1 1314 313 16.985184 9.712884 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 349.591024967676 313.643133 1.11461399337468
4001901 2 2 29 2 2 1058 2250 17.29031 8.968127 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 211.948919294202 313.643133 0.67576457761695
4001901 3 8 1 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 363.356372895599 313.643133 1.15850256123924
4001923 1 1 43 1 1 6122 638 40.885181 24.440205 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 44.1915694147293 42.004281 1.05207298786353
4001923 2 1 41 2 1 18757 2533 2.92571 1.091781 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 44.1915694147293 42.004281 1.05207298786353
4001923 3 7 6 1 0 0 0 -1 -1 1 18754 2470 4.478162 1.554045 -1 -1 -1 -1 -1 -1 -1 39.9951715779781 42.004281 0.952168936732379
4001923 4 8 1 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 39.9150393350183 42.004281 0.950261220636495
4002014 1 1 54 2 1 23143 200 21.171415 10.26041 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 86.5088028335249 80.265225 1.07778683525182
4002176 1 3 68 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.448000975602 40.422902 0.827451749396964
4002176 2 1 63 1 1 7984 2150 8.862692 2.879034 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 45.0559322220134 40.422902 1.11461399337468
4002211 1 2 30 2 2 32559 2731 3.014056 1.045845 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 105.158253480948 109.769146 0.957994639777451
4002211 2 1 34 1 1 8435 2641 15.319975 9.36452 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 111.943499489108 109.769146 1.01980842129452
4002211 3 7 10 1 0 0 0 -1 -1 1 32563 2731 3.014056 1.045845 -1 -1 -1 -1 -1 -1 -1 112.708140463395 109.769146 1.02677432202484
4002258 1 1 61 2 1 19069 2368 23.479429 10.678553 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.4185937443177 47.923095 1.05207298786353
4002258 2 3 87 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 41.1333765401041 47.923095 0.858320535017701
4002263 1 1 60 1 1 22504 215 35.377365 19.217829 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.8101318955411 32.136679 1.05207298786353
4002263 2 1 59 2 1 17411 2456 8.190487 2.255638 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.8101318955411 32.136679 1.05207298786353
4002316 1 1 32 1 1 26250 1974 11.43813 6.961007 2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 246.937334126164 231.851639 1.06506615692358
4002316 2 1 32 2 1 31456 1896 13.85697 7.241667 1 31739 1911 11.528204 6.571208 -1 -1 -1 -1 -1 -1 -1 246.937334126164 231.851639 1.06506615692358
4002316 3 8 1 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 280.070109282398 231.851639 1.20797122888745
4002323 1 1 38 2 1 21904 919 10.43342 3.823947 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.3012670136106 55.949159 1.07778683525182
4002409 1 4 59 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 214.797673279417 160.895459 1.33501389420454
4002409 2 1 60 1 1 29091 1543 13.821366 7.795636 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 177.074888385607 160.895459 1.10055864526051
4002409 3 1 41 1 1 5549 340 27.283493 16.032423 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 177.074888385607 160.895459 1.10055864526051
4002409 4 6 17 1 0 0 0 -1 -1 1 10677 1564 21.657398 12.930396 -1 -1 -1 -1 -1 -1 -1 386.710236592042 160.895459 2.40348757507222
4002645 1 1 46 2 1 27413 971 43.781265 21.204765 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 267.599596061717 240.082753 1.11461399337468
4002645 2 1 46 1 1 6743 1596 26.404411 14.703347 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 267.599596061717 240.082753 1.11461399337468
4002649 1 3 88 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 28.0690389219005 33.837109 0.82953419341766
4002685 1 3 76 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 270.727950049333 315.415907 0.858320535017701
4002685 2 3 71 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 270.727950049333 315.415907 0.858320535017701
4002759 1 1 48 1 1 23168 968 38.565861 18.038979 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 328.714368157023 312.444452 1.05207298786353
4002759 2 1 50 2 1 23168 968 38.565861 18.038979 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 328.714368157023 312.444452 1.05207298786353
4002798 1 1 53 2 1 9510 121 29.988119 12.439976 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 102.467534302609 95.072171 1.07778683525182
4002828 1 1 30 2 1 10219 2375 19.655602 7.903688 1 26800 635 27.650133 13.005094 -1 -1 -1 -1 -1 -1 -1 70.2260907973373 65.157681 1.07778683525182
4002828 2 1 34 1 1 10218 2375 19.655602 7.903688 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 70.2260907973373 65.157681 1.07778683525182
4002828 3 8 1 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 74.5646329643448 65.157681 1.1443721111613
4002881 1 1 57 2 1 28151 568 45.042385 28.773626 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 460.131210329602 412.816646 1.11461399337468
4002908 1 1 55 1 1 7467 2072 7.025266 2.613191 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 201.617221928165 180.885242 1.11461399337468
4002908 2 1 50 2 1 7527 2045 9.962836 4.343206 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 201.617221928165 180.885242 1.11461399337468
4002909 1 2 35 1 2 23168 968 14.613088 4.955634 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 40.4596644209289 55.949159 0.723150537811102
4002918 1 3 67 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 326.157883356843 379.995433 0.858320535017701
4002918 2 1 59 2 1 10224 2379 20.066273 11.323227 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 399.782930570805 379.995433 1.05207298786353
