"hhno" "pno" "pptyp" "pagey" "pgend" "pwtyp" "pwpcl" "pwtaz" "pwautime" "pwaudist" "pstyp" "pspcl" "pstaz" "psautime" "psaudist" "puwmode" "puwarrp" "puwdepp" "ptpass" "ppaidprk" "pdiary" "pproxy" "psexpfac" "orig_psexpfac" "adjfac"
4000024 1 1 32 2 1 23154 197 6.63486 1.172378 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.7232006661763 47.062368 1.07778683525182
4000024 2 1 33 1 1 20341 2341 23.371086 15.382412 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.7232006661763 47.062368 1.07778683525182
4000100 1 1 36 1 1 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 114.1939926248 108.541892 1.05207298786353
4000100 2 4 36 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 112.904656067939 108.541892 1.04019428800761
4000100 3 7 10 1 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 103.350217896561 108.541892 0.952168936732379
4000100 4 7 8 2 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 103.350217896561 108.541892 0.952168936732379
4000100 5 7 7 1 0 0 0 -1 -1 1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 103.350217896561 108.541892 0.952168936732379
4000138 1 3 80 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.1428347252435 39.778653 0.858320535017701
4000138 2 3 79 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.1428347252435 39.778653 0.858320535017701
4000154 1 1 29 1 1 23342 694 21.709351 10.424448 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 86.1919087148637 79.971202 1.07778683525182
4000154 2 1 29 2 1 22660 226 14.074228 4.626874 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 86.1919087148637 79.971202 1.07778683525182
4000196 1 2 46 2 2 21725 1078 43.740135 26.234844 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 150.631131704105 184.125331 0.81809021543106
4000196 2 1 46 1 1 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 202.640724843502 184.125331 1.10055864526051
4000196 3 6 18 2 0 0 0 -1 -1 1 10580 1585 5.319588 1.909924 -1 -1 -1 -1 -1 -1 -1 442.54294531456 184.125331 2.40348757507222
4000196 4 7 15 1 0 0 0 -1 -1 1 10580 1585 5.319588 1.909924 -1 -1 -1 -1 -1 -1 -1 191.175685152859 184.125331 1.03829106030424
4000207 1 1 30 2 1 31739 1911 48.421566 34.50634 1 31739 1911 48.421566 34.50634 -1 -1 -1 -1 -1 -1 -1 141.346262897218 131.144915 1.07778683525182
4000207 2 1 44 1 1 20102 2361 24.703857 15.710017 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 141.346262897218 131.144915 1.07778683525182
4000207 3 7 7 1 0 0 0 -1 -1 1 23228 1000 3.272007 0.272007 -1 -1 -1 -1 -1 -1 -1 115.94319316197 131.144915 0.884084549995474
4000227 1 3 71 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 20.8702693646894 24.247309 0.86072517839771
4000237 1 4 30 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 102.54595318506 89.017632 1.15197350099202
4000237 2 1 43 1 1 27889 781 28.354933 12.179489 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 94.8096672126777 89.017632 1.06506615692358
4000237 3 8 1 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 107.53073831969 89.017632 1.20797122888745
4000238 1 4 57 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 49.8493296826462 47.923095 1.04019428800761
4000238 2 1 63 1 1 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.4185937443177 47.923095 1.05207298786353
4000247 1 4 42 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 173.306138835651 160.19586 1.08183906148169
4000247 2 1 41 1 1 23168 968 23.173681 14.323375 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 172.656988969843 160.19586 1.07778683525182
4000247 3 7 5 2 0 0 0 -1 -1 1 26910 1199 15.425806 9.004247 -1 -1 -1 -1 -1 -1 -1 141.626684799238 160.19586 0.884084549995474
4000250 1 3 78 2 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.448000975602 40.422902 0.827451749396964
4000250 2 1 77 1 1 23914 402 22.485765 10.264198 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 45.0559322220134 40.422902 1.11461399337468
4000275 1 1 46 1 1 22127 1101 17.001774 6.95088 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 94.541074968236 87.717786 1.07778683525182
4000275 2 1 40 1 1 22757 1004 14.723667 5.526473 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 94.541074968236 87.717786 1.07778683525182
4000286 1 4 63 1 0 0 0 -1 -1 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.3720960864285 41.020422 1.25235415877556
4000310 1 1 38 2 1 20262 2405 16.055798 6.207366 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 65.7867583311181 62.530603 1.05207298786353
4000391 1 1 30 2 1 27413 971 13.734336 4.888285 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.7232006661763 47.062368 1.07778683525182
4000391 2 1 33 1 1 22664 982 14.362276 5.203238 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.7232006661763 47.062368 1.07778683525182
4000418 1 1 30 2 1 17229 2423 6.726276 2.375232 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.8101318955411 32.136679 1.05207298786353
