hhno pno day beghom endhom hbtours wbtours uwtours wktours sctours estours pbtours shtours mltours sotours retours metours wkstops scstops esstops pbstops shstops mlstops sostops restops mestops wkathome pdexpfac
4000250 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 40.422902
4000275 1 1 1 1 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 -1 87.717786
4000275 2 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 -1 87.717786
4000286 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 -1 41.020422
4000310 1 1 1 1 3 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 4 1 0 0 0 -1 62.530603
4000391 1 1 1 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 47.062368
4000391 2 1 1 1 3 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 47.062368
4000418 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 32.136679
4000418 2 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 32.136679
4000498 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 63.257068
4000498 2 1 1 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 63.257068
4000535 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 300.496058
4000562 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 33.837109
4000657 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 55.74421
4000657 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 55.74421
4000697 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 -1 39.923758
4000697 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 39.923758
4000724 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 137.052019
4000724 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 137.052019
4000756 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 110.719844
4000756 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 110.719844
4000756 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 110.719844
4000801 1 1 1 1 3 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 35.317755
4000838 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 121.444961
4000838 2 1 1 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 121.444961
4000838 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 121.444961
4000925 1 1 1 1 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 54.036979
4000925 2 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 54.036979
4000928 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 -1 95.072171
4000947 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 118.030293
4000947 2 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 118.030293
4000947 3 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 118.030293
4000947 4 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 118.030293
4000971 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 -1 80.65394
4000976 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 35.923689
4000976 2 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 -1 35.923689
4000977 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 121.444961
4000977 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 121.444961
4000977 3 1 1 1 2 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 121.444961
4000979 1 1 1 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 -1 71.085157
4001133 1 1 1 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 79.033587
4001133 2 1 1 1 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 79.033587
4001133 3 1 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 -1 79.033587
4001133 4 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 79.033587
4001133 5 1 1 1 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 -1 79.033587
4001169 1 1 1 1 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 -1 55.949159
4001197 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 29.645359
4001197 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 29.645359
4001238 1 1 1 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 -1 138.620516
4001238 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 138.620516
4001238 3 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 -1 138.620516
4001238 4 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 138.620516
4001248 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 41.833007
4001256 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 950.354145
4001271 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 950.354145
4001282 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 29.645359
4001282 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 29.645359
4001361 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 465.373052
4001361 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 465.373052
4001361 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 465.373052
4001387 1 1 1 1 3 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 -1 87.717786
4001387 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 87.717786
4001388 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 35.317755
4001391 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 60.408755
4001391 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 60.408755
4001391 3 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 60.408755
4001391 4 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 60.408755
4001396 1 1 1 1 2 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 -1 44.931916
4001396 2 1 1 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 -1 44.931916
4001461 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 95.283835
4001513 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 179.472904
4001513 2 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 179.472904
4001514 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 172.012518
4001514 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 -1 172.012518
4001514 3 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 172.012518
4001514 4 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1 172.012518
4001579 1 1 1 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 321.462958
4001587 1 1 1 1 5 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 170.691975
4001628 1 1 1 1 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 52.881307
4001634 1 1 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 -1 86.611874
4001634 2 1 1 1 2 0 1 1 0 0 0 0 0 0 1 0 1 0 2 1 1 1 1 0 0 -1 86.611874
4001634 3 1 1 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 -1 86.611874
4001634 4 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 86.611874
4001634 5 1 1 1 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 -1 86.611874
4001634 6 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 86.611874
4001748 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 -1 160.440661
4001748 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 160.440661
4001766 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 55.949159
4001769 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 35.585261
4001769 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 35.585261
4001782 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 32.136679
4001782 2 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 -1 32.136679
4001859 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 49.742836
4001894 1 1 1 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 4 0 0 0 0 -1 297.831864
4001894 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1 297.831864
