hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhxco hhyco hhexpfac adjfac orig_hhexpfac
4004790 1 2 0 0 0 1 0 0 0 0 0 40000 1 1 26126 1960 -86.378013 35.800925 134.18259614456 0.879361678770021 152.590907
4004817 2 0 0 0 0 0 1 0 1 0 0 15000 2 3 30872 1907 -86.349078 35.868213 53.9999718668546 1.08640064027769 49.705394
4004929 4 3 2 1 1 0 0 0 0 2 0 67500 1 1 25561 1683 -86.486608 35.986302 59.1278871765728 0.840819408241252 70.321744
4004942 1 1 0 0 0 1 0 0 0 0 0 40000 1 3 31022 1892 -86.367944 35.873165 41.5705025626112 0.879361678770021 47.273498
4004963 2 1 0 0 0 2 0 0 0 0 0 55000 1 1 31132 1903 -86.358551 35.862484 47.7374541693914 0.960407922113873 49.705394
4005090 3 1 2 2 0 0 0 0 0 0 1 87500 1 2 23658 776 -86.634147 36.086008 90.1831410390852 1.16851354445166 77.17766
4005101 3 3 2 1 1 0 1 0 0 0 0 87500 1 1 18586 2322 -86.760261 35.875149 395.480113097235 0.921229230502961 429.296097
4005354 2 2 2 2 0 0 0 0 0 0 0 175000 1 1 18757 2533 -86.85728 35.886836 30.9502367016243 0.963081365738641 32.136679
4005359 1 1 0 0 0 1 0 0 0 0 0 22500 1 1 31870 1942 -86.394102 35.869332 138.0680214271 0.879361678770021 157.009368
4005384 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 7030 2099 -86.682973 36.436068 64.6889401608988 1.30046747155508 49.742836
4005420 4 4 3 1 1 0 0 2 0 0 0 67500 1 1 8674 2774 -86.46847 36.170003 27.7402080767792 1.02384576011375 27.094128
4005428 1 1 1 1 0 0 0 0 0 0 0 87500 2 3 23690 774 -86.639764 36.094236 87.0987712741012 1.5567485343989 55.949159
4005432 4 2 3 1 2 0 0 0 0 1 0 87500 1 1 9509 121 -86.755728 36.17243 108.320360708252 1.0554399119047 102.630533
4005478 1 1 1 1 0 0 0 0 0 0 0 27500 2 3 21545 90 -86.674773 36.052253 49.8543053515318 0.891064427823336 55.949159
4005548 1 1 1 0 1 0 0 0 0 0 0 55000 1 1 2493 2160 -86.442015 36.417172 55.7580920135563 0.872873068337206 63.878809
4005570 1 2 1 1 0 0 0 0 0 0 0 55000 1 1 16039 1328 -87.027619 35.622771 37.6985928594305 1.22175609653706 30.856071
4005608 3 1 1 1 0 0 0 0 0 2 0 40000 2 3 22171 1120 -86.822579 36.098498 222.474582226156 1.17247373912739 189.74803
4005649 2 1 0 0 0 2 0 0 0 0 0 40000 1 1 17311 2451 -86.903449 35.931636 40.2393078086362 1.01158045267738 39.778653
4005680 2 2 2 2 0 0 0 0 0 0 0 87500 2 3 21538 92 -86.685977 36.047618 50.3579164091076 1.07002512940079 47.062368
4005681 1 1 1 1 0 0 0 0 0 0 0 -1 2 3 27316 958 -86.799766 36.13854 103.294482027943 1.84622045932707 55.949159
4005696 2 2 1 1 0 0 1 0 0 0 0 40000 2 1 29674 1805 -86.451647 35.888164 194.979477818096 1.08640064027769 179.472904
4005716 1 1 1 0 0 0 0 1 0 0 0 15000 2 3 31133 1903 -86.36388 35.855498 46.5017948990729 0.879361678770021 52.881307
4005771 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 23060 604 -86.839901 36.145895 85.5711957683867 1.07002512940079 79.971202
4005845 2 2 2 2 0 0 0 0 0 0 0 87500 1 2 1330 308 -86.716413 36.325112 118.473015403335 1.07002512940079 110.719844
4005895 5 3 2 1 1 0 0 0 1 1 1 67500 1 2 3799 1695 -86.391852 36.00962 263.593067163519 0.840819408241252 313.49546
4005992 2 2 1 0 1 1 0 0 0 0 0 125000 1 1 11499 1434 -87.103383 35.529842 66.7125966571611 0.750002739265858 88.949804
4006011 1 1 1 1 0 0 0 0 0 0 0 67500 1 1 19906 2524 -86.854857 35.898084 60.5985438647194 0.969102182889863 62.530603
4006025 1 2 1 1 0 0 0 0 0 0 0 67500 1 1 31022 1892 -86.3632 35.876393 50.998775621551 0.99232624682951 51.393154
4006030 2 1 1 1 0 1 0 0 0 0 0 40000 1 1 21642 1034 -86.78414 36.120944 100.075544841917 1.2408016873313 80.65394
4006048 2 1 2 2 0 0 0 0 0 0 0 87500 2 3 22718 981 -86.812923 36.142076 59.6477055185948 1.07002512940079 55.74421
4006078 2 1 0 0 0 2 0 0 0 0 0 22500 1 1 25629 1682 -86.478341 35.981626 53.9999718668546 1.08640064027769 49.705394
4006212 4 2 2 1 1 0 0 0 0 0 2 87500 1 1 1057 2250 -86.640034 36.295393 68.4870651265504 1.13372747255841 60.408755
4006343 2 4 1 1 0 1 0 0 0 0 0 -1 1 1 3148 2647 -86.470665 36.230005 50.8132448552677 0.230250149272491 220.687131
4006377 1 1 1 1 0 0 0 0 0 0 0 27500 2 3 23717 794 -86.652771 36.08515 49.8543053515318 0.891064427823336 55.949159
4006384 3 3 3 2 1 0 0 0 0 0 0 87500 1 1 26214 1828 -86.433814 35.826536 194.832393457632 0.857529918989667 227.201861
4006437 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 10301 1118 -86.816919 36.095997 85.5711957683867 1.07002512940079 79.971202
4006485 2 2 1 1 0 1 0 0 0 0 0 87500 1 1 8493 2690 -86.539647 36.21869 410.36540648419 1.24674360725019 329.149798
4006513 5 2 1 1 0 0 1 0 0 1 2 87500 1 1 19542 2312 -86.656736 35.960144 951.05274487372 0.997940269896624 953.0157
4006586 2 2 1 1 0 0 1 0 0 0 0 40000 1 1 31766 1920 -86.389685 35.85479 46.0370386730452 1.08640064027769 42.375747
4006593 1 1 0 0 0 1 0 0 0 0 0 27500 1 1 5027 550 -86.785654 36.198215 37.2759044465846 0.891064427823336 41.833007
4006604 2 2 1 0 1 1 0 0 0 0 0 40000 2 3 6653 2266 -86.622321 36.292984 36.1807628279046 0.89505604589954 40.422902
4006670 1 2 0 0 0 1 0 0 0 0 0 55000 1 1 28973 1611 -86.956434 36.473661 145.581698743381 1.18689835343036 122.657259
4006761 2 2 2 1 1 0 0 0 0 0 0 175000 1 1 19799 2502 -86.871562 35.912164 30.9502367016243 0.963081365738641 32.136679
4006807 1 2 0 0 0 1 0 0 0 0 0 55000 1 1 3613 2786 -86.498088 36.09282 67.0455872759494 0.377457442902958 177.624229
4006833 1 1 0 0 0 1 0 0 0 0 0 40000 1 3 26494 1162 -86.897682 36.083768 63.341454748937 0.891064427823336 71.085157
4006902 1 1 1 1 0 0 0 0 0 0 0 55000 1 1 30884 1893 -86.352669 35.878637 52.4755089027491 0.99232624682951 52.881307
4006947 4 2 1 1 0 0 1 0 0 2 0 -1 1 1 6070 1165 -86.91242 36.113438 139.166565608665 0.69387553698983 200.564162
4006951 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 17828 2465 -86.905756 35.913637 30.1899089310395 0.581652997125703 51.903642
4006979 2 2 1 0 1 0 0 0 1 0 0 40000 1 1 19745 2328 -86.77731 36.025601 384.395952129475 1.01158045267738 379.995433
4007026 1 0 0 0 0 1 0 0 0 0 0 5000 1 1 24826 502 -86.750601 36.18741 1754.56326610528 1.84622045932707 950.354145
4007051 1 2 1 1 0 0 0 0 0 0 0 125000 1 1 19697 2510 -86.826802 35.928092 138.322361222891 2.44945194046231 56.470739
4007064 1 0 0 0 0 1 0 0 0 0 0 -1 1 1 3264 2656 -86.539095 36.26154 431.398343137307 1.43562064011271 300.496058
4007070 1 2 0 0 0 1 0 0 0 0 0 55000 1 1 17869 2436 -86.984772 35.939121 398.842035287215 0.969102182889863 411.558288
4007126 1 1 0 0 0 1 0 0 0 0 0 15000 1 1 5496 367 -86.670192 36.244421 37.2759044465846 0.891064427823336 41.833007
4007189 2 2 2 2 0 0 0 0 0 0 0 125000 1 3 27171 1229 -86.945564 36.074689 85.5711957683867 1.07002512940079 79.971202
4007195 1 1 0 0 0 0 1 0 0 0 0 -1 1 2 22098 1085 -86.796759 36.093335 131.238871207877 1.84622045932707 71.085157
4007233 1 1 1 1 0 0 0 0 0 0 0 87500 1 1 24985 887 -86.724365 36.121296 87.0987712741012 1.5567485343989 55.949159
4007250 3 3 2 2 0 0 0 0 0 0 1 67500 1 1 23458 834 -86.63657 36.136093 170.836992260476 1.40670301059651 121.444961
4007313 2 2 2 2 0 0 0 0 0 0 0 15000 2 3 7879 2155 -86.446247 36.398475 33.2514663635748 0.89505604589954 37.15015
4007384 2 2 0 0 0 1 1 0 0 0 0 87500 1 1 17669 2366 -86.840994 36.020819 34.5974354644902 0.963081365738641 35.923689
4007393 1 1 1 1 0 0 0 0 0 0 0 67500 2 2 21697 1094 -86.787009 36.108786 81.9825838530961 0.862319467313901 95.072171
4007446 2 3 0 0 0 1 1 0 0 0 0 67500 1 1 7221 2080 -86.505974 36.582453 171.501507368477 0.907840372280928 188.911523
4007448 4 1 2 2 0 0 0 0 0 0 2 55000 1 1 6561 490 -86.714589 36.194044 64.8258558038762 0.670895088326001 96.625921
4007486 6 4 1 1 0 0 1 0 0 2 2 87500 1 1 9875 1148 -86.881824 36.121393 689.696339227087 1.0554399119047 653.468124
4007511 1 0 1 1 0 0 0 0 0 0 0 55000 1 1 29114 1551 -86.878195 36.504752 64.4256532757753 1.18689835343036 54.280683
4007565 3 2 3 1 1 0 0 0 1 0 0 55000 1 1 1152 2228 -86.61555 36.279881 43.9382239526117 0.839490061444247 52.339183
4007612 2 3 2 2 0 0 0 0 0 0 0 40000 2 3 23689 777 -86.643696 36.089037 64.0516298748089 1.2408016873313 51.621166
4007657 2 2 1 1 0 0 1 0 0 0 0 67500 1 1 18809 2531 -86.829053 35.900154 95.801623772946 2.21358986601876 43.27885
4007687 2 4 2 2 0 0 0 0 0 0 0 87500 1 1 12584 1396 -87.10947 35.612149 40.5685451701664 0.750002739265858 54.091196
4007937 4 2 2 2 0 0 0 0 0 2 0 175000 3 3 20102 2361 -86.80462 35.950496 368.044874244373 0.997940269896624 368.804512
4008048 4 2 2 1 1 0 0 0 0 1 1 87500 1 1 21478 115 -86.655216 36.00999 146.305625195224 1.0554399119047 138.620516
4008126 1 1 1 1 0 0 0 0 0 0 0 55000 1 1 1092 2229 -86.618099 36.267537 55.7580920135563 0.872873068337206 63.878809
4008135 1 1 1 1 0 0 0 0 0 0 0 40000 1 3 31154 1891 -86.373243 35.870874 46.5017948990729 0.879361678770021 52.881307
4008160 1 1 1 0 0 0 0 1 0 0 0 -1 1 1 21514 93 -86.681601 36.034959 350.316695103006 1.84622045932707 189.74803
4008230 5 2 3 2 0 0 0 0 1 2 0 87500 1 1 3483 2675 -86.537552 36.177028 437.189484408042 1.05647037494845 413.820865
4008263 1 0 0 0 0 1 0 0 0 0 0 40000 2 3 10202 12 -86.780482 36.037445 46.2494890606773 0.891064427823336 51.903642
