hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhxco hhyco hhexpfac adjfac orig_hhexpfac
4000024 2 2 2 2 0 0 0 0 0 0 0 125000 1 3 22664 982 -86.816969 36.144009 50.3579164091076 1.07002512940079 47.062368
4000100 5 2 1 1 0 0 1 0 0 3 0 125000 1 1 17438 2464 -86.927795 35.922398 108.31832499757 0.997940269896624 108.541892
4000138 2 1 0 0 0 2 0 0 0 0 0 125000 1 1 17219 2484 -86.86636 35.949238 38.3100794584835 0.963081365738641 39.778653
4000154 2 2 2 2 0 0 0 0 0 0 0 -1 2 3 28653 1128 -86.842756 36.126617 29.468117700971 0.368484116331914 79.971202
4000196 4 3 2 1 1 0 0 0 1 1 0 87500 1 1 6912 1586 -86.807843 36.402074 223.588557780694 1.21432806972493 184.125331
4000207 3 1 2 2 0 0 0 0 0 1 0 125000 2 1 23226 1000 -86.808628 36.136222 153.244609463462 1.16851354445166 131.144915
4000227 1 2 0 0 0 1 0 0 0 0 0 40000 1 1 3452 2766 -86.535354 36.14314 31.7493591586356 1.30939722666279 24.247309
4000237 3 2 1 1 0 0 1 0 0 0 1 67500 1 1 5741 1623 -86.545624 36.03846 100.143344936399 1.12498324979481 89.017632
4000238 2 1 1 1 0 0 1 0 0 0 0 125000 1 1 19559 2521 -86.866311 35.898203 46.1538397830227 0.963081365738641 47.923095
4000247 3 2 1 1 0 0 1 0 0 1 0 87500 1 1 26546 1190 -87.012803 36.084574 187.191032175082 1.16851354445166 160.19586
4000250 2 2 1 1 0 1 0 0 0 0 0 67500 1 1 1209 2234 -86.624657 36.313425 36.6975424003555 0.907840372280928 40.422902
4000275 2 3 2 2 0 0 0 0 0 0 0 175000 1 1 6517 531 -86.740794 36.176087 93.8602353154008 1.07002512940079 87.717786
4000286 1 1 0 0 0 0 1 0 0 0 0 67500 1 1 3614 2777 -86.509092 36.106549 15.4834635949202 0.377457442902958 41.020422
4000310 1 1 1 1 0 0 0 0 0 0 0 87500 1 2 17807 2475 -86.897262 35.911624 153.165706856628 2.44945194046231 62.530603
4000391 2 2 2 2 0 0 0 0 0 0 0 87500 1 1 5312 529 -86.744061 36.169393 50.3579164091076 1.07002512940079 47.062368
4000418 2 2 2 2 0 0 0 0 0 0 0 40000 1 1 17240 2483 -86.883921 35.975801 32.5088362903675 1.01158045267738 32.136679
4000498 2 1 0 0 0 2 0 0 0 0 0 15000 1 1 1134 2264 -86.613078 36.273721 56.6186211592783 0.89505604589954 63.257068
4000535 1 0 0 0 0 1 0 0 0 0 0 5000 1 4 8907 2804 -86.211172 36.047256 431.398343137307 1.43562064011271 300.496058
4000562 1 0 0 0 0 1 0 0 0 0 0 40000 1 1 29276 1532 -86.89204 36.511509 32.7961392387812 0.96923585400813 33.837109
4000657 2 1 2 1 1 0 0 0 0 0 0 40000 2 3 23659 776 -86.633335 36.089269 69.1675098269501 1.2408016873313 55.74421
4000697 2 3 1 1 0 0 1 0 0 0 0 175000 1 1 17182 2482 -86.879917 35.960343 38.449827380059 0.963081365738641 39.923758
4000724 2 1 1 1 0 0 1 0 0 0 0 175000 1 1 4684 710 -86.662331 36.17009 146.649104365115 1.07002512940079 137.052019
4000756 3 2 2 2 0 0 0 0 0 0 1 125000 1 3 22521 181 -86.774542 36.159061 129.377637353575 1.16851354445166 110.719844
4000801 1 2 0 0 0 0 1 0 0 0 0 15000 1 1 4885 163 -86.800027 36.177308 31.4703951510798 0.891064427823336 35.317755
4000838 3 3 2 0 2 0 0 1 0 0 0 -1 1 1 28370 1214 -86.96467 36.058494 52.9796445498155 0.436244073970393 121.444961
4000925 2 2 1 1 0 0 0 1 0 0 0 5000 2 3 31453 1898 -86.36737 35.864863 22.3524307396177 0.413650636161909 54.036979
4000928 1 1 1 1 0 0 0 0 0 0 0 40000 1 1 9217 717 -86.706292 36.24096 84.7154296540373 0.891064427823336 95.072171
4000947 4 2 1 0 1 0 1 0 0 2 0 15000 2 1 23461 770 -86.649347 36.102481 213.356615111477 1.80764284903942 118.030293
4000971 1 1 1 1 0 0 0 0 0 0 0 87500 1 1 24695 494 -86.736053 36.186497 125.557902888497 1.5567485343989 80.65394
4000976 2 2 0 0 0 2 0 0 0 0 0 -1 1 1 17313 2451 -86.888317 35.929126 13.7159146896402 0.381806965583078 35.923689
4000977 3 3 2 2 0 0 1 0 0 0 0 67500 1 1 5552 345 -86.695866 36.270395 170.836992260476 1.40670301059651 121.444961
4000979 1 1 0 0 0 1 0 0 0 0 0 40000 1 1 5945 581 -86.888136 36.150113 63.341454748937 0.891064427823336 71.085157
4001133 5 3 3 1 2 1 1 0 0 0 0 125000 1 1 17438 2464 -86.919356 35.92255 78.8707991416783 0.997940269896624 79.033587
4001169 1 1 1 1 0 0 0 0 0 0 0 67500 1 2 9855 1138 -86.864022 36.14323 48.2460489855407 0.862319467313901 55.949159
4001197 2 3 2 2 0 0 0 0 0 0 0 -1 1 1 19696 2510 -86.837252 35.930631 11.318804563411 0.381806965583078 29.645359
4001238 4 2 2 2 0 0 0 0 0 1 1 125000 1 1 21358 101 -86.699886 36.012895 146.305625195224 1.0554399119047 138.620516
4001248 1 1 0 0 0 1 0 0 0 0 0 5000 1 1 9422 554 -86.834704 36.199277 77.2329533985724 1.84622045932707 41.833007
4001256 1 0 0 0 0 1 0 0 0 0 0 15000 1 1 24142 559 -86.825084 36.216084 846.826772443961 0.891064427823336 950.354145
4001271 1 0 0 0 0 1 0 0 0 0 0 5000 2 3 4830 161 -86.794095 36.176736 1754.56326610528 1.84622045932707 950.354145
4001282 2 3 2 2 0 0 0 0 0 0 0 87500 2 1 18800 2531 -86.830115 35.901709 28.5508928335323 0.963081365738641 29.645359
4001361 3 2 2 2 0 1 0 0 0 0 0 125000 1 1 17872 2436 -86.958963 35.950869 428.715258590775 0.921229230502961 465.373052
4001387 2 3 2 2 0 0 0 0 0 0 0 125000 1 1 27305 997 -86.799864 36.130761 93.8602353154008 1.07002512940079 87.717786
4001388 1 2 0 0 0 0 1 0 0 0 0 5000 2 3 22690 978 -86.819668 36.143815 65.2043618585008 1.84622045932707 35.317755
4001391 4 2 2 1 1 0 0 0 0 1 1 40000 1 4 1206 2234 -86.620361 36.315586 73.073028742697 1.20964301851109 60.408755
4001396 2 2 1 1 0 0 1 0 0 0 0 67500 1 1 33066 2732 -86.311917 36.200636 53.8818739242467 1.19918932289125 44.931916
4001461 1 1 0 0 0 1 0 0 0 0 0 15000 1 1 12643 1389 -87.084889 35.605126 76.2195804505155 0.799921418470567 95.283835
4001513 2 2 1 1 0 0 0 0 0 1 0 55000 1 1 25612 2010 -86.469286 35.951712 172.367198806383 0.960407922113873 179.472904
4001514 4 5 3 3 0 0 0 0 0 1 0 87500 1 1 20371 18 -86.756834 36.025511 181.548876844425 1.0554399119047 172.012518
4001579 1 1 0 0 0 1 0 0 0 0 0 5000 1 4 7538 2045 -86.527486 36.624822 418.052120188876 1.30046747155508 321.462958
4001587 1 2 1 1 0 0 0 0 0 0 0 5000 2 1 31370 1981 -86.355049 35.840944 319.428527981982 1.87137402318991 170.691975
4001628 1 1 1 0 1 0 0 0 0 0 0 40000 2 4 31145 1897 -86.368948 35.86719 46.5017948990729 0.879361678770021 52.881307
4001634 6 4 2 1 1 1 0 1 1 1 0 175000 1 1 17664 2366 -86.845637 36.027188 86.4334769158124 0.997940269896624 86.611874
4001748 2 2 0 0 0 2 0 0 0 0 0 40000 1 1 29955 1994 -86.520544 35.991333 174.302836836975 1.08640064027769 160.440661
4001766 1 1 1 1 0 0 0 0 0 0 0 87500 1 2 6021 1139 -86.874119 36.145807 87.0987712741012 1.5567485343989 55.949159
4001769 2 1 2 2 0 0 0 0 0 0 0 67500 1 1 17136 2478 -86.892318 35.972379 78.7711731292326 2.21358986601876 35.585261
4001782 2 2 2 2 0 0 0 0 0 0 0 87500 1 1 17140 2478 -86.888189 35.97352 30.9502367016243 0.963081365738641 32.136679
4001859 1 1 0 0 0 1 0 0 0 0 0 40000 1 1 1094 2229 -86.617391 36.26805 43.9065427821477 0.882670678088151 49.742836
4001894 4 3 1 1 0 0 1 0 0 2 0 87500 1 1 17057 1783 -86.555113 35.770795 417.026915717089 1.40020919896297 297.831864
4001897 2 2 0 0 0 2 0 0 0 0 0 87500 1 1 498 2178 -86.470972 36.365334 301.628159001623 1.48275798011187 203.42373
4001901 3 2 2 1 1 0 0 0 0 0 1 87500 1 1 1817 2215 -86.565093 36.382864 391.092616106208 1.24693505120104 313.643133
4001923 4 2 2 2 0 0 0 0 0 1 1 -1 1 1 18757 2533 -86.865109 35.891532 5.09219392615124 0.121230355690441 42.004281
4002014 1 2 1 1 0 0 0 0 0 0 0 67500 1 2 26512 1193 -86.938285 36.083178 69.2142660658304 0.862319467313901 80.265225
4002176 2 2 1 1 0 1 0 0 0 0 0 55000 1 1 866 2146 -86.421335 36.394682 36.6975424003555 0.907840372280928 40.422902
4002211 3 1 2 1 1 0 0 0 0 1 0 15000 2 2 32563 2731 -86.316757 36.206605 196.794161003398 1.7928003284584 109.769146
4002258 2 1 1 1 0 1 0 0 0 0 0 67500 1 1 17415 2477 -86.892118 35.924086 106.082077440254 2.21358986601876 47.923095
4002263 2 2 2 2 0 0 0 0 0 0 0 -1 1 1 19827 2519 -86.857192 35.914376 12.2700078929074 0.381806965583078 32.136679
4002316 3 2 2 2 0 0 0 0 0 0 1 55000 2 1 30739 1719 -86.260802 35.847558 260.829210312474 1.12498324979481 231.851639
4002323 1 1 1 1 0 0 0 0 0 0 0 40000 2 1 4828 161 -86.788857 36.178587 49.8543053515318 0.891064427823336 55.949159
4002409 4 4 2 2 0 0 1 0 1 0 0 -1 1 1 6897 1576 -86.887418 36.427452 57.0749894586111 0.354733376649313 160.895459
4002645 2 2 2 2 0 0 0 0 0 0 0 40000 1 2 108 2288 -86.574459 36.300507 214.887519588856 0.89505604589954 240.082753
4002649 1 1 0 0 0 1 0 0 0 0 0 27500 1 1 11026 1556 -86.863745 36.470581 32.7961392387812 0.96923585400813 33.837109
4002685 2 2 0 0 0 2 0 0 0 0 0 -1 3 3 18991 2390 -86.836005 35.960264 120.427990348304 0.381806965583078 315.415907
4002759 2 1 2 2 0 0 0 0 0 0 0 125000 1 1 19541 2312 -86.660013 35.957014 300.909429549621 0.963081365738641 312.444452
4002798 1 1 1 1 0 0 0 0 0 0 0 67500 1 1 21325 107 -86.71965 36.025711 81.9825838530961 0.862319467313901 95.072171
4002828 3 2 2 2 0 0 0 0 0 0 1 40000 1 1 21538 92 -86.688443 36.048337 76.3956698749396 1.17247373912739 65.157681
4002881 1 1 1 1 0 0 0 0 0 0 0 22500 1 1 522 2180 -86.466695 36.378602 364.381148850896 0.882670678088151 412.816646
4002908 2 5 2 2 0 0 0 0 0 0 0 67500 1 1 2137 2076 -86.508919 36.562253 164.214925437406 0.907840372280928 180.885242
4002909 1 1 1 0 1 0 0 0 0 0 0 87500 1 1 5237 526 -86.735443 36.174667 87.0987712741012 1.5567485343989 55.949159
4002918 2 2 1 1 0 1 0 0 0 0 0 175000 1 1 19614 2541 -86.801411 35.91956 365.966520588086 0.963081365738641 379.995433
4003003 3 1 1 1 0 0 0 0 0 2 0 5000 2 1 7967 2159 -86.455622 36.393312 32.6193252996195 0.307372372357043 106.123153
4003026 2 2 1 0 1 1 0 0 0 0 0 55000 1 1 27810 44 -86.713792 36.077632 81.894734120841 1.20269741874612 68.09255
4003029 3 4 2 1 1 0 0 0 1 0 0 175000 1 1 27094 1114 -86.842678 36.095224 127.609449669192 1.16851354445166 109.20665
4003081 2 2 1 0 1 1 0 0 0 0 0 55000 1 1 11025 1556 -86.860459 36.478951 129.747157558349 2.47894389667583 52.339691
4003132 2 1 1 1 0 0 0 0 0 1 0 27500 2 2 5400 484 -86.704666 36.199924 170.054376427361 1.2408016873313 137.052019
4003156 1 0 0 0 0 1 0 0 0 0 0 27500 2 3 5519 368 -86.671793 36.254746 846.826772443961 0.891064427823336 950.354145
4003229 1 1 0 0 0 1 0 0 0 0 0 40000 1 1 27177 477 -86.735964 36.197729 37.2759044465846 0.891064427823336 41.833007
4003336 2 2 1 1 0 1 0 0 0 0 0 -1 1 1 21312 19 -86.751298 36.025086 42.6361735926951 0.368484116331914 115.706951
4003356 1 1 1 1 0 0 0 0 0 0 0 125000 1 1 22189 1112 -86.825201 36.114334 148.003462866372 1.5567485343989 95.072171
4003402 3 2 2 2 0 0 0 0 0 1 0 87500 1 2 23395 837 -86.63157 36.125416 129.377637353575 1.16851354445166 110.719844
4003493 2 2 2 2 0 0 0 0 0 0 0 87500 1 1 19925 2509 -86.846931 35.921232 30.9502367016243 0.963081365738641 32.136679
4003522 4 5 3 2 0 0 0 0 1 1 0 87500 1 1 3520 2776 -86.490678 36.12525 28.6241435670613 1.05647037494845 27.094128
4003614 2 4 1 1 0 1 0 0 0 0 0 175000 1 1 17208 2421 -86.909857 35.970826 450.71544064583 0.963081365738641 467.993107
4003622 4 2 3 0 3 1 0 0 0 0 0 40000 3 6 5490 369 -86.681808 36.242718 185.519349070554 1.80764284903942 102.630533
4003668 3 1 2 2 0 0 0 0 0 0 1 40000 1 1 5504 371 -86.656844 36.234204 90.4887795973023 1.17247373912739 77.17766
4003676 3 2 2 1 1 0 0 0 0 1 0 -1 1 1 19560 2521 -86.862912 35.899844 17.5970256848429 0.332002000741525 53.00277
4003715 1 1 1 1 0 0 0 0 0 0 0 40000 2 3 22419 183 -86.772792 36.156448 84.7154296540373 0.891064427823336 95.072171
4003759 1 1 1 1 0 0 0 0 0 0 0 67500 1 1 25736 1634 -86.552546 36.011634 52.4755089027491 0.99232624682951 52.881307
4003794 2 2 0 0 0 2 0 0 0 0 0 27500 1 1 7092 2091 -86.630522 36.492983 28.1741911288381 0.89505604589954 31.477572
4003807 1 1 0 0 0 0 1 0 0 0 0 40000 1 1 31394 1674 -86.521158 35.954696 138.0680214271 0.879361678770021 157.009368
4003810 4 2 1 1 0 0 1 0 0 1 1 87500 1 1 10769 1482 -86.690148 36.481532 442.410665380305 1.21432806972493 364.325487
4003818 1 1 1 1 0 0 0 0 0 0 0 175000 1 1 21861 1021 -86.78377 36.132128 87.0987712741012 1.5567485343989 55.949159
4003861 3 1 1 1 0 2 0 0 0 0 0 55000 2 1 17156 2479 -86.886629 35.963827 192.561222954142 2.43627556553778 79.03918
4003882 1 1 1 1 0 0 0 0 0 0 0 15000 2 2 10420 481 -86.723298 36.204267 84.7154296540373 0.891064427823336 95.072171
4003884 1 1 1 1 0 0 0 0 0 0 0 40000 2 3 9767 833 -86.620241 36.144262 84.7154296540373 0.891064427823336 95.072171
4003973 1 1 1 1 0 0 0 0 0 0 0 87500 1 2 21420 17 -86.745496 36.037614 148.003462866372 1.5567485343989 95.072171
4004029 1 2 0 0 0 0 1 0 0 0 0 22500 1 1 18200 2431 -87.116523 35.909641 388.177702516469 0.94319009927573 411.558288
4004098 1 1 1 0 1 0 0 0 0 0 0 22500 1 3 32941 2711 -86.307919 36.191113 72.0944842468165 1.30939722666279 55.059292
4004157 1 2 0 0 0 0 1 0 0 0 0 55000 2 3 23559 851 -86.641246 36.060922 51.7512844896693 0.862319467313901 60.014051
4004188 3 5 2 2 0 0 0 0 0 0 1 125000 1 1 1889 2095 -86.648687 36.415289 45.5954383046325 1.24693505120104 36.566009
4004400 2 1 1 0 0 0 0 2 0 0 0 15000 2 2 22201 1121 -86.816756 36.126079 170.054376427361 1.2408016873313 137.052019
4004435 3 1 2 2 0 0 0 0 0 0 1 87500 1 1 17438 2464 -86.909971 35.91205 54.067392176854 0.921229230502961 58.690487
4004525 1 1 0 0 0 1 0 0 0 0 0 -1 1 1 32963 2735 -86.2987 36.202268 58.8897644893337 1.43562064011271 41.020422
4004533 3 3 0 0 0 0 2 0 0 1 0 -1 2 1 5344 486 -86.710935 36.183249 33.7287720251441 0.436244073970393 77.316287
4004563 3 3 3 1 0 0 0 2 0 0 0 87500 1 1 23649 778 -86.638909 36.080531 105.066030649348 1.16851354445166 89.91426
4004569 4 3 3 2 1 0 0 0 0 1 0 125000 1 1 245 2285 -86.549347 36.326374 443.258770936286 1.13372747255841 390.974711
4004623 2 4 0 0 0 2 0 0 0 0 0 15000 1 1 5988 585 -86.879071 36.1518 62.3090467443192 1.2408016873313 50.216765
4004630 2 1 1 1 0 0 1 0 0 0 0 -1 2 3 22774 977 -86.822304 36.13969 20.5408559624707 0.368484116331914 55.74421
4004702 2 2 0 0 0 1 1 0 0 0 0 40000 1 1 6446 1249 -86.811278 36.083691 107.346364790101 1.2408016873313 86.513716
4004714 2 1 0 0 0 1 1 0 0 0 0 40000 1 1 32530 2702 -86.339979 36.209763 67.6762533819992 1.19502036303471 56.631883
4004715 2 2 2 2 0 0 0 0 0 0 0 125000 1 1 32978 2735 -86.303851 36.201724 51.268949679501 1.24674360725019 41.122288
