hhno pno pptyp pagey pgend pwtyp pwpcl pwtaz pwautime pwaudist pstyp pspcl pstaz psautime psaudist puwmode puwarrp puwdepp ptpass ppaidprk pdiary pproxy psexpfac
4000237 1 4 30 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 89.017632
4000237 2 1 43 1 1 27889 781 28.354933 12.179489 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 89.017632
4000237 3 8 1 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 89.017632
4000238 1 4 57 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.923095
4000238 2 1 63 1 1 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.923095
4000247 1 4 42 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.195860
4000247 2 1 41 1 1 23168 968 23.173681 14.323375 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.195860
4000247 3 7 5 2 0 0 0 -1.000000 -1.000000 1 26910 1199 15.425806 9.004247 -1 -1 -1 -1 -1 -1 -1 160.195860
4000250 1 3 78 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 40.422902
4000250 2 1 77 1 1 23914 402 22.485765 10.264198 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 40.422902
4000275 1 1 46 1 1 22127 1101 17.001774 6.950880 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 87.717786
4000275 2 1 40 1 1 22757 1004 14.723667 5.526473 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 87.717786
4000286 1 4 63 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 41.020422
4000310 1 1 38 2 1 20262 2405 16.055798 6.207366 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 62.530603
4000391 1 1 30 2 1 27413 971 13.734336 4.888285 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.062368
4000391 2 1 33 1 1 22664 982 14.362276 5.203238 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.062368
4000418 1 1 30 2 1 17229 2423 6.726276 2.375232 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 32.136679
4000418 2 1 30 1 1 17240 2483 3.135122 1.154587 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 32.136679
4000498 1 3 73 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 63.257068
4000498 2 3 73 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 63.257068
4000535 1 3 73 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 300.496058
4000562 1 3 72 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 33.837109
4000657 1 2 38 2 2 21968 265 21.933111 9.346629 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 55.744210
4000657 2 1 31 1 1 21709 1041 21.017540 8.988399 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 55.744210
4000697 1 1 60 1 1 22712 974 30.730553 15.103333 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 39.923758
4000697 2 4 58 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 39.923758
4000724 1 1 46 1 1 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 137.052019
4000724 2 4 47 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 137.052019
4000756 1 1 34 1 1 23417 701 14.852698 5.966297 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 110.719844
4000756 2 1 30 2 1 21454 95 21.416735 9.252096 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 110.719844
4000756 3 8 0 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 110.719844
4000801 1 4 62 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 35.317755
4000838 1 2 -1 -1 2 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 121.444961
4000838 2 2 -1 -1 2 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 121.444961
4000838 3 5 -1 -1 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 121.444961
4000925 1 1 23 2 1 29868 1823 14.108243 6.107060 1 31720 1910 7.039367 2.396365 -1 -1 -1 -1 -1 -1 -1 54.036979
4000925 2 5 24 1 0 0 0 -1.000000 -1.000000 1 31720 1910 7.039367 2.396365 -1 -1 -1 -1 -1 -1 -1 54.036979
4000928 1 1 37 2 1 23145 966 25.826920 12.235107 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 95.072171
4000947 1 2 52 1 2 23461 770 3.085873 1.085873 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 118.030293
4000947 2 4 46 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 118.030293
4000947 3 7 9 1 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 118.030293
4000947 4 7 9 2 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 118.030293
4000971 1 1 47 1 1 23432 241 17.405758 7.279369 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 80.653940
4000976 1 3 71 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 35.923689
4000976 2 3 71 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 35.923689
4000977 1 1 59 1 1 5544 339 6.051510 1.594871 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 121.444961
4000977 2 4 60 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 121.444961
4000977 3 1 32 1 1 9614 380 4.715662 0.903081 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 121.444961
4000979 1 3 78 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 71.085157
4001133 1 2 61 1 2 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.033587
4001133 2 4 58 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.033587
4001133 3 2 31 1 2 17438 2464 3.685215 1.954415 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.033587
4001133 4 1 29 2 1 23538 1639 45.288910 24.849569 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.033587
4001133 5 3 66 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.033587
4001169 1 1 35 1 1 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 55.949159
4001197 1 1 52 2 1 -1 -1 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 29.645359
4001197 2 1 55 1 1 20413 2396 6.199128 1.787924 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 29.645359
4001238 1 1 35 2 1 17376 2422 28.403122 15.554244 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 138.620516
4001238 2 1 38 1 1 6457 11 16.496258 7.036274 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 138.620516
4001238 3 7 5 1 0 0 0 -1.000000 -1.000000 1 18520 2307 11.178292 6.116302 -1 -1 -1 -1 -1 -1 -1 138.620516
4001238 4 8 3 1 0 0 0 -1.000000 -1.000000 2 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 138.620516
4001248 1 3 75 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 41.833007
4001256 1 3 69 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 950.354145
4001271 1 3 74 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 950.354145
4001282 1 1 29 2 1 17669 2366 22.645889 11.527137 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 29.645359
4001282 2 1 30 1 1 19673 2398 12.057714 4.805832 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 29.645359
4001361 1 1 65 1 1 17872 2436 4.355842 3.966714 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 465.373052
4001361 2 1 61 2 1 17872 2436 4.355842 3.966714 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 465.373052
4001361 3 3 81 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 465.373052
4001387 1 1 45 1 1 27305 997 3.260723 0.268010 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 87.717786
4001387 2 1 44 2 1 27103 1115 10.036837 3.596031 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 87.717786
4001388 1 4 55 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 35.317755
4001391 1 2 30 2 2 25302 824 35.301533 17.266771 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 60.408755
4001391 2 1 31 1 1 27648 875 40.645992 21.918026 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 60.408755
4001391 3 7 10 1 0 0 0 -1.000000 -1.000000 1 161 2225 6.853131 2.006833 -1 -1 -1 -1 -1 -1 -1 60.408755
4001391 4 8 4 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 60.408755
4001396 1 1 57 2 1 4880 153 44.605045 29.174818 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 44.931916
4001396 2 4 60 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 44.931916
4001461 1 3 71 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 95.283835
4001513 1 1 38 2 1 0 0 -1.000000 -1.000000 2 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 179.472904
4001513 2 7 14 2 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 179.472904
4001514 1 1 49 1 1 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 172.012518
4001514 2 1 50 2 1 22117 1090 17.101547 7.974801 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 172.012518
4001514 3 1 20 1 1 6394 1265 7.250303 2.134476 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 172.012518
4001514 4 7 15 1 0 0 0 -1.000000 -1.000000 1 21758 1095 17.717831 8.347741 -1 -1 -1 -1 -1 -1 -1 172.012518
4001579 1 3 72 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 321.462958
4001587 1 1 46 2 1 31370 1981 3.499977 0.520758 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 170.691975
4001628 1 2 60 1 2 25634 1682 22.430870 13.339089 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 52.881307
4001634 1 2 44 2 2 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 86.611874
4001634 2 1 45 1 1 23153 197 24.719206 10.781781 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 86.611874
4001634 3 5 20 1 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 86.611874
4001634 4 6 18 1 0 0 0 -1.000000 -1.000000 1 10276 1247 11.056892 4.967420 -1 -1 -1 -1 -1 -1 -1 86.611874
4001634 5 7 14 1 0 0 0 -1.000000 -1.000000 1 10276 1247 11.056892 4.967420 -1 -1 -1 -1 -1 -1 -1 86.611874
4001634 6 3 92 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 86.611874
4001748 1 3 75 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.440661
4001748 2 3 80 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.440661
4001766 1 1 33 1 1 29747 1798 50.097263 35.243835 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 55.949159
4001769 1 1 70 2 1 22982 666 34.650726 16.654249 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 35.585261
4001769 2 1 18 2 1 17230 2423 5.963595 2.007852 1 17304 2455 8.023775 2.916088 -1 -1 -1 -1 -1 -1 -1 35.585261
4001782 1 1 55 2 1 22504 215 34.149719 15.806946 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 32.136679
4001782 2 1 57 1 1 24961 903 36.187538 18.096300 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 32.136679
4001859 1 3 71 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 49.742836
4001894 1 4 40 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 297.831864
4001894 2 1 41 1 1 9129 1643 31.227303 19.880798 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 297.831864
4001894 3 7 13 1 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 297.831864
4001894 4 7 12 2 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 297.831864
4001897 1 3 80 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 203.423730
4001897 2 3 72 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 203.423730
4001901 1 1 26 1 1 1314 313 16.985184 9.712884 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 313.643133
4001901 2 2 29 2 2 1058 2250 17.290310 8.968127 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 313.643133
4001901 3 8 1 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 313.643133
4001923 1 1 43 1 1 6122 638 40.885181 24.440205 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 42.004281
4001923 2 1 41 2 1 18757 2533 2.925710 1.091781 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 42.004281
4001923 3 7 6 1 0 0 0 -1.000000 -1.000000 1 18754 2470 4.478162 1.554045 -1 -1 -1 -1 -1 -1 -1 42.004281
4001923 4 8 1 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 42.004281
4002014 1 1 54 2 1 23143 200 21.171415 10.260410 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 80.265225
4002176 1 3 68 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 40.422902
4002176 2 1 63 1 1 7984 2150 8.862692 2.879034 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 40.422902
4002211 1 2 30 2 2 32559 2731 3.014056 1.045845 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 109.769146
4002211 2 1 34 1 1 8435 2641 15.319975 9.364520 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 109.769146
4002211 3 7 10 1 0 0 0 -1.000000 -1.000000 1 32563 2731 3.014056 1.045845 -1 -1 -1 -1 -1 -1 -1 109.769146
4002258 1 1 61 2 1 19069 2368 23.479429 10.678553 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.923095
4002258 2 3 87 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.923095
4002263 1 1 60 1 1 22504 215 35.377365 19.217829 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 32.136679
4002263 2 1 59 2 1 17411 2456 8.190487 2.255638 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 32.136679
4002316 1 1 32 1 1 26250 1974 11.438130 6.961007 2 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 231.851639
4002316 2 1 32 2 1 31456 1896 13.856970 7.241667 1 31739 1911 11.528204 6.571208 -1 -1 -1 -1 -1 -1 -1 231.851639
4002316 3 8 1 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 231.851639
4002323 1 1 38 2 1 21904 919 10.433420 3.823947 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 55.949159
4002409 1 4 59 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.895459
4002409 2 1 60 1 1 29091 1543 13.821366 7.795636 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.895459
4002409 3 1 41 1 1 5549 340 27.283493 16.032423 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 160.895459
4002409 4 6 17 1 0 0 0 -1.000000 -1.000000 1 10677 1564 21.657398 12.930396 -1 -1 -1 -1 -1 -1 -1 160.895459
4002645 1 1 46 2 1 27413 971 43.781265 21.204765 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 240.082753
4002645 2 1 46 1 1 6743 1596 26.404411 14.703347 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 240.082753
4002649 1 3 88 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 33.837109
4002685 1 3 76 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 315.415907
4002685 2 3 71 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 315.415907
4002759 1 1 48 1 1 23168 968 38.565861 18.038979 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 312.444452
4002759 2 1 50 2 1 23168 968 38.565861 18.038979 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 312.444452
4002798 1 1 53 2 1 9510 121 29.988119 12.439976 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 95.072171
4002828 1 1 30 2 1 10219 2375 19.655602 7.903688 1 26800 635 27.650133 13.005094 -1 -1 -1 -1 -1 -1 -1 65.157681
4002828 2 1 34 1 1 10218 2375 19.655602 7.903688 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 65.157681
4002828 3 8 1 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 65.157681
4002881 1 1 57 2 1 28151 568 45.042385 28.773626 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 412.816646
4002908 1 1 55 1 1 7467 2072 7.025266 2.613191 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 180.885242
4002908 2 1 50 2 1 7527 2045 9.962836 4.343206 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 180.885242
4002909 1 2 35 1 2 23168 968 14.613088 4.955634 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 55.949159
4002918 1 3 67 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 379.995433
4002918 2 1 59 2 1 10224 2379 20.066273 11.323227 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 379.995433
4003003 1 1 38 2 1 24900 882 50.771278 31.383087 2 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 106.123153
4003003 2 7 15 2 0 0 0 -1.000000 -1.000000 1 571 2171 7.541838 2.210912 -1 -1 -1 -1 -1 -1 -1 106.123153
4003003 3 7 11 2 0 0 0 -1.000000 -1.000000 1 2494 2160 5.664000 1.714597 -1 -1 -1 -1 -1 -1 -1 106.123153
4003026 1 2 68 2 2 23559 851 12.733392 5.111449 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 68.092550
4003026 2 3 71 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 68.092550
4003029 1 2 48 2 2 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 109.206650
4003029 2 1 50 1 1 6390 13 16.140394 8.140551 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 109.206650
4003029 3 6 17 2 0 0 0 -1.000000 -1.000000 1 23222 951 13.894750 5.008306 -1 -1 -1 -1 -1 -1 -1 109.206650
4003081 1 3 66 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 52.339691
4003081 2 2 63 2 2 1859 2214 28.733309 18.160070 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 52.339691
4003132 1 1 38 2 1 4811 236 16.356342 6.320305 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 137.052019
4003132 2 7 10 2 0 0 0 -1.000000 -1.000000 1 5417 446 5.528161 1.374567 -1 -1 -1 -1 -1 -1 -1 137.052019
4003156 1 3 88 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 950.354145
4003229 1 3 69 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 41.833007
4003336 1 3 65 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 115.706951
4003336 2 1 59 2 1 19697 2510 19.383617 10.623731 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 115.706951
4003356 1 1 65 2 1 22523 180 14.596166 4.886206 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 95.072171
4003402 1 1 39 2 1 22648 209 23.148127 10.120993 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 110.719844
