hhno pno pptyp pagey pgend pwtyp pwpcl pwtaz pwautime pwaudist pstyp pspcl pstaz psautime psaudist puwmode puwarrp puwdepp ptpass ppaidprk pdiary pproxy psexpfac
4000024 1 1 32 2 1 23154 197 6.634860 1.172378 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.062368
4000024 2 1 33 1 1 20341 2341 23.371086 15.382412 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 47.062368
4000100 1 1 36 1 1 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 108.541892
4000100 2 4 36 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 108.541892
4000100 3 7 10 1 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 108.541892
4000100 4 7 8 2 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 108.541892
4000100 5 7 7 1 0 0 0 -1.000000 -1.000000 1 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 108.541892
4000138 1 3 80 1 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 39.778653
4000138 2 3 79 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 39.778653
4000154 1 1 29 1 1 23342 694 21.709351 10.424448 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.971202
4000154 2 1 29 2 1 22660 226 14.074228 4.626874 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 79.971202
4000196 1 2 46 2 2 21725 1078 43.740135 26.234844 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 184.125331
4000196 2 1 46 1 1 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 184.125331
4000196 3 6 18 2 0 0 0 -1.000000 -1.000000 1 10580 1585 5.319588 1.909924 -1 -1 -1 -1 -1 -1 -1 184.125331
4000196 4 7 15 1 0 0 0 -1.000000 -1.000000 1 10580 1585 5.319588 1.909924 -1 -1 -1 -1 -1 -1 -1 184.125331
4000207 1 1 30 2 1 31739 1911 48.421566 34.506340 1 31739 1911 48.421566 34.506340 -1 -1 -1 -1 -1 -1 -1 131.144915
4000207 2 1 44 1 1 20102 2361 24.703857 15.710017 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 131.144915
4000207 3 7 7 1 0 0 0 -1.000000 -1.000000 1 23228 1000 3.272007 0.272007 -1 -1 -1 -1 -1 -1 -1 131.144915
4000227 1 3 71 2 0 0 0 -1.000000 -1.000000 0 0 0 -1.000000 -1.000000 -1 -1 -1 -1 -1 -1 -1 24.247309
