hhno pno day tour jtindex parent subtrs pdpurp tlvorig tardest tlvdest tarorig toadtyp tdadtyp topcl totaz tdpcl tdtaz tmodetp tpathtp tautotime tautocost tautodist tripsh1 tripsh2 phtindx1 phtindx2 fhtindx1 fhtindx2 toexpfac
4000207 2 1 2 -1 0 0 6 1800 1815 1900 1910 1 4 23226 1000 22858 607 5 0 6.874538 -1.000000 2.017827 1 1 -1 -1 -1 -1 131.144915
4000207 3 1 1 -1 0 0 2 745 747 1710 1711 1 4 23226 1000 23198 973 5 0 3.686980 -1.000000 0.346168 1 1 -1 -1 -1 -1 131.144915
4000207 3 1 2 -1 0 0 6 1800 1815 1900 1910 1 4 23226 1000 22858 607 5 0 6.874538 -1.000000 2.017827 1 1 -1 -1 -1 -1 131.144915
4000227 1 1 1 -1 0 0 6 1713 1732 1918 1938 1 4 3452 2766 3234 2693 3 0 14.052571 -1.000000 6.782108 1 1 -1 -1 -1 -1 24.247309
4000227 1 1 2 -1 0 0 8 840 845 944 1238 1 4 3452 2766 3496 2768 3 0 4.863601 -1.000000 1.431800 1 11 -1 -1 -1 -1 24.247309
4000237 1 1 1 -1 0 0 8 1845 1900 2111 2204 1 4 5741 1623 25559 1683 3 0 14.286180 -1.000000 6.651199 1 2 -1 -1 -1 -1 89.017632
4000237 2 1 1 -1 0 0 1 840 906 1803 1831 1 2 5741 1623 27889 781 3 0 28.354933 -1.000000 12.179489 1 2 -1 -1 -1 -1 89.017632
4000238 1 1 1 -1 0 0 7 1010 1048 1457 1535 1 4 19559 2521 0 0 3 0 -1.000000 -1.000000 -1.000000 1 1 -1 -1 -1 -1 47.923095
4000247 1 1 1 -1 0 0 3 1435 1455 1520 1625 1 4 26546 1190 26910 1199 4 0 15.425806 -1.000000 9.004247 1 2 -1 -1 -1 -1 160.195860
4000247 2 1 1 -1 0 0 1 730 1335 1800 2045 1 4 26546 1190 23168 968 4 0 23.173681 -1.000000 14.323375 5 3 -1 -1 -1 -1 160.195860
4000247 3 1 1 -1 0 0 2 730 745 1520 1625 1 3 26546 1190 26910 1199 4 0 15.425806 -1.000000 9.004247 1 2 -1 -1 -1 -1 160.195860
4000250 1 1 1 -1 0 0 5 1148 1158 1215 1220 1 4 1209 2234 75 2292 3 0 6.546759 -1.000000 1.843616 1 1 -1 -1 -1 -1 40.422902
4000250 2 1 1 -1 0 0 1 900 945 1830 1900 1 2 1209 2234 23914 402 3 0 22.485765 -1.000000 10.264198 1 1 -1 -1 -1 -1 40.422902
4000275 1 1 1 -1 0 0 1 730 800 1630 1700 1 2 6517 531 22127 1101 3 0 17.001774 -1.000000 6.950880 1 1 -1 -1 -1 -1 87.717786
4000275 1 1 2 -1 0 0 6 1830 1845 2000 2020 1 4 6517 531 23153 197 4 0 12.680265 -1.000000 4.111210 1 1 -1 -1 -1 -1 87.717786
4000275 2 1 1 -1 0 0 6 1830 1845 2000 2020 1 4 6517 531 23153 197 4 0 12.680265 -1.000000 4.111210 1 1 -1 -1 -1 -1 87.717786
4000286 1 1 1 -1 0 0 8 840 900 1420 1550 1 4 3614 2777 4522 366 3 0 23.890011 -1.000000 13.085217 1 3 -1 -1 -1 -1 41.020422
4000310 1 1 1 -1 0 0 4 915 955 1050 1140 1 4 17807 2475 16872 2463 3 0 11.461445 -1.000000 5.306116 2 2 -1 -1 -1 -1 62.530603
4000310 1 1 2 -1 0 0 8 1705 1720 1840 1956 1 4 17807 2475 19882 2526 3 0 12.201415 -1.000000 4.402613 1 2 -1 -1 -1 -1 62.530603
4000310 1 1 3 -1 0 0 9 1255 1355 1440 1600 1 4 17807 2475 21597 1663 3 0 41.617985 -1.000000 22.832987 2 3 -1 -1 -1 -1 62.530603
4000391 1 1 1 -1 0 0 1 738 815 1606 1647 1 2 5312 529 27413 971 3 0 13.734336 -1.000000 4.888285 1 1 -1 -1 -1 -1 47.062368
4000391 1 1 2 -1 0 0 2 1810 1825 2001 2015 1 4 5312 529 23168 968 3 0 14.007490 -1.000000 4.577602 1 1 -1 -1 -1 -1 47.062368
4000391 2 1 1 -1 0 0 1 925 939 1357 1404 1 2 5312 529 22664 982 3 0 14.362276 -1.000000 5.203238 1 1 -1 -1 -1 -1 47.062368
4000391 2 1 2 -1 0 0 1 1455 1510 1940 1955 1 2 5312 529 22664 982 3 0 14.362276 -1.000000 5.203238 1 1 -1 -1 -1 -1 47.062368
4000391 2 1 3 -1 0 0 5 2100 2105 2125 2132 1 4 5312 529 24754 520 3 0 5.392523 -1.000000 1.293524 1 1 -1 -1 -1 -1 47.062368
4000418 1 1 1 -1 0 0 1 830 834 1500 1540 1 2 17240 2483 17229 2423 3 0 6.726276 -1.000000 2.375232 1 2 -1 -1 -1 -1 32.136679
4000418 2 1 1 -1 0 0 1 1200 1220 1235 1915 1 4 17240 2483 19742 2389 3 0 12.682908 -1.000000 5.899899 1 2 -1 -1 -1 -1 32.136679
4000498 2 1 1 -1 0 0 5 730 740 745 755 1 4 1134 2264 215 2220 4 0 14.900621 -1.000000 7.028935 1 1 -1 -1 -1 -1 63.257068
4000498 2 1 2 -1 0 0 5 1136 1146 1150 1155 1 4 1134 2264 1196 2254 3 0 7.984849 -1.000000 2.575356 1 1 -1 -1 -1 -1 63.257068
4000657 1 1 1 -1 0 0 5 1216 1226 1318 1323 1 4 23659 776 23689 777 3 0 4.832839 -1.000000 0.957196 2 1 -1 -1 -1 -1 55.744210
4000697 1 1 1 -1 0 0 1 620 735 1710 1805 1 2 17182 2482 22712 974 4 0 30.730553 -1.000000 15.103333 2 1 -1 -1 -1 -1 39.923758
4000724 1 1 1 -1 0 0 8 905 910 1058 1106 1 4 4684 710 4748 713 3 0 4.555242 -1.000000 1.113707 1 1 -1 -1 -1 -1 137.052019
4000756 1 1 1 -1 0 0 1 845 900 1800 2030 1 2 22521 181 23417 701 3 0 14.852698 -1.000000 5.966297 1 2 -1 -1 -1 -1 110.719844
4000756 2 1 1 -1 0 0 1 1530 1600 1800 2030 1 2 22521 181 21454 95 4 0 21.416735 -1.000000 9.252096 1 2 -1 -1 -1 -1 110.719844
4000801 1 1 1 -1 0 0 3 1755 1812 1827 1845 1 4 4885 163 26702 454 4 0 12.396473 -1.000000 5.680704 1 1 -1 -1 -1 -1 35.317755
4000801 1 1 2 -1 0 0 4 1145 1222 1248 1300 1 4 4885 163 5017 647 3 0 7.777549 -1.000000 2.397265 2 1 -1 -1 -1 -1 35.317755
4000801 1 1 3 -1 0 0 5 1000 1005 1030 1035 1 4 4885 163 9351 655 3 0 4.068470 -1.000000 0.552873 1 1 -1 -1 -1 -1 35.317755
4000838 1 1 1 -1 0 0 1 1145 1210 2030 2105 1 4 28370 1214 28588 1133 3 0 18.259733 -1.000000 8.692592 1 1 -1 -1 -1 -1 121.444961
4000838 2 1 1 -1 0 0 4 1010 1100 1500 1555 1 4 28370 1214 32475 2708 3 0 53.946838 -1.000000 40.784882 1 1 -1 -1 -1 -1 121.444961
4000838 2 1 2 -1 0 0 8 1630 1640 1730 1740 1 4 28370 1214 17944 1210 4 0 7.813555 -1.000000 2.549849 1 1 -1 -1 -1 -1 121.444961
4000925 1 1 1 -1 0 0 1 1730 1750 2230 2240 1 2 31453 1898 29868 1823 3 0 14.108243 -1.000000 6.107060 1 1 -1 -1 -1 -1 54.036979
4000925 1 1 2 -1 0 0 5 1500 1505 1520 1525 1 4 31453 1898 30878 1906 3 0 5.957107 -1.000000 1.617403 1 1 -1 -1 -1 -1 54.036979
4000925 2 1 1 -1 0 0 4 1415 1420 1423 1428 1 4 31453 1898 31709 1909 3 0 5.267273 -1.000000 1.234426 1 1 -1 -1 -1 -1 54.036979
4000928 1 1 1 -1 0 1 1 825 905 1805 1845 1 2 9217 717 23145 966 3 0 25.826920 -1.000000 12.235107 2 2 -1 -1 -1 -1 95.072171
4000928 1 1 2 -1 1 1 8 1235 1241 1330 1335 2 4 23145 966 22688 980 3 0 5.787543 -1.000000 0.873583 1 1 -1 -1 -1 -1 95.072171
4000947 1 1 1 -1 0 0 1 1530 1600 1725 1815 1 4 23461 770 19119 2381 3 0 26.661219 -1.000000 12.968829 1 1 -1 -1 -1 -1 118.030293
4000947 2 1 1 -1 0 0 7 1830 1835 2035 2040 1 4 23461 770 22648 209 5 0 24.782578 -1.000000 10.523770 1 1 -1 -1 -1 -1 118.030293
4000947 3 1 1 -1 0 0 7 1830 1835 2035 2040 1 4 23461 770 22648 209 5 0 24.782578 -1.000000 10.523770 1 1 -1 -1 -1 -1 118.030293
4000947 4 1 1 -1 0 0 7 1830 1835 2035 2040 1 4 23461 770 22648 209 5 0 24.782578 -1.000000 10.523770 1 1 -1 -1 -1 -1 118.030293
4000971 1 1 1 -1 0 0 1 815 840 1630 2035 1 2 24695 494 23432 241 4 0 17.405758 -1.000000 7.279369 1 3 -1 -1 -1 -1 80.653940
4000976 1 1 1 -1 0 0 5 845 855 905 910 1 4 17313 2451 19300 2501 3 0 7.423562 -1.000000 2.668386 1 1 -1 -1 -1 -1 35.923689
4000976 2 1 1 -1 0 0 5 945 1035 1115 1200 1 4 17313 2451 20293 2512 3 0 13.220189 -1.000000 5.727866 2 2 -1 -1 -1 -1 35.923689
4000977 1 1 1 -1 0 0 1 700 712 1530 1542 1 2 5552 345 5544 339 3 0 6.051510 -1.000000 1.594871 1 1 -1 -1 -1 -1 121.444961
4000977 3 1 1 -1 0 0 1 650 700 1800 1815 1 2 5552 345 9614 380 3 0 4.715662 -1.000000 0.903081 1 1 -1 -1 -1 -1 121.444961
4000977 3 1 2 -1 0 0 4 1830 1900 2100 2120 1 4 5552 345 1276 2197 3 0 13.427858 -1.000000 6.665288 1 1 -1 -1 -1 -1 121.444961
4000979 1 1 1 -1 0 0 4 1830 1840 1957 2008 1 4 5945 581 6299 595 3 0 6.307570 -1.000000 1.641901 1 1 -1 -1 -1 -1 71.085157
4000979 1 1 2 -1 0 0 6 1224 1244 1329 1402 1 4 5945 581 26491 1162 3 0 12.964828 -1.000000 6.715816 1 2 -1 -1 -1 -1 71.085157
4001133 1 1 1 -1 0 0 4 1700 1730 2030 2115 1 4 17438 2464 19742 2389 4 0 20.687656 -1.000000 9.929473 1 1 -1 -1 -1 -1 79.033587
4001133 1 1 2 -1 0 0 7 825 855 1620 1645 1 4 17438 2464 19742 2389 3 0 20.687656 -1.000000 9.929473 1 1 -1 -1 -1 -1 79.033587
4001133 2 1 1 -1 0 0 4 1700 1730 2050 2115 1 4 17438 2464 19742 2389 4 0 20.687656 -1.000000 9.929473 1 1 -1 -1 -1 -1 79.033587
4001133 2 1 2 -1 0 0 5 1405 1504 1545 1610 1 4 17438 2464 20293 2512 4 0 17.289684 -1.000000 7.681967 2 1 -1 -1 -1 -1 79.033587
4001133 3 1 1 -1 0 0 3 1111 1130 1132 1340 1 4 17438 2464 20085 2357 4 0 19.419781 -1.000000 9.185401 1 3 -1 -1 -1 -1 79.033587
4001133 3 1 2 -1 0 0 6 1810 1833 1954 2015 1 4 17438 2464 20271 2397 4 0 18.230358 -1.000000 8.392810 1 1 -1 -1 -1 -1 79.033587
4001133 4 1 1 -1 0 1 1 650 740 1710 1800 1 2 17438 2464 23538 1639 3 0 45.288910 -1.000000 24.849569 1 1 -1 -1 -1 -1 79.033587
4001133 4 1 2 -1 1 1 6 1240 1250 1320 1330 2 4 23538 1639 23587 1664 4 0 7.983620 -1.000000 2.886417 1 1 -1 -1 -1 -1 79.033587
4001133 5 1 1 -1 0 0 5 1405 1504 1545 1610 1 4 17438 2464 20293 2512 4 0 17.289684 -1.000000 7.681967 2 1 -1 -1 -1 -1 79.033587
4001133 5 1 2 -1 0 0 6 1810 1833 1954 2015 1 4 17438 2464 20271 2397 4 0 18.230358 -1.000000 8.392810 1 1 -1 -1 -1 -1 79.033587
4001169 1 1 1 -1 0 0 1 645 715 1600 1630 1 4 9855 1138 28243 259 3 0 24.493484 -1.000000 12.739840 1 1 -1 -1 -1 -1 55.949159
4001169 1 1 2 -1 0 0 6 1600 2015 2145 2156 1 4 9855 1138 10050 598 4 0 6.265372 -1.000000 1.834573 2 1 -1 -1 -1 -1 55.949159
4001197 2 1 1 -1 0 0 1 640 650 1530 1540 1 2 19696 2510 20413 2396 3 0 6.199128 -1.000000 1.787924 1 1 -1 -1 -1 -1 29.645359
4001238 1 1 1 -1 0 0 1 720 810 1630 1720 1 4 21358 101 17386 2493 5 0 26.408373 -1.000000 14.428834 2 2 -1 -1 -1 -1 138.620516
4001238 1 1 2 -1 0 0 4 445 500 600 615 1 4 21358 101 20323 2326 3 0 13.300367 -1.000000 6.227283 1 1 -1 -1 -1 -1 138.620516
4001238 2 1 1 -1 0 0 1 745 815 1530 1600 1 2 21358 101 6457 11 3 0 16.496258 -1.000000 7.036274 1 1 -1 -1 -1 -1 138.620516
4001238 3 1 1 -1 0 0 2 720 816 1145 1720 1 3 21358 101 18520 2307 5 0 11.178292 -1.000000 6.116302 2 2 -1 -1 -1 -1 138.620516
4001248 1 1 1 -1 0 0 5 1145 1150 1215 1225 1 4 9422 554 28200 557 4 0 4.939823 -1.000000 1.872030 1 1 -1 -1 -1 -1 41.833007
4001256 1 1 1 -1 0 0 4 800 840 1300 1345 1 4 24142 559 10001 626 6 3 9.945608 -1.000000 3.859284 1 1 -1 -1 -1 -1 950.354145
4001282 1 1 1 -1 0 0 1 730 750 1630 1815 1 2 18800 2531 17669 2366 3 0 22.645889 -1.000000 11.527137 1 1 -1 -1 -1 -1 29.645359
4001387 1 1 1 -1 0 0 1 633 833 940 1007 1 4 27305 997 23553 1637 3 0 30.794144 -1.000000 18.701990 2 1 -1 -1 -1 -1 87.717786
4001387 1 1 2 -1 0 0 1 1120 1220 1310 1330 1 4 27305 997 21763 1035 4 0 5.706078 -1.000000 1.419485 2 1 -1 -1 -1 -1 87.717786
4001387 1 1 3 -1 0 0 8 1640 2300 2250 2330 1 4 27305 997 17597 2420 5 0 24.798864 -1.000000 14.717558 4 1 -1 -1 -1 -1 87.717786
4001387 2 1 1 -1 0 0 1 708 716 1605 1623 1 2 27305 997 27103 1115 3 0 10.036837 -1.000000 3.596031 1 2 -1 -1 -1 -1 87.717786
4001391 3 1 1 -1 0 0 2 715 730 1530 1600 1 3 1206 2234 161 2225 8 0 6.853131 -1.000000 2.006833 1 1 -1 -1 -1 -1 60.408755
4001396 1 1 1 -1 0 0 1 530 645 1215 1730 1 4 33066 2732 22648 209 7 6 45.238068 -1.000000 28.947460 1 4 -1 -1 -1 -1 44.931916
4001396 1 1 2 -1 0 0 4 1830 1834 2030 2034 1 4 33066 2732 33004 2733 3 0 4.595788 -1.000000 0.797681 1 1 -1 -1 -1 -1 44.931916
4001396 2 1 1 -1 0 0 3 1130 1413 1431 1510 1 4 33066 2732 22648 209 4 0 45.238068 -1.000000 28.947460 3 1 -1 -1 -1 -1 44.931916
4001396 2 1 2 -1 0 0 3 1615 1650 1705 1730 1 4 33066 2732 8470 2692 4 0 21.645433 -1.000000 13.108579 1 1 -1 -1 -1 -1 44.931916
4001513 1 1 1 -1 0 0 9 1200 1300 1505 1630 1 4 25612 2010 19668 2398 4 0 41.021694 -1.000000 25.979244 1 1 -1 -1 -1 -1 179.472904
4001513 2 1 1 -1 0 0 2 737 805 1552 1605 1 4 25612 2010 30170 1654 8 0 9.674448 -1.000000 4.488605 1 1 -1 -1 -1 -1 179.472904
4001514 1 1 1 -1 0 0 1 1435 1455 1510 1525 1 4 20371 18 5792 865 4 0 23.883501 -1.000000 11.996606 1 1 -1 -1 -1 -1 172.012518
4001514 2 1 1 -1 0 0 1 700 900 1635 1705 1 2 20371 18 22117 1090 4 0 17.101547 -1.000000 7.974801 4 1 -1 -1 -1 -1 172.012518
4001514 3 1 1 -1 0 0 4 1435 1455 1510 1525 1 4 20371 18 5792 865 4 0 23.883501 -1.000000 11.996606 1 1 -1 -1 -1 -1 172.012518
4001514 4 1 1 -1 0 0 2 700 720 1500 1705 1 3 20371 18 21758 1095 4 0 17.717831 -1.000000 8.347741 1 2 -1 -1 -1 -1 172.012518
4001579 1 1 1 -1 0 0 4 900 915 925 940 1 4 7538 2045 2081 2058 3 0 12.529566 -1.000000 5.539262 1 1 -1 -1 -1 -1 321.462958
4001579 1 1 2 -1 0 0 8 1030 1040 1300 1310 1 4 7538 2045 7750 1476 3 0 9.467284 -1.000000 5.123547 1 1 -1 -1 -1 -1 321.462958
4001587 1 1 1 -1 0 0 1 1000 1015 1215 1230 1 4 31370 1981 31370 1981 1 0 3.499977 -1.000000 0.520758 1 1 -1 -1 -1 -1 170.691975
4001587 1 1 2 -1 0 0 4 1610 1652 1702 1805 1 4 31370 1981 31709 1909 6 3 6.043277 -1.000000 1.474021 1 1 -1 -1 -1 -1 170.691975
4001587 1 1 3 -1 0 0 4 1815 1830 1945 2020 1 4 31370 1981 31156 1891 4 0 9.930683 -1.000000 3.485670 1 2 -1 -1 -1 -1 170.691975
4001587 1 1 4 -1 0 0 5 730 750 845 915 1 4 31370 1981 26311 1990 1 0 5.588661 -1.000000 1.603591 1 1 -1 -1 -1 -1 170.691975
4001587 1 1 5 -1 0 0 5 1330 1410 1510 1540 1 4 31370 1981 30824 1855 6 3 10.270870 -1.000000 4.381933 1 1 -1 -1 -1 -1 170.691975
4001628 1 1 1 -1 0 0 1 620 642 1622 1645 1 2 31145 1897 25634 1682 3 0 22.430870 -1.000000 13.339089 1 1 -1 -1 -1 -1 52.881307
4001628 1 1 2 -1 0 0 5 1840 1852 1935 1946 1 4 31145 1897 26311 1990 3 0 9.178082 -1.000000 3.972958 1 1 -1 -1 -1 -1 52.881307
4001634 1 1 1 -1 0 0 3 652 845 900 908 1 4 17664 2366 10276 1247 4 0 11.056892 -1.000000 4.967420 3 1 -1 -1 -1 -1 86.611874
4001634 1 1 2 -1 0 0 6 1630 1803 1920 2040 1 4 17664 2366 28673 1146 3 0 21.021875 -1.000000 10.316389 3 2 -1 -1 -1 -1 86.611874
4001634 2 1 1 -1 0 0 1 840 910 1330 2040 1 2 17664 2366 23153 197 4 0 24.719206 -1.000000 10.781781 1 8 -1 -1 -1 -1 86.611874
4001634 2 1 2 -1 0 0 8 530 545 730 745 1 4 17664 2366 6355 1263 3 0 8.840689 -1.000000 3.204473 1 1 -1 -1 -1 -1 86.611874
4001634 3 1 1 -1 0 0 7 2111 2130 100 120 1 4 17664 2366 17238 2483 4 0 12.000852 -1.000000 6.005505 1 1 -1 -1 -1 -1 86.611874
4001634 3 1 2 -1 0 0 8 1218 1239 1747 2110 1 4 17664 2366 20085 2357 5 0 14.873107 -1.000000 8.733834 1 3 -1 -1 -1 -1 86.611874
4001634 4 1 1 -1 0 0 7 2111 2130 100 120 1 4 17664 2366 17238 2483 4 0 12.000852 -1.000000 6.005505 1 1 -1 -1 -1 -1 86.611874
4001634 5 1 1 -1 0 0 2 652 700 900 911 1 3 17664 2366 10276 1247 4 0 11.056892 -1.000000 4.967420 1 1 -1 -1 -1 -1 86.611874
4001634 5 1 2 -1 0 0 8 1218 1239 1747 2110 1 4 17664 2366 20085 2357 5 0 14.873107 -1.000000 8.733834 1 3 -1 -1 -1 -1 86.611874
4001748 1 1 1 -1 0 0 5 1515 1520 1540 1614 1 4 29955 1994 23590 1664 3 0 7.689947 -1.000000 2.791312 1 3 -1 -1 -1 -1 160.440661
4001769 2 1 1 -1 0 0 1 630 1415 2000 2015 1 2 17136 2478 17230 2423 8 0 5.963595 -1.000000 2.007852 2 1 -1 -1 -1 -1 35.585261
4001782 1 1 1 -1 0 0 1 630 715 1600 1740 1 2 17140 2478 22504 215 3 0 34.149719 -1.000000 15.806946 1 2 -1 -1 -1 -1 32.136679
4001782 2 1 1 -1 0 0 1 310 715 1115 1600 1 4 17140 2478 19950 2528 3 0 14.380374 -1.000000 6.732221 3 3 -1 -1 -1 -1 32.136679
4001894 1 1 1 -1 0 0 5 915 1130 1243 1305 1 4 17057 1783 29754 1796 3 0 20.811848 -1.000000 12.419549 6 1 -1 -1 -1 -1 297.831864
4001894 1 1 2 -1 0 0 8 1645 1710 2000 2018 1 4 17057 1783 32174 1968 5 0 24.260592 -1.000000 14.099014 1 1 -1 -1 -1 -1 297.831864
4001894 2 1 1 -1 0 0 1 640 720 1700 2018 1 2 17057 1783 9129 1643 3 0 31.227303 -1.000000 19.880798 1 2 -1 -1 -1 -1 297.831864
4001894 3 1 1 -1 0 0 8 1645 1710 2000 2018 1 4 17057 1783 32174 1968 5 0 24.260592 -1.000000 14.099014 1 1 -1 -1 -1 -1 297.831864
4001894 4 1 1 -1 0 0 8 1645 1710 2000 2018 1 4 17057 1783 32174 1968 5 0 24.260592 -1.000000 14.099014 1 1 -1 -1 -1 -1 297.831864
4001897 2 1 1 -1 0 0 8 1200 1223 1330 1500 1 4 498 2178 7929 2145 3 0 8.263936 -1.000000 2.744079 1 2 -1 -1 -1 -1 203.423730
4001901 1 1 1 -1 0 0 1 735 755 1730 1815 1 2 1817 2215 1314 313 3 0 16.985184 -1.000000 9.712884 1 2 -1 -1 -1 -1 313.643133
4001901 2 1 1 -1 0 0 1 842 900 1429 1445 1 2 1817 2215 1058 2250 4 0 17.290310 -1.000000 8.968127 1 1 -1 -1 -1 -1 313.643133
4001923 1 1 1 -1 0 0 4 1152 1158 1220 1240 1 4 18757 2533 19779 2500 3 0 7.876974 -1.000000 2.717512 1 2 -1 -1 -1 -1 42.004281
4001923 1 1 2 -1 0 0 4 2103 2116 2125 2138 1 4 18757 2533 17389 2493 4 0 9.863740 -1.000000 3.725288 1 1 -1 -1 -1 -1 42.004281
4001923 1 1 3 -1 0 0 6 1955 2008 2017 2030 1 4 18757 2533 17389 2493 4 0 9.863740 -1.000000 3.725288 1 1 -1 -1 -1 -1 42.004281
4001923 2 1 1 -1 0 0 1 857 900 1323 1326 1 2 18757 2533 18757 2533 3 0 2.925710 -1.000000 1.091781 1 1 -1 -1 -1 -1 42.004281
4001923 2 1 2 -1 0 0 1 1426 1429 1855 1858 1 2 18757 2533 18757 2533 3 0 2.925710 -1.000000 1.091781 1 1 -1 -1 -1 -1 42.004281
4001923 2 1 3 -1 0 0 6 1955 2008 2017 2030 1 4 18757 2533 17389 2493 4 0 9.863740 -1.000000 3.725288 1 1 -1 -1 -1 -1 42.004281
