hhno pno day tour jtindex parent subtrs pdpurp tlvorig tardest tlvdest tarorig toadtyp tdadtyp topcl totaz tdpcl tdtaz tmodetp tpathtp tautotime tautocost tautodist tripsh1 tripsh2 phtindx1 phtindx2 fhtindx1 fhtindx2 toexpfac
4000024 1 1 1 -1 0 0 1 830 835 1710 1720 1 2 22664 982 23154 197 3 0 6.634860 -1.000000 1.172378 1 1 -1 -1 -1 -1 47.062368
4000024 1 1 2 -1 0 0 9 530 540 645 655 1 4 22664 982 22505 215 3 0 8.526747 -1.000000 2.021028 1 1 -1 -1 -1 -1 47.062368
4000024 2 1 1 -1 0 0 1 830 850 1700 1730 1 2 22664 982 20341 2341 3 0 23.371086 -1.000000 15.382412 1 1 -1 -1 -1 -1 47.062368
4000100 1 1 1 -1 0 0 7 1040 1100 1140 1259 1 4 17438 2464 19673 2398 3 0 17.160362 -1.000000 7.878134 1 3 -1 -1 -1 -1 108.541892
4000100 1 1 2 -1 0 0 8 1700 1712 1815 1824 1 4 17438 2464 17223 2454 5 0 11.129001 -1.000000 4.669605 1 1 -1 -1 -1 -1 108.541892
4000100 2 1 1 -1 0 0 3 825 829 833 837 1 4 17438 2464 17438 2464 5 0 3.685215 -1.000000 1.954415 1 1 -1 -1 -1 -1 108.541892
4000100 2 1 2 -1 0 0 3 1520 1523 1540 1544 1 4 17438 2464 17438 2464 5 0 3.685215 -1.000000 1.954415 1 1 -1 -1 -1 -1 108.541892
4000100 2 1 3 -1 0 0 5 1131 1135 1210 1215 1 4 17438 2464 17354 2452 4 0 5.424481 -1.000000 1.735537 1 1 -1 -1 -1 -1 108.541892
4000100 2 1 4 -1 0 0 7 1940 2010 2245 2312 1 4 17438 2464 19687 2511 3 0 16.822008 -1.000000 7.664437 1 1 -1 -1 -1 -1 108.541892
4000100 3 1 1 -1 0 0 2 825 829 1540 1544 1 4 17438 2464 17438 2464 5 0 3.685215 -1.000000 1.954415 1 1 -1 -1 -1 -1 108.541892
4000100 3 1 2 -1 0 0 8 1700 1712 1815 1824 1 4 17438 2464 17223 2454 5 0 11.129001 -1.000000 4.669605 1 1 -1 -1 -1 -1 108.541892
4000100 4 1 1 -1 0 0 2 825 829 1540 1544 1 4 17438 2464 17438 2464 5 0 3.685215 -1.000000 1.954415 1 1 -1 -1 -1 -1 108.541892
4000100 4 1 2 -1 0 0 8 1700 1712 1815 1824 1 4 17438 2464 17223 2454 5 0 11.129001 -1.000000 4.669605 1 1 -1 -1 -1 -1 108.541892
4000100 5 1 1 -1 0 0 5 1131 1135 1210 1215 1 4 17438 2464 17354 2452 4 0 5.424481 -1.000000 1.735537 1 1 -1 -1 -1 -1 108.541892
4000138 1 1 1 -1 0 0 4 820 830 945 1130 1 4 17219 2484 19663 2403 3 0 9.967976 -1.000000 4.142210 1 2 -1 -1 -1 -1 39.778653
4000154 1 1 1 -1 0 0 1 800 1020 1800 1830 1 2 28653 1128 23342 694 3 0 21.709351 -1.000000 10.424448 2 1 -1 -1 -1 -1 79.971202
4000154 2 1 1 -1 0 0 1 800 1010 1830 1845 1 2 28653 1128 22660 226 3 0 14.074228 -1.000000 4.626874 2 1 -1 -1 -1 -1 79.971202
4000196 1 1 1 -1 0 0 3 1450 1500 1505 1518 1 4 6912 1586 10580 1585 4 0 5.319588 -1.000000 1.909924 1 2 -1 -1 -1 -1 184.125331
4000196 1 1 2 -1 0 0 4 740 750 1230 1445 1 4 6912 1586 10580 1585 5 0 5.319588 -1.000000 1.909924 1 3 -1 -1 -1 -1 184.125331
4000196 1 1 3 -1 0 0 7 1700 1710 1900 1910 1 4 6912 1586 11014 1584 4 0 7.207534 -1.000000 3.199253 1 1 -1 -1 -1 -1 184.125331
4000196 2 1 1 -1 0 0 4 1000 1010 1025 1035 1 4 6912 1586 6917 1587 3 0 4.390793 -1.000000 1.257786 1 1 -1 -1 -1 -1 184.125331
4000196 2 1 2 -1 0 0 8 1200 1305 2000 2104 1 4 6912 1586 3142 2665 4 0 45.683350 -1.000000 25.849957 1 1 -1 -1 -1 -1 184.125331
4000196 3 1 1 -1 0 0 2 740 750 1130 1330 1 4 6912 1586 10580 1585 5 0 5.319588 -1.000000 1.909924 1 2 -1 -1 -1 -1 184.125331
4000196 3 1 2 -1 0 0 7 1700 1710 1900 1910 1 4 6912 1586 11014 1584 4 0 7.207534 -1.000000 3.199253 1 1 -1 -1 -1 -1 184.125331
4000196 3 1 3 -1 0 0 8 1450 1500 1620 1630 1 4 6912 1586 10580 1585 4 0 5.319588 -1.000000 1.909924 1 1 -1 -1 -1 -1 184.125331
4000196 4 1 1 -1 0 0 2 740 750 1505 1518 1 3 6912 1586 10580 1585 5 0 5.319588 -1.000000 1.909924 1 2 -1 -1 -1 -1 184.125331
4000207 1 1 1 -1 0 1 1 920 1030 1550 1710 1 2 23226 1000 31739 1911 5 0 48.421566 -1.000000 34.506340 1 2 -1 -1 -1 -1 131.144915
4000207 1 1 2 -1 1 1 5 1400 1410 1435 1442 2 4 31739 1911 31378 1980 3 0 5.171369 -1.000000 1.099065 1 1 -1 -1 -1 -1 131.144915
4000207 1 1 3 -1 0 0 6 1800 1815 1900 1932 1 4 23226 1000 22858 607 5 0 6.874538 -1.000000 2.017827 1 2 -1 -1 -1 -1 131.144915
4000207 2 1 1 -1 0 0 1 830 900 1715 1745 1 2 23226 1000 20102 2361 3 0 24.703857 -1.000000 15.710017 1 1 -1 -1 -1 -1 131.144915
