PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1	2.566785	-369.000758	-7.090077	0.000000	-7.937375	-277.809823
2	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
3	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
4	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
5	1.262453	-370.305090	-5.991465	0.000000	-5.991465	-275.863913
6	1.262453	-370.305090	-5.991465	0.000000	-5.991465	-275.863913
7	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
8	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
9	0.237425	-371.330118	-7.549609	0.000000	-7.824046	-277.696494
10	0.000000	-369.782393	-6.551080	0.000000	-8.242756	-278.115204
11	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
12	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
13	0.511554	3.692892	-5.703782	0.000000	0.000000	-269.872448
14	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
15	0.511554	-371.055989	-5.703782	0.000000	0.000000	-269.872448
16	0.511554	-47.384344	-5.703782	0.000000	0.000000	-302.108638
17	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
18	0.511554	-2.220816	-5.703782	0.000000	0.000000	-302.108638
19	0.511554	-55.230976	-5.703782	0.000000	0.000000	-302.108638
20	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
21	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
22	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
23	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
24	0.884236	-112.729638	-7.824046	0.000000	-8.342840	-310.451478
25	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
26	0.511554	-113.102320	-5.703782	0.000000	0.000000	-302.108638
27	0.511554	-55.230976	-5.703782	0.000000	0.000000	-302.108638
28	3.373698	2.584467	-7.377759	0.000000	-4.605170	-80.367331
29	0.511554	-0.277677	-5.703782	0.000000	0.000000	-75.762161
30	0.511554	-0.277677	-5.703782	0.000000	0.000000	-75.762161
31	-0.198514	1.791457	-6.802395	0.000000	-7.003065	-82.765226
32	-0.198514	-0.987745	-6.802395	0.000000	-7.003065	-82.765226
33	-0.198514	-0.987745	-6.802395	0.000000	-7.003065	-82.765226
